ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Shelton B.,Evans D.,17,41,2055,1066,2,6,7,5,7,6,,,,,2,1,Completed,1.36,3.2,1.39,3.22,1.4,3.4,1.36,3.07
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Kecmanovic M.,Schwartzman D.,53,117,940,538,4,6,6,3,6,1,,,,,2,1,Completed,1.4,3,1.44,2.98,1.45,3,1.42,2.78
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Draper J.,Paul T.,50,14,951,2375,6,0,6,4,,,,,,,2,0,Completed,2.1,1.73,2.15,1.78,2.15,1.8,2.05,1.74
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Ofner S.,Escobedo E.,37,493,1091,82,6,7,6,4,7,6,,,,,2,1,Completed,1.33,3.4,1.36,3.43,1.36,3.55,1.31,3.34
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Nishioka Y.,Borges N.,82,56,725,922,3,6,6,2,6,4,,,,,2,1,Completed,2.38,1.57,2.41,1.63,2.41,1.67,2.29,1.6
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,De Minaur A.,Daniel T.,9,64,3210,870,6,2,6,1,,,,,,,2,0,Completed,1.13,6,1.12,7.6,1.13,7.6,1.11,6.26
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Arnaldi M.,Fritz T.,42,10,1061,3150,6,4,4,6,6,3,,,,,2,1,Completed,5,1.17,5.28,1.19,5.28,1.2,4.88,1.17
16,Acapulco,Abierto Mexicano,27/02/2024,ATP500,Outdoor,Hard,1st Round,3,Cobolli F.,Auger-Aliassime F.,69,30,825,1340,2,6,6,3,6,2,,,,,2,1,Completed,3,1.4,3.32,1.37,3.5,1.4,3.08,1.36
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Tiafoe F.,Purcell M.,16,62,2155,886,4,6,6,3,6,0,,,,,2,1,Completed,1.36,3.2,1.39,3.22,1.4,3.22,1.36,3.07
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Koepfer D.,Atmane T.,58,146,918,453,6,4,4,6,6,0,,,,,2,1,Completed,1.44,2.75,1.51,2.74,1.53,2.78,1.48,2.6
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,Safiullin R.,12,39,3080,1080,6,3,6,4,,,,,,,2,0,Completed,1.4,3,1.4,3.18,1.45,3.18,1.4,2.9
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Rune H.,Mmoh M.,7,122,3700,527,6,2,6,3,,,,,,,2,0,Completed,1.33,3.4,1.35,3.5,1.35,3.6,1.31,3.38
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Ruud C.,Eubanks C.,11,34,3120,1234,6,4,6,7,6,3,,,,,2,1,Completed,1.17,5,1.2,5.1,1.22,5.1,1.18,4.65
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Kovacevic A.,Thompson J.,93,32,654,1246,6,3,5,7,6,4,,,,,2,1,Completed,2.5,1.53,2.55,1.57,2.55,1.57,2.43,1.54
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Altmaier D.,Zverev A.,57,6,921,5085,6,3,3,6,6,3,,,,,2,1,Completed,10,1.06,8.37,1.1,10,1.1,7.4,1.08
16,Acapulco,Abierto Mexicano,28/02/2024,ATP500,Outdoor,Hard,1st Round,3,Lajovic D.,Pacheco Mendez R.,55,700,922,40,6,2,6,2,,,,,,,2,0,Completed,1.2,4.5,1.25,4.39,1.25,4.54,1.21,4.24
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,De Minaur A.,Ofner S.,9,37,3210,1091,6,1,6,3,,,,,,,2,0,Completed,1.08,8,1.12,7.88,1.12,8.01,1.09,7.06
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Draper J.,Nishioka Y.,50,82,951,725,6,3,6,0,,,,,,,2,0,Completed,1.2,4.5,1.25,4.45,1.25,4.5,1.22,4.12
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Koepfer D.,Tiafoe F.,58,16,918,2155,6,4,5,7,6,1,,,,,2,1,Completed,2.63,1.5,2.58,1.57,2.79,1.62,2.45,1.53
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Altmaier D.,53,57,940,921,6,4,6,4,,,,,,,2,0,Completed,1.57,2.38,1.64,2.41,1.64,2.5,1.57,2.34
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Cobolli F.,12,69,3080,825,6,3,7,6,,,,,,,2,0,Completed,1.14,5.5,1.18,5.67,1.18,5.7,1.15,5.31
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Shelton B.,Arnaldi M.,17,42,2055,1061,7,6,3,6,6,3,,,,,2,1,Completed,1.4,3,1.51,2.78,1.51,3,1.44,2.72
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Rune H.,Kovacevic A.,7,93,3700,654,7,6,6,2,,,,,,,2,0,Completed,1.17,5,1.22,4.9,1.23,5.05,1.19,4.48
16,Acapulco,Abierto Mexicano,29/02/2024,ATP500,Outdoor,Hard,2nd Round,3,Ruud C.,Lajovic D.,11,55,3120,922,6,4,7,5,,,,,,,2,0,Completed,1.2,4.5,1.24,4.65,1.25,4.65,1.21,4.34
16,Acapulco,Abierto Mexicano,01/03/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Draper J.,Kecmanovic M.,50,53,951,940,6,2,6,2,,,,,,,2,0,Completed,1.33,3.4,1.38,3.35,1.38,3.5,1.33,3.26
16,Acapulco,Abierto Mexicano,01/03/2024,ATP500,Outdoor,Hard,Quarterfinals,3,De Minaur A.,Tsitsipas S.,9,12,3210,3080,1,6,6,3,6,3,,,,,2,1,Completed,2,1.8,1.93,1.98,2.1,1.98,1.91,1.87
16,Acapulco,Abierto Mexicano,01/03/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Rune H.,Koepfer D.,7,58,3700,918,7,6,7,6,,,,,,,2,0,Completed,1.33,3.4,1.39,3.3,1.39,3.5,1.33,3.26
16,Acapulco,Abierto Mexicano,01/03/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Ruud C.,Shelton B.,11,17,3120,2055,6,7,6,4,6,4,,,,,2,1,Completed,1.73,2.1,1.71,2.28,1.8,2.28,1.68,2.15
16,Acapulco,Abierto Mexicano,02/03/2024,ATP500,Outdoor,Hard,Semifinals,3,De Minaur A.,Draper J.,9,50,3210,951,6,3,2,6,4,0,,,,,1,1,Retired,1.62,2.3,1.68,2.33,1.68,2.33,1.65,2.2
16,Acapulco,Abierto Mexicano,02/03/2024,ATP500,Outdoor,Hard,Semifinals,3,Ruud C.,Rune H.,11,7,3120,3700,3,6,6,3,6,4,,,,,2,1,Completed,1.73,2.1,1.66,2.37,1.73,2.37,1.64,2.23
16,Acapulco,Abierto Mexicano,03/03/2024,ATP500,Outdoor,Hard,The Final,3,De Minaur A.,Ruud C.,9,11,3210,3120,6,4,6,4,,,,,,,2,0,Completed,1.57,2.38,1.6,2.5,1.6,2.5,1.56,2.4
