ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Adelaide,Adelaide International,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Zhang Zh.,58,47,981,1140,6,3,6,4,,,,,,,2,0,Completed,1.62,2.3,1.66,2.35,1.67,2.35,1.61,2.29
3,Adelaide,Adelaide International,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Bautista Agut R.,68,51,775,1067,7,5,6,2,,,,,,,2,0,Completed,1.73,2.1,1.81,2.09,1.81,2.13,1.74,2.07
3,Adelaide,Adelaide International,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,64,60,795,927,7,5,7,6,,,,,,,2,0,Completed,1.62,2.3,1.63,2.42,1.63,2.42,1.61,2.29
3,Adelaide,Adelaide International,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Nishioka Y.,77,63,716,807,6,3,3,6,6,3,,,,,2,1,Completed,1.57,2.38,1.68,2.3,1.7,2.4,1.62,2.27
3,Adelaide,Adelaide International,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Tu L.,Duckworth J.,179,94,323,624,6,1,7,5,,,,,,,2,0,Completed,2.2,1.67,2.25,1.71,2.28,1.71,2.18,1.67
3,Adelaide,Adelaide International,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Guinard M.,Safiullin R.,261,62,209,823,7,6,2,6,6,1,,,,,2,1,Completed,5,1.17,5.02,1.21,5.1,1.21,4.77,1.18
3,Adelaide,Adelaide International,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Vukic A.,45,67,1150,778,6,2,3,6,6,3,,,,,2,1,Completed,2,1.8,1.99,1.9,2.02,1.9,1.96,1.83
3,Adelaide,Adelaide International,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Bublik A.,55,33,1021,1420,6,4,6,2,,,,,,,2,0,Completed,1.62,2.3,1.67,2.33,1.73,2.41,1.62,2.28
3,Adelaide,Adelaide International,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Walton A.,80,91,707,636,7,5,6,1,,,,,,,2,0,Completed,1.57,2.38,1.68,2.3,1.68,2.4,1.6,2.31
3,Adelaide,Adelaide International,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Hanfmann Y.,37,98,1335,615,6,1,2,6,6,3,,,,,2,1,Completed,1.3,3.5,1.32,3.65,1.33,3.74,1.31,3.43
