ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
3,Adelaide,Adelaide International,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Popyrin A.,62,49,873,1000,6,3,7,6,,,,,,,2,0,Completed,2,1.8,2.07,1.83,2.08,1.85,2.01,1.77,2.12,1.86
3,Adelaide,Adelaide International,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Altmaier D.,38,44,1295,1123,6,3,6,0,,,,,,,2,0,Completed,1.4,3,1.41,3.14,1.44,3,1.39,2.9,1.43,3.25
3,Adelaide,Adelaide International,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Vacherot V.,Kecmanovic M.,32,59,1469,910,7,6,6,4,,,,,,,2,0,Completed,1.73,2.1,1.78,2.15,1.75,2.2,1.72,2.09,1.84,2.16
3,Adelaide,Adelaide International,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Atmane T.,36,64,1355,862,6,3,7,6,,,,,,,2,0,Completed,1.3,3.5,1.38,3.3,1.36,3.5,1.33,3.27,1.39,3.5
3,Adelaide,Adelaide International,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Korda S.,670,51,50,975,3,6,6,3,7,6,,,,,2,1,Completed,3.5,1.3,3.47,1.35,3.6,1.35,3.37,1.31,3.55,1.38
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Duckworth J.,35,86,1360,694,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,1.58,2.53,1.67,2.3,1.62,2.25,1.74,2.32
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Schoolkate T.,115,97,527,641,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.71,2.25,1.67,2.3,1.63,2.23,1.8,2.22
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Fearnley J.,85,77,697,752,6,3,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.68,2.38,1.63,2.23,1.71,2.34
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Dzumhur D.,104,66,597,837,4,6,6,4,7,5,,,,,2,1,Completed,1.73,2.1,,,1.74,2.25,1.67,2.15,1.74,2.32
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Vavassori A.,Diallo G.,336,41,147,1215,6,3,7,6,,,,,,,2,0,Completed,3.4,1.33,,,3.5,1.9,3.05,1.42,3.75,1.35
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Quinn E.,55,78,949,733,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.74,2.21,1.9,2.05,1.79,1.98,1.89,2.06
3,Adelaide,Adelaide International,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Tsitsipas S.,87,33,693,1455,7,6,7,6,,,,,,,2,0,Completed,3.75,1.29,,,3.75,1.32,3.51,1.29,4,1.32
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Munar J.,Cerundolo F.,38,20,1295,2035,3,6,7,5,6,4,,,,,2,1,Completed,1.67,2.2,,,1.67,2.25,1.65,2.2,1.76,2.28
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Humbert U.,Griekspoor T.,36,25,1355,1565,6,4,6,1,,,,,,,2,0,Completed,1.53,2.5,,,1.6,2.5,1.53,2.45,1.61,2.58
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Machac T.,Halys Q.,35,85,1360,697,6,4,6,2,,,,,,,2,0,Completed,1.57,2.38,,,1.67,2.4,1.58,2.32,1.64,2.52
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Opelka R.,21,62,2000,873,6,4,6,4,,,,,,,2,0,Completed,1.53,2.5,,,1.61,2.5,1.55,2.4,1.59,2.66
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Shevchenko A.,Fucsovics M.,104,55,597,949,6,3,7,6,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.53,2.61,1.48,2.62,1.59
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Vukic A.,Vavassori A.,87,336,693,147,6,2,7,6,,,,,,,2,0,Completed,1.62,2.3,,,1.63,2.5,1.56,2.39,1.66,2.48
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Vacherot V.,Kokkinakis T.,32,670,1469,50,,,,,,,,,,,,,Walkover,1.44,2.75,,,1.5,2.88,1.44,2.73,1.46,3.05
3,Adelaide,Adelaide International,14/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Hijikata R.,15,115,2585,527,6,3,6,2,,,,,,,2,0,Completed,1.36,3.2,,,1.44,3.2,1.37,3.03,1.43,3.25
3,Adelaide,Adelaide International,15/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Machac T.,Munar J.,35,38,1360,1295,6,4,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.91,2.1,1.77,2.01,1.89,2.1
3,Adelaide,Adelaide International,15/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Paul T.,Vukic A.,21,87,2000,693,6,3,6,2,,,,,,,2,0,Completed,1.22,4.33,,,1.29,4.33,1.24,3.97,1.28,4.4
3,Adelaide,Adelaide International,15/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Humbert U.,Shevchenko A.,36,104,1355,597,6,0,6,3,,,,,,,2,0,Completed,1.25,4,,,1.26,4.2,1.24,3.89,1.29,4.3
3,Adelaide,Adelaide International,15/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Davidovich Fokina A.,Vacherot V.,15,32,2585,1469,7,6,6,2,,,,,,,2,0,Completed,1.53,2.5,,,1.87,2.5,1.55,2.43,1.61,2.6
3,Adelaide,Adelaide International,16/01/2026,ATP250,Outdoor,Hard,Semifinals,3,Machac T.,Paul T.,35,21,1360,2000,2,6,6,3,6,3,,,,,2,1,Completed,2.38,1.57,,,2.4,1.63,2.31,1.59,2.48,1.65
3,Adelaide,Adelaide International,16/01/2026,ATP250,Outdoor,Hard,Semifinals,3,Humbert U.,Davidovich Fokina A.,36,15,1355,2585,6,3,5,7,7,6,,,,,2,1,Completed,1.8,2,,,1.83,2.05,1.77,2.01,1.85,2.16
3,Adelaide,Adelaide International,17/01/2026,ATP250,Outdoor,Hard,The Final,3,Machac T.,Humbert U.,35,36,1360,1355,6,4,6,7,6,2,,,,,2,1,Completed,2.2,1.67,,,2.25,1.68,2.2,1.66,2.36,1.72
