ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
57,Almaty,Almaty Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Engel J.,Wong C.,458,133,91,452,7,5,6,4,,,,,,,2,0,Completed,3,1.4,2.97,1.44,3,1.45,2.88,1.4
57,Almaty,Almaty Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Marterer M.,Dzumhur D.,114,100,507,584,7,5,6,4,,,,,,,2,0,Completed,1.8,2,2.01,1.88,2.01,2.1,1.86,1.93
57,Almaty,Almaty Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Coric B.,Marozsan F.,96,57,595,940,6,4,7,6,,,,,,,2,0,Completed,2.1,1.73,2.16,1.77,2.16,1.82,2.03,1.76
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Diallo G.,O Connell C.,118,72,497,762,7,6,6,2,,,,,,,2,0,Completed,1.8,2,1.94,1.94,1.94,2,1.87,1.91
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Mannarino A.,Safiullin R.,56,58,949,908,5,7,7,6,6,3,,,,,2,1,Completed,3,1.4,3.15,1.4,3.15,1.42,2.96,1.39
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Virtanen O.,Fognini F.,116,76,499,721,6,3,7,6,,,,,,,2,0,Completed,1.57,2.38,1.58,2.57,1.64,2.6,1.54,2.44
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Zhukayev B.,Hassan B.,213,245,272,227,6,4,6,1,,,,,,,2,0,Completed,1.8,2,1.85,2.04,1.87,2.1,1.8,1.99
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Evans D.,Daniel T.,180,89,326,636,6,2,7,6,,,,,,,2,0,Completed,1.44,2.75,1.46,2.9,1.5,2.9,1.44,2.72
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Karatsev A.,Zhang Zh.,139,46,425,1190,6,4,7,6,,,,,,,2,0,Completed,2.1,1.73,2.12,1.79,2.12,1.84,2.02,1.77
57,Almaty,Almaty Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Shevchenko A.,Kukushkin M.,61,111,900,524,7,6,7,6,,,,,,,2,0,Completed,1.67,2.2,1.72,2.23,1.72,2.25,1.67,2.17
57,Almaty,Almaty Open,16/10/2024,ATP250,Indoor,Hard,1st Round,3,Vukic A.,Duckworth J.,85,63,669,848,6,4,7,5,,,,,,,2,0,Completed,1.5,2.63,1.68,2.3,1.68,2.63,1.54,2.43
57,Almaty,Almaty Open,16/10/2024,ATP250,Indoor,Hard,1st Round,3,Machac T.,Skatov T.,25,192,1749,299,6,3,6,4,,,,,,,2,0,Completed,1.11,6.5,1.16,6.12,1.16,6.5,1.13,5.81
57,Almaty,Almaty Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Cerundolo F.,Engel J.,31,458,1470,91,6,4,7,6,,,,,,,2,0,Completed,1.2,4.5,1.25,4.51,1.25,4.59,1.21,4.22
57,Almaty,Almaty Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Diallo G.,Coric B.,118,96,497,595,7,6,6,4,,,,,,,2,0,Completed,1.73,2.1,1.78,2.17,1.78,2.23,1.69,2.13
57,Almaty,Almaty Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Tabilo A.,Marterer M.,23,114,1983,507,6,2,6,4,,,,,,,2,0,Completed,1.44,2.75,1.42,3.14,1.46,3.14,1.42,2.79
57,Almaty,Almaty Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Shevchenko A.,Karatsev A.,61,139,900,425,6,1,6,7,7,5,,,,,2,1,Completed,2,1.8,2.09,1.83,2.13,1.92,2.01,1.78
57,Almaty,Almaty Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Zhukayev B.,Machac T.,213,25,272,1749,3,1,,,,,,,,,0,0,Retired,5,1.17,5.77,1.18,5.77,1.2,4.79,1.18
57,Almaty,Almaty Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Khachanov K.,Virtanen O.,26,116,1745,499,7,6,7,6,,,,,,,2,0,Completed,1.44,2.75,1.52,2.75,1.61,2.92,1.47,2.63
57,Almaty,Almaty Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Vukic A.,Mannarino A.,85,56,669,949,7,6,6,3,,,,,,,2,0,Completed,1.69,2.1,1.81,2.12,1.81,2.13,1.75,2.05
57,Almaty,Almaty Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Tiafoe F.,Evans D.,15,180,2600,326,6,7,7,6,6,3,,,,,2,1,Completed,1.4,3,1.43,3.06,1.45,3.1,1.39,2.93
57,Almaty,Almaty Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Diallo G.,Tabilo A.,118,23,497,1983,3,6,6,3,6,4,,,,,2,1,Completed,2,1.8,2.08,1.84,2.08,1.88,1.99,1.8
57,Almaty,Almaty Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Cerundolo F.,Shevchenko A.,31,61,1470,900,6,2,6,3,,,,,,,2,0,Completed,1.67,2.2,1.73,2.24,1.75,2.27,1.68,2.17
57,Almaty,Almaty Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Vukic A.,Tiafoe F.,85,15,669,2600,6,2,7,6,,,,,,,2,0,Completed,3,1.4,3.11,1.42,3.11,1.48,2.89,1.4
57,Almaty,Almaty Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Khachanov K.,Zhukayev B.,26,213,1745,272,6,2,6,4,,,,,,,2,0,Completed,1.29,3.75,1.28,4.07,1.29,4.1,1.25,3.87
57,Almaty,Almaty Open,19/10/2024,ATP250,Indoor,Hard,Semifinals,3,Diallo G.,Cerundolo F.,118,31,497,1470,6,4,6,2,,,,,,,2,0,Completed,1.8,2,1.88,2.02,1.92,2.07,1.82,1.96
57,Almaty,Almaty Open,19/10/2024,ATP250,Indoor,Hard,Semifinals,3,Khachanov K.,Vukic A.,26,85,1745,669,6,7,6,3,6,4,,,,,2,1,Completed,1.5,2.63,1.53,2.7,1.54,2.75,1.49,2.59
57,Almaty,Almaty Open,20/10/2024,ATP250,Indoor,Hard,The Final,3,Khachanov K.,Diallo G.,26,118,1745,497,6,2,5,7,6,3,,,,,2,1,Completed,1.62,2.3,1.74,2.22,1.75,2.46,2.24,2.25
