ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
52,Almaty,Almaty Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Marozsan F.,Nardi L.,52,83,1040,747,7,6,6,3,,,,,,,2,0,Completed,1.4,3,1.46,2.9,1.41,3,1.39,2.93,1.45,3.15
52,Almaty,Almaty Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Diallo G.,Omarkhanov A.,35,1137,1368,10,6,3,6,1,,,,,,,2,0,Completed,1.01,23,,,1.03,29,1.02,16.1,1.02,38
52,Almaty,Almaty Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Duckworth J.,Blanchet U.,138,150,465,420,6,3,6,4,,,,,,,2,0,Completed,2.1,1.73,2.18,1.74,2.15,1.85,2.08,1.72,2.26,1.76
52,Almaty,Almaty Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Moutet C.,Tomic B.,41,181,1243,312,6,1,7,6,,,,,,,2,0,Completed,1.25,4,1.28,4.03,1.26,4,1.25,3.83,1.3,4.2
52,Almaty,Almaty Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Walton A.,Schoolkate T.,76,96,796,662,7,6,6,7,6,2,,,,,2,1,Completed,1.8,2,1.88,2.01,1.83,2,1.79,1.98,1.88,2.1
52,Almaty,Almaty Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Vukic A.,Topo M.,84,277,733,196,6,4,3,6,6,1,,,,,2,1,Completed,1.44,2.75,1.5,2.77,1.45,2.8,1.43,2.74,1.5,2.96
52,Almaty,Almaty Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Hijikata R.,Skatov T.,114,236,558,238,7,6,2,6,6,3,,,,,2,1,Completed,1.44,2.75,,,1.5,2.75,1.49,2.58,1.55,2.54
52,Almaty,Almaty Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Nakashima B.,Medjedovic H.,34,64,1430,877,7,6,6,2,,,,,,,2,0,Completed,1.8,2,1.81,2.09,1.83,2.02,1.79,1.98,1.93,2.06
52,Almaty,Almaty Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Shevchenko A.,Djere L.,91,79,687,776,7,6,7,6,,,,,,,2,0,Completed,1.62,2.3,1.68,2.3,1.64,2.43,1.59,2.29,1.67,2.42
52,Almaty,Almaty Open,15/10/2025,ATP250,Indoor,Hard,1st Round,3,Mochizuki S.,Cazaux A.,102,58,636,952,6,4,6,4,,,,,,,2,0,Completed,3.75,1.29,3.61,1.33,3.75,1.34,3.46,1.29,3.6,1.37
