ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
58,Antwerp,European Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Carballes Baena R.,Koepfer D.,54,81,980,686,6,4,6,0,,,,,,,2,0,Completed,1.8,2,1.87,2.02,1.87,2.1,1.8,1.99
58,Antwerp,European Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Navone M.,Monteiro T.,43,88,1238,636,6,3,4,6,7,6,,,,,2,1,Completed,2,1.8,2.02,1.87,2.06,1.9,1.97,1.81
58,Antwerp,European Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Etcheverry T.,Gasquet R.,35,135,1375,446,7,6,6,4,,,,,,,2,0,Completed,1.4,3,1.4,3.15,1.45,3.15,1.39,2.92
58,Antwerp,European Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Fucsovics M.,Collignon R.,93,164,614,358,6,2,6,0,,,,,,,2,0,Completed,1.8,2,1.81,2.1,1.83,2.14,1.77,2.02
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Lehecka J.,Munar J.,33,65,1440,844,6,1,6,4,,,,,,,2,0,Completed,1.25,4,1.32,3.67,1.33,4.01,1.28,3.59
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Gaston H.,Vatutin A.,77,336,693,148,3,6,6,3,6,3,,,,,2,1,Completed,1.62,2.3,1.62,2.42,1.65,2.42,1.6,2.29
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Giron M.,Van De Zandschulp B.,47,68,1165,804,6,4,6,1,,,,,,,2,0,Completed,1.91,1.91,1.93,1.96,1.93,2.01,1.87,1.91
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Bautista Agut R.,Van Assche L.,60,119,906,496,6,2,6,1,,,,,,,2,0,Completed,1.91,1.91,1.97,1.92,1.97,1.95,1.89,1.88
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Seyboth Wild T.,Mpetshi G.,80,48,686,1076,7,6,6,3,,,,,,,2,0,Completed,2.1,1.73,2.14,1.78,2.14,1.86,2.04,1.76
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Bergs Z.,Diaz Acosta F.,69,67,793,830,7,5,6,4,,,,,,,2,0,Completed,1.17,5,1.23,4.61,1.24,5,1.2,4.45
58,Antwerp,European Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Rinderknech A.,Blockx A.,62,231,860,247,6,3,6,1,,,,,,,2,0,Completed,1.62,2.3,1.68,2.31,1.75,2.31,1.63,2.24
58,Antwerp,European Open,16/10/2024,ATP250,Indoor,Hard,1st Round,3,Altmaier D.,Bailly G.,84,869,672,21,6,4,6,3,,,,,,,2,0,Completed,1.57,2.38,1.52,2.7,1.59,2.7,1.53,2.45
58,Antwerp,European Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Bautista Agut R.,Etcheverry T.,60,35,906,1375,7,6,6,4,,,,,,,2,0,Completed,2,1.8,2.12,1.81,2.12,1.89,1.98,1.81
58,Antwerp,European Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Gaston H.,Navone M.,77,43,693,1238,6,4,6,7,7,6,,,,,2,1,Completed,2.1,1.73,2.27,1.71,2.27,1.75,2.15,1.68
58,Antwerp,European Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,De Minaur A.,Carballes Baena R.,9,54,3610,980,2,6,6,4,6,2,,,,,2,1,Completed,1.17,5,1.18,5.67,1.2,5.67,1.17,4.9
58,Antwerp,European Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Fucsovics M.,21,93,2155,614,6,7,6,4,6,2,,,,,2,1,Completed,1.44,2.75,1.51,2.77,1.53,2.9,1.46,2.66
58,Antwerp,European Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Lehecka J.,Altmaier D.,33,84,1440,672,6,4,6,3,,,,,,,2,0,Completed,1.17,5,1.19,5.56,1.19,5.56,1.17,4.85
58,Antwerp,European Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Giron M.,Rinderknech A.,47,62,1165,860,7,6,7,6,,,,,,,2,0,Completed,1.62,2.3,1.65,2.39,1.66,2.4,1.61,2.27
58,Antwerp,European Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Tsitsipas S.,Seyboth Wild T.,11,80,3445,686,7,6,4,6,7,5,,,,,2,1,Completed,1.25,4,1.27,4.17,1.28,4.25,1.25,3.9
58,Antwerp,European Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Bergs Z.,Baez S.,69,27,793,1725,6,3,6,4,,,,,,,2,0,Completed,1.25,4,1.27,4.2,1.29,4.2,1.25,3.87
58,Antwerp,European Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Bautista Agut R.,Auger-Aliassime F.,60,21,906,2155,3,6,6,2,7,6,,,,,2,1,Completed,3.4,1.33,3.39,1.37,3.44,1.37,3.24,1.33
58,Antwerp,European Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Gaston H.,De Minaur A.,77,9,693,3610,6,3,3,6,7,5,,,,,2,1,Completed,5.5,1.14,6.61,1.15,6.68,1.16,5.52,1.14
58,Antwerp,European Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Lehecka J.,Tsitsipas S.,33,11,1440,3445,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.9,2,1.9,2,1.82,1.96
58,Antwerp,European Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Giron M.,Bergs Z.,47,69,1165,793,6,2,6,2,,,,,,,2,0,Completed,2.1,1.69,2.21,1.75,2.23,1.75,2.13,1.69
58,Antwerp,European Open,19/10/2024,ATP250,Indoor,Hard,Semifinals,3,Bautista Agut R.,Gaston H.,60,77,906,693,6,3,6,4,,,,,,,2,0,Completed,1.4,3,1.4,3.22,1.44,3.22,1.39,2.94
58,Antwerp,European Open,19/10/2024,ATP250,Indoor,Hard,Semifinals,3,Lehecka J.,Giron M.,33,47,1440,1165,6,3,4,6,6,2,,,,,2,1,Completed,1.44,2.75,1.56,2.5,1.59,2.75,1.5,2.56
58,Antwerp,European Open,20/10/2024,ATP250,Indoor,Hard,The Final,3,Bautista Agut R.,Lehecka J.,60,33,906,1440,7,5,6,1,,,,,,,2,0,Completed,3.2,1.36,3.31,1.38,3.31,1.42,3.04,1.37
