ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Auckland,ASB Classic,05/01/2025,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Darderi L.,36,44,1370,1198,5,7,6,3,7,5,,,,,2,1,Completed,1.36,3.2,1.4,3.15,1.47,3.2,1.39,2.96
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Altmaier D.,59,93,981,625,6,3,3,6,7,5,,,,,2,1,Completed,1.3,3.5,,,1.31,3.6,1.29,3.44
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Bergs Z.,Becroft I.,66,980,783,15,6,3,7,5,,,,,,,2,0,Completed,1.03,17,1.03,23.4,1.03,23.4,1.02,15.63
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Nagal S.,41,96,1245,622,6,7,6,4,6,2,,,,,2,1,Completed,1.17,5,1.24,4.53,1.24,5.17,1.18,4.7
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Navone M.,Mannarino A.,46,73,1148,744,7,6,6,7,6,1,,,,,2,1,Completed,2.63,1.5,2.5,1.59,2.72,1.59,2.53,1.51
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Nardi L.,Cobolli F.,90,32,637,1512,6,2,1,1,,,,,,,1,0,Retired,2.75,1.44,2.71,1.52,2.81,1.53,2.65,1.47
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Diallo G.,54,87,1026,646,7,6,2,6,7,6,,,,,2,1,Completed,2,1.8,1.98,1.91,2.01,1.91,1.93,1.85
4,Auckland,ASB Classic,06/01/2025,ATP250,Outdoor,Hard,1st Round,3,Diaz Acosta F.,Norrie C.,78,48,714,1124,6,2,6,3,,,,,,,2,0,Completed,4.5,1.2,4.29,1.26,5.36,1.26,4.4,1.2
4,Auckland,ASB Classic,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Martinez P.,52,43,1030,1220,1,6,7,6,6,3,,,,,2,1,Completed,1.25,4,1.28,3.99,1.29,4.01,1.27,3.72
4,Auckland,ASB Classic,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Bu Y.,42,65,1225,784,6,3,6,4,,,,,,,2,0,Completed,1.8,2,1.71,2.25,1.8,2.25,1.71,2.11
4,Auckland,ASB Classic,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Basavareddy N.,Comesana F.,133,85,453,661,6,2,6,2,,,,,,,2,0,Completed,1.22,4.33,1.28,4.03,1.28,4.36,1.22,4.12
4,Auckland,ASB Classic,07/01/2025,ATP250,Outdoor,Hard,1st Round,3,Mensik J.,Carreno Busta P.,49,184,1122,317,6,0,4,6,7,5,,,,,2,1,Completed,1.25,4,,,1.33,4.01,1.25,3.73
4,Auckland,ASB Classic,07/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Basavareddy N.,Tabilo A.,133,23,453,1943,6,4,5,7,6,4,,,,,2,1,Completed,1.8,2,1.82,2.11,1.91,2.11,1.81,1.97
4,Auckland,ASB Classic,07/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Bergs Z.,Nardi L.,66,90,783,637,6,1,6,4,,,,,,,2,0,Completed,1.62,2.3,1.65,2.4,1.72,2.42,1.63,2.24
4,Auckland,ASB Classic,08/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,Sonego L.,41,54,1245,1026,7,6,6,2,,,,,,,2,0,Completed,1.57,2.38,1.59,2.53,1.6,2.54,1.56,2.4
4,Auckland,ASB Classic,08/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Diaz Acosta F.,Baez S.,78,28,714,1690,6,4,7,6,,,,,,,2,0,Completed,1.8,2,1.84,2.08,1.84,2.08,1.78,2.01
4,Auckland,ASB Classic,08/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Carballes Baena R.,Cerundolo F.,59,31,981,1620,6,2,7,5,,,,,,,2,0,Completed,2.63,1.5,2.68,1.54,2.68,1.54,2.57,1.5
4,Auckland,ASB Classic,08/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Struff J.L.,52,42,1030,1225,6,1,7,6,,,,,,,2,0,Completed,2.2,1.67,2.21,1.75,2.21,1.75,2.11,1.71
4,Auckland,ASB Classic,08/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Navone M.,36,46,1370,1148,4,6,7,5,6,4,,,,,2,1,Completed,1.4,3,1.47,2.89,1.41,2.95,1.41,2.95
