ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
4,Auckland,ASB Classic,11/01/2026,ATP250,Outdoor,Hard,1st Round,3,Spizzirri E.,Mannarino A.,89,69,672,810,6,4,6,3,,,,,,,2,0,Completed,1.62,2.3,1.59,2.5,1.62,2.4,1.57,2.33,1.62,2.58
4,Auckland,ASB Classic,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Watt J.,48,643,1017,55,6,4,6,3,,,,,,,2,0,Completed,1.07,9,1.08,10,1.07,13,1.06,8.69,1.09,11
4,Auckland,ASB Classic,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Comesana F.,Royer V.,68,57,829,924,6,4,6,4,,,,,,,2,0,Completed,2.2,1.67,2.21,1.74,2.25,1.75,2.12,1.7,2.2,1.78
4,Auckland,ASB Classic,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Gaston H.,28,94,1538,653,6,3,6,4,,,,,,,2,0,Completed,1.5,2.63,1.53,2.65,1.53,2.8,1.5,2.55,1.59,2.66
4,Auckland,ASB Classic,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Baez S.,Nava E.,39,88,1250,677,4,6,7,5,6,3,,,,,2,1,Completed,2,1.8,2.19,1.75,2.1,1.8,2.02,1.76,2.22,1.81
4,Auckland,ASB Classic,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Ugo Carabelli C.,81,47,722,1028,6,4,6,2,,,,,,,2,0,Completed,1.44,2.75,1.47,2.88,1.45,2.8,1.43,2.73,1.46,3
4,Auckland,ASB Classic,12/01/2026,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Navone M.,37,74,1350,760,2,6,6,2,7,5,,,,,2,1,Completed,1.3,3.5,1.34,3.55,1.32,3.5,1.3,3.44,1.35,3.7
4,Auckland,ASB Classic,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Bautista Agut R.,63,90,865,670,6,3,7,6,,,,,,,2,0,Completed,1.44,2.75,1.4,3.19,1.47,3.1,1.4,2.88,1.4,3.4
4,Auckland,ASB Classic,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Muller A.,60,50,895,980,6,2,6,2,,,,,,,2,0,Completed,1.8,2,1.88,2,1.8,2.12,1.74,2.05,1.82,2.18
4,Auckland,ASB Classic,13/01/2026,ATP250,Outdoor,Hard,1st Round,3,Medjedovic H.,Kovacevic A.,96,54,643,964,6,4,3,6,7,6,,,,,2,1,Completed,1.44,2.75,1.53,2.67,1.5,2.8,1.46,2.67,1.54,2.8
