ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
23,Barcelona,Barcelona Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Martinez P.,Nakashima B.,49,32,1130,1620,7,5,5,7,6,4,,,,,2,1,Completed,2.1,1.73,2.19,1.75,2.28,1.79,2.15,1.71
23,Barcelona,Barcelona Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Korda S.,Arnaldi M.,24,42,1970,1340,3,6,6,3,6,2,,,,,2,1,Completed,2,1.8,2.22,1.72,2.22,1.83,2.04,1.77
23,Barcelona,Barcelona Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Fearnley J.,Carballes Baena R.,74,55,820,1001,6,1,7,5,,,,,,,2,0,Completed,,,4.94,1.2,5.3,1.25,4.34,1.22
23,Barcelona,Barcelona Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Medjedovic H.,Mpetshi G.,72,34,843,1579,7,5,7,6,,,,,,,2,0,Completed,1.44,2.75,1.46,2.91,1.52,2.95,1.45,2.75
23,Barcelona,Barcelona Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Rune H.,Ramos A.,13,234,3080,242,7,5,6,4,,,,,,,2,0,Completed,1.13,6,1.16,6.13,1.16,7.2,1.14,5.77
23,Barcelona,Barcelona Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Rublev A.,De Jong J.,8,94,3490,622,6,1,6,3,,,,,,,2,0,Completed,1.36,3.2,1.4,3.18,1.43,3.3,1.37,3.13
23,Barcelona,Barcelona Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Fils A.,Carreno Busta P.,14,99,2820,607,7,6,6,3,,,,,,,2,0,Completed,1.25,4,1.25,4.32,1.27,4.8,1.24,4.05
23,Barcelona,Barcelona Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Baez S.,Dzumhur D.,35,65,1540,899,6,1,7,5,,,,,,,2,0,Completed,1.3,3.5,1.32,3.65,1.33,3.95,1.3,3.55
23,Barcelona,Barcelona Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Tsitsipas S.,Opelka R.,16,105,2645,579,6,2,6,2,,,,,,,2,0,Completed,1.11,6.5,1.16,6.13,1.16,6.8,1.12,6.15
23,Barcelona,Barcelona Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Ruud C.,Galan D.E.,10,117,3215,521,6,4,6,3,,,,,,,2,0,Completed,1.13,6,1.14,6.73,1.16,6.73,1.13,5.98
