ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Moutet C.,Buse I.,31,60,1433,864,6,4,6,4,,,,,,,2,0,Completed,1.53,2.5,,,1.57,2.55,1.52,2.47,1.56,2.74
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Etcheverry T.,Draper J.,29,28,1590,1610,3,6,6,3,4,1,,,,,1,1,Retired,2.2,1.67,,,2.2,1.75,2.1,1.7,2.24,1.78
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Quinn E.,Opelka R.,50,68,927,803,7,5,7,6,,,,,,,2,0,Completed,1.5,2.63,,,1.5,2.63,1.48,2.57,1.57,2.74
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Norrie C.,Wawrinka S.,24,107,1778,608,6,4,6,7,6,4,,,,,2,1,Completed,1.29,3.75,,,1.29,3.75,1.28,3.59,1.32,4
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Medjedovic H.,Trungelliti M.,88,79,664,732,7,5,6,4,,,,,,,2,0,Completed,1.36,3.2,,,1.38,3.3,1.35,3.11,1.42,3.3
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Borges N.,Mannarino A.,52,46,895,1025,6,3,6,4,,,,,,,2,0,Completed,1.2,4.5,,,1.22,5,1.2,4.4,1.24,5
22,Barcelona,Barcelona Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Jodar R.,Munar J.,55,38,886,1175,6,1,6,2,,,,,,,2,0,Completed,1.4,3,,,1.44,3.1,1.39,2.93,1.42,3.25
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,De Minaur A.,Ofner S.,7,86,3895,673,7,6,6,4,,,,,,,2,0,Completed,1.17,5,,,1.19,5.5,1.17,4.89,1.18,6.2
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Sonego L.,Martinez P.,66,125,810,496,6,2,2,6,6,4,,,,,2,1,Completed,2.75,1.44,,,2.75,1.5,2.6,1.48,2.66,1.59
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Musetti L.,Landaluce M.,9,101,3625,634,7,5,6,2,,,,,,,2,0,Completed,1.22,4.33,,,1.25,4.6,1.22,4.14,1.23,5.1
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Khachanov K.,64,14,825,2410,6,3,6,4,,,,,,,2,0,Completed,2.5,1.53,,,2.6,1.62,2.39,1.55,2.42,1.7
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Machac T.,Baez S.,47,57,980,880,2,6,6,4,6,1,,,,,2,1,Completed,1.57,2.38,,,1.67,2.38,1.61,2.26,1.75,2.32
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Alcaraz C.,Virtanen O.,2,130,13240,487,6,4,6,2,,,,,,,2,0,Completed,1.01,21,,,1.03,23,1.02,14.85,1.03,30
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Cerundolo J.M.,33,69,1385,803,6,3,7,5,,,,,,,2,0,Completed,2,1.8,,,2.1,1.83,2.01,1.77,2.18,1.84
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Rublev A.,Navone M.,15,44,2350,1085,6,4,7,5,,,,,,,2,0,Completed,1.57,2.38,,,1.67,2.38,1.63,2.22,1.72,2.36
22,Barcelona,Barcelona Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Fils A.,Atmane T.,30,41,1440,1108,4,6,6,4,7,6,,,,,2,1,Completed,1.17,5,,,1.18,5,1.17,4.85,1.22,5.3
22,Barcelona,Barcelona Open,15/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Borges N.,Etcheverry T.,52,29,895,1590,6,3,7,6,,,,,,,2,0,Completed,3.5,1.3,,,3.5,1.33,3.35,1.31,3.85,1.34
22,Barcelona,Barcelona Open,15/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Medjedovic H.,De Minaur A.,88,7,664,3895,6,3,6,4,,,,,,,2,0,Completed,3.5,1.3,,,3.5,1.4,3.09,1.35,3.4,1.4
22,Barcelona,Barcelona Open,15/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Jodar R.,Ugo Carabelli C.,55,64,886,825,6,3,6,3,,,,,,,2,0,Completed,1.2,4.5,,,1.22,4.6,1.2,4.32,1.23,5.1
22,Barcelona,Barcelona Open,15/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Norrie C.,Quinn E.,24,50,1778,927,6,3,4,6,6,4,,,,,2,1,Completed,1.5,2.63,,,1.53,2.65,1.5,2.54,1.63,2.56
22,Barcelona,Barcelona Open,16/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Machac T.,Alcaraz C.,47,2,980,13240,,,,,,,,,,,,,Walkover,4.5,1.2,,,7,1.22,5.58,1.14,1.14,1.5
22,Barcelona,Barcelona Open,16/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Rublev A.,Sonego L.,15,66,2350,810,6,2,6,3,,,,,,,2,0,Completed,1.25,4,,,1.26,4.2,1.25,3.86,1.28,4.4
22,Barcelona,Barcelona Open,16/04/2026,ATP500,Outdoor,Clay,2nd Round,3,Musetti L.,Moutet C.,9,31,3625,1433,6,3,6,4,,,,,,,2,0,Completed,1.25,4,,,1.3,4,1.25,3.76,1.29,4.3
