ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
37,Bastad,Nordea Open,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,De Jong J.,Rejchtman Vinciguerra W.,106,1476,590,3,6,3,6,2,,,,,,,2,0,Completed,1.02,15,1.01,36.9,1.02,36.9,1.01,19.53
37,Bastad,Nordea Open,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Collignon R.,55,84,1039,715,6,2,2,6,6,2,,,,,2,1,Completed,1.4,3,1.41,3.11,1.43,3.2,1.4,2.94
37,Bastad,Nordea Open,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Gaston H.,Tseng C.H.,91,98,663,631,6,4,6,3,,,,,,,2,0,Completed,2.25,1.67,2.35,1.66,2.35,1.67,2.23,1.64
37,Bastad,Nordea Open,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Dzumhur D.,Ofner S.,70,141,894,433,6,4,6,4,,,,,,,2,0,Completed,2.4,1.53,2.43,1.62,2.5,1.62,2.37,1.56
37,Bastad,Nordea Open,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Kopriva V.,Dellien H.,83,94,719,661,6,1,3,0,,,,,,,1,0,Retired,1.57,2.4,1.63,2.41,1.63,2.55,1.55,2.41
37,Bastad,Nordea Open,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Pellegrino A.,Faria J.,139,115,437,543,2,6,6,3,6,3,,,,,2,1,Completed,1.7,2.2,1.72,2.2,1.76,2.2,1.71,2.11
37,Bastad,Nordea Open,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Budkov Kjaer N.,Monteiro T.,298,152,180,375,5,7,6,3,7,6,,,,,2,1,Completed,2.7,1.45,2.75,1.49,2.75,1.5,2.63,1.47
37,Bastad,Nordea Open,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Ymer E.,Boyer T.,264,126,211,486,6,3,3,6,6,2,,,,,2,1,Completed,1.5,2.5,1.72,2.23,1.73,2.5,1.68,2.17
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,1st Round,3,Navone M.,Barrios M.,75,124,810,493,7,5,7,5,,,,,,,2,0,Completed,1.22,4.33,1.25,4.43,1.28,4.43,1.25,3.89
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,1st Round,3,Misolic F.,Moller E.,105,102,593,609,6,3,3,6,7,5,,,,,2,1,Completed,1.45,2.63,1.5,2.78,1.5,2.78,1.44,2.7
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Garin C.,59,117,972,535,6,4,6,4,,,,,,,2,0,Completed,2.2,1.62,2.29,1.69,2.3,1.69,2.22,1.64
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Ymer M.,100,618,622,53,6,4,6,1,,,,,,,2,0,Completed,1.44,2.8,1.43,3.01,1.44,3.01,1.42,2.84
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,De Jong J.,Kopriva V.,106,83,590,719,7,6,7,5,,,,,,,2,0,Completed,2,1.83,2.03,1.86,2.1,1.86,1.97,1.81
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Griekspoor T.,Pellegrino A.,29,139,1715,437,4,6,7,6,6,3,,,,,2,1,Completed,1.29,3.75,1.31,3.78,1.31,3.95,1.28,3.65
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Darderi L.,Ymer E.,55,264,1039,211,6,2,6,2,,,,,,,2,0,Completed,1.25,4,1.24,4.49,1.29,4.49,1.25,3.87
37,Bastad,Nordea Open,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Baez S.,Budkov Kjaer N.,37,298,1370,180,3,6,6,2,7,5,,,,,2,1,Completed,1.3,3.6,1.32,3.66,1.33,3.66,1.31,3.44
37,Bastad,Nordea Open,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Ugo Carabelli C.,Van De Zandschulp B.,59,100,972,622,7,6,5,7,6,3,,,,,2,1,Completed,2,1.83,2.03,1.87,2.03,1.87,1.97,1.82
37,Bastad,Nordea Open,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Misolic F.,Borges N.,105,35,593,1490,3,6,7,6,6,3,,,,,2,1,Completed,2.1,1.73,2.17,1.76,2.2,1.76,2.13,1.69
37,Bastad,Nordea Open,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Cerundolo F.,Navone M.,20,75,2285,810,6,3,6,3,,,,,,,2,0,Completed,1.75,2.1,1.79,2.13,1.79,2.13,1.73,2.07
37,Bastad,Nordea Open,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Dzumhur D.,Gaston H.,70,91,894,663,4,6,6,2,6,2,,,,,2,1,Completed,1.83,2,1.85,2.05,1.85,2.1,1.74,2.06
37,Bastad,Nordea Open,18/07/2025,ATP250,Outdoor,Clay,Quarterfinals,3,De Jong J.,Griekspoor T.,106,29,590,1715,4,6,7,6,6,3,,,,,2,1,Completed,2.25,1.6,2.33,1.68,2.33,1.68,2.26,1.62
37,Bastad,Nordea Open,18/07/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Ugo Carabelli C.,Misolic F.,59,105,972,593,6,3,7,5,,,,,,,2,0,Completed,1.9,1.85,1.98,1.93,2.04,1.93,1.94,1.84
37,Bastad,Nordea Open,18/07/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Darderi L.,Baez S.,55,37,1039,1370,6,0,6,2,,,,,,,2,0,Completed,1.7,2.2,1.75,2.21,1.75,2.21,1.68,2.16
37,Bastad,Nordea Open,18/07/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Cerundolo F.,Dzumhur D.,20,70,2285,894,6,0,3,6,6,3,,,,,2,1,Completed,1.14,5,1.21,5.01,1.22,5.01,1.18,4.72
37,Bastad,Nordea Open,19/07/2025,ATP250,Outdoor,Clay,Semifinals,3,De Jong J.,Ugo Carabelli C.,106,59,590,972,6,3,7,6,,,,,,,2,0,Completed,1.8,2.05,1.83,2.09,1.83,2.1,1.77,2.02
37,Bastad,Nordea Open,19/07/2025,ATP250,Outdoor,Clay,Semifinals,3,Darderi L.,Cerundolo F.,55,20,1039,2285,6,2,3,6,7,6,,,,,2,1,Completed,2.3,1.57,2.47,1.62,2.47,1.62,2.36,1.57
