ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
49,Beijing,China Open,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Muller A.,Khachanov K.,38,10,1168,3280,4,6,7,6,6,4,,,,,2,1,Completed,4.5,1.2,4.49,1.24,4.6,1.29,4.23,1.22,4.7,1.25
49,Beijing,China Open,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Marozsan F.,Bonzi B.,57,47,920,1083,7,6,6,3,,,,,,,2,0,Completed,1.62,2.3,1.65,2.36,1.66,2.34,1.62,2.26,1.72,2.34
49,Beijing,China Open,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Atmane T.,Zhang Zh.,68,370,839,135,6,4,6,2,,,,,,,2,0,Completed,1.57,2.38,1.58,2.49,1.57,2.6,1.52,2.49,1.59,2.6
49,Beijing,China Open,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Ugo Carabelli C.,20,43,2225,1123,6,1,6,3,,,,,,,2,0,Completed,1.13,6,1.16,5.97,1.17,6,1.15,5.33,1.18,6.2
49,Beijing,China Open,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Sinner J.,Cilic M.,2,97,10780,664,6,2,6,2,,,,,,,2,0,Completed,1.03,17,1.02,23.11,1.03,21,1.02,15.63,1.03,29
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Mensik J.,Kecmanovic M.,19,46,2380,1086,7,5,6,4,,,,,,,2,0,Completed,1.5,2.63,1.51,2.73,1.5,2.75,1.48,2.62,1.52,2.88
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Cobolli F.,Rublev A.,25,14,2040,2610,7,6,6,3,,,,,,,2,0,Completed,2.75,1.44,2.96,1.45,2.9,1.47,2.82,1.42,3.15,1.45
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Rinderknech A.,Goffin D.,54,87,932,734,6,4,3,6,6,4,,,,,2,1,Completed,1.67,2.2,,,1.73,2.2,1.7,2.13,,
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,De Minaur A.,Bu Y.,8,89,3545,721,6,4,6,0,,,,,,,2,0,Completed,1.2,4.5,1.22,4.85,1.22,4.75,1.19,4.6,1.23,5.3
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Shang J.,80,238,782,235,0,6,7,6,7,5,,,,,2,1,Completed,2,1.8,1.89,1.99,2,1.91,1.93,1.84,1.96,2
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Tien L.,Cerundolo F.,52,21,985,2135,4,6,6,3,6,4,,,,,2,1,Completed,2.2,1.67,2.12,1.79,2.2,1.85,2.08,1.73,2.22,1.81
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Norrie C.,18,34,2410,1397,6,3,6,4,,,,,,,2,0,Completed,1.3,3.5,1.29,3.91,1.4,3.5,1.32,3.34,1.34,3.8
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Mannarino A.,Bublik A.,60,16,897,2445,6,3,6,2,,,,,,,2,0,Completed,3,1.4,3.18,1.4,3,1.5,2.87,1.41,3.25,1.42
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Moutet C.,Griekspoor T.,37,31,1233,1565,6,4,7,5,,,,,,,2,0,Completed,1.73,2.1,1.79,2.12,1.73,2.25,1.7,2.12,1.85,2.16
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Musetti L.,Mpetshi G.,9,36,3505,1275,7,6,6,7,6,4,,,,,2,1,Completed,1.33,3.4,1.36,3.42,1.36,3.75,1.34,3.25,1.35,3.7
49,Beijing,China Open,26/09/2025,ATP500,Outdoor,Hard,1st Round,3,Zverev A.,Sonego L.,3,44,5930,1105,6,4,6,3,,,,,,,2,0,Completed,1.25,4,1.27,4.12,1.27,5.25,1.23,4.06,1.28,4.4
49,Beijing,China Open,27/09/2025,ATP500,Outdoor,Hard,2nd Round,3,Marozsan F.,Muller A.,57,38,920,1168,6,3,7,6,,,,,,,2,0,Completed,1.57,2.38,1.64,2.42,1.62,2.38,1.59,2.29,1.67,2.44
49,Beijing,China Open,27/09/2025,ATP500,Outdoor,Hard,2nd Round,3,De Minaur A.,Rinderknech A.,8,54,3545,932,6,3,3,6,7,6,,,,,2,1,Completed,1.07,9,1.11,8.03,1.12,9,1.1,6.96,1.13,8.2
49,Beijing,China Open,27/09/2025,ATP500,Outdoor,Hard,2nd Round,3,Sinner J.,Atmane T.,2,68,10780,839,6,4,5,7,6,0,,,,,2,1,Completed,1.04,13,1.02,19.03,1.05,13,1.04,10.92,1.05,17.5
49,Beijing,China Open,27/09/2025,ATP500,Outdoor,Hard,2nd Round,3,Mensik J.,Cazaux A.,19,80,2380,782,6,3,2,6,6,4,,,,,2,1,Completed,1.44,2.75,1.45,2.98,1.46,2.9,1.43,2.78,1.48,3
49,Beijing,China Open,28/09/2025,ATP500,Outdoor,Hard,2nd Round,3,Tien L.,Cobolli F.,52,25,985,2040,6,3,6,2,,,,,,,2,0,Completed,2.5,1.53,2.47,1.61,2.5,1.57,2.37,1.56,2.48,1.66
49,Beijing,China Open,28/09/2025,ATP500,Outdoor,Hard,2nd Round,3,Musetti L.,Mannarino A.,9,60,3505,897,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.53,2.7,1.5,2.8,1.44,2.7,1.55,2.78
49,Beijing,China Open,28/09/2025,ATP500,Outdoor,Hard,2nd Round,3,Medvedev D.,Davidovich Fokina A.,18,20,2410,2225,6,3,6,3,,,,,,,2,0,Completed,1.67,2.2,1.75,2.21,1.73,2.2,1.7,2.12,1.75,2.3
