ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,29/12/2024,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Goffin D.,68,52,778,1037,6,2,6,3,,,,,,,2,0,Completed,2,1.8,2.08,1.83,2.14,1.83,2.03,1.78
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,O Connell C.,41,64,1245,795,6,4,4,6,7,6,,,,,2,1,Completed,1.44,2.75,1.48,2.85,1.48,2.9,1.43,2.74
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Tabilo A.,75,23,730,1943,6,7,7,6,6,4,,,,,2,1,Completed,1.67,2.2,1.73,2.22,1.73,2.25,1.67,2.18
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rinderknech A.,69,59,776,927,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.64,2.39,1.65,2.5,1.59,2.36
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Berrettini M.,26,34,1745,1380,3,6,6,3,6,4,,,,,2,1,Completed,2.63,1.5,2.47,1.6,2.63,1.6,2.48,1.54
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Navone M.,35,47,1370,1148,7,5,7,6,,,,,,,2,0,Completed,1.36,3.2,1.4,3.16,1.4,3.3,1.36,3.13
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Hanfmann Y.,10,96,3350,627,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.15,6.43,1.17,6.43,1.14,5.58
1,Brisbane,Brisbane International,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Rune H.,28,13,1660,3025,7,5,6,3,,,,,,,2,0,Completed,2.5,1.53,2.55,1.57,2.55,1.57,2.44,1.54
1,Brisbane,Brisbane International,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Gomez F.,293,137,176,442,7,5,6,4,,,,,,,2,0,Completed,1.5,2.63,1.54,2.62,1.54,2.75,1.5,2.57
1,Brisbane,Brisbane International,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Popyrin A.,37,24,1345,1865,6,3,6,2,,,,,,,2,0,Completed,2.5,1.53,2.46,1.61,2.51,1.61,2.41,1.56
