ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
53,Brussels,European Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Giron M.,Bellucci M.,54,71,1000,837,6,3,6,4,,,,,,,2,0,Completed,1.67,2.2,1.76,2.17,1.7,2.23,1.68,2.16,1.79,2.24
53,Brussels,European Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Bonzi B.,Opelka R.,53,62,1005,895,6,4,6,4,,,,,,,2,0,Completed,1.67,2.2,1.81,2.11,1.73,2.2,1.68,2.15,1.78,2.26
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Bailly G.A.,Altmaier D.,247,51,221,1048,6,4,6,7,6,3,,,,,2,1,Completed,2.75,1.44,2.89,1.45,3,1.45,2.78,1.42,2.88,1.52
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Spizzirri E.,Martinez P.,111,89,563,718,6,4,6,1,,,,,,,2,0,Completed,1.33,3.4,1.36,3.37,1.33,3.5,1.31,3.36,1.35,3.75
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Mpetshi G.,Ruusuvuori E.,37,608,1365,58,7,6,6,7,6,4,,,,,2,1,Completed,1.44,2.75,1.55,2.62,1.46,3,1.41,2.83,1.45,3.2
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Royer V.,Baez S.,70,44,847,1155,6,2,6,3,,,,,,,2,0,Completed,1.3,3.5,1.42,3.03,1.35,3.5,1.33,3.25,1.39,3.5
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Comesana F.,Goffin D.,68,105,867,609,7,6,6,4,,,,,,,2,0,Completed,2.3,1.62,2.35,1.66,2.38,1.7,2.19,1.66,2.3,1.74
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Collignon R.,Bergs Z.,90,39,713,1299,6,4,7,6,,,,,,,2,0,Completed,2.2,1.67,2.06,1.84,2.3,1.72,2.2,1.65,2.32,1.75
53,Brussels,European Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Fonseca J.,86,45,727,1129,7,5,7,6,,,,,,,2,0,Completed,2.75,1.44,2.69,1.52,2.75,1.5,2.62,1.47,2.94,1.51
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,1st Round,3,Basilashvili N.,Halys Q.,101,77,642,789,6,4,6,4,,,,,,,2,0,Completed,2,1.8,2.2,1.74,2.1,1.8,2.02,1.77,2.16,1.85
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,1st Round,3,Dzumhur D.,Cina F.,67,226,868,247,6,7,6,2,7,6,,,,,2,1,Completed,1.57,2.38,1.6,2.47,1.58,2.5,1.57,2.38,1.64,2.46
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,1st Round,3,Hanfmann Y.,Arnaldi M.,139,74,464,818,6,7,6,4,6,4,,,,,2,1,Completed,1.73,2.1,1.76,2.17,1.75,2.12,1.71,2.1,1.81,2.2
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,2nd Round,3,Bonzi B.,Royer V.,53,70,1005,847,7,6,4,6,6,1,,,,,2,1,Completed,1.8,2,1.94,1.93,1.96,2.05,1.81,1.97,1.92,2.06
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,2nd Round,3,Lehecka J.,Bailly G.A.,17,247,2415,221,6,3,6,2,,,,,,,2,0,Completed,1.17,5,1.14,6.36,1.18,5.75,1.17,4.89,1.24,5
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,2nd Round,3,Collignon R.,Comesana F.,90,68,713,867,7,5,3,6,7,6,,,,,2,1,Completed,1.44,2.75,,,1.46,2.8,1.44,2.72,1.5,2.98
53,Brussels,European Open,15/10/2025,ATP250,Indoor,Hard,2nd Round,3,Davidovich Fokina A.,Giron M.,20,54,2260,1000,6,7,6,1,6,4,,,,,2,1,Completed,1.53,2.5,1.71,2.26,1.6,2.54,1.53,2.46,1.56,2.74
53,Brussels,European Open,16/10/2025,ATP250,Indoor,Hard,2nd Round,3,Mpetshi G.,Basilashvili N.,37,101,1365,642,7,5,0,0,,,,,,,1,0,Retired,1.53,2.5,1.62,2.42,1.56,2.5,1.52,2.48,1.59,2.66
