ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,Bucharest,Tiriac Open,31/03/2025,ATP250,Outdoor,Clay,1st Round,3,Navone M.,Djere L.,61,78,925,791,6,1,4,6,6,2,,,,,2,1,Completed,2,1.8,2.04,1.85,2.14,1.85,2.03,1.78
19,Bucharest,Tiriac Open,31/03/2025,ATP250,Outdoor,Clay,1st Round,3,Jianu F.C.,Basavareddy N.,241,108,229,571,6,3,6,4,,,,,,,2,0,Completed,2.38,1.57,2.6,1.55,2.6,1.64,2.41,1.56
19,Bucharest,Tiriac Open,31/03/2025,ATP250,Outdoor,Clay,1st Round,3,Gasquet R.,Van De Zandschulp B.,148,88,386,730,4,6,7,5,6,1,,,,,2,1,Completed,3.75,1.29,3.83,1.3,3.83,1.3,3.59,1.29
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,O Connell C.,Lajovic D.,87,109,735,570,6,4,6,3,,,,,,,2,0,Completed,2.38,1.57,2.36,1.65,2.51,1.65,2.37,1.57
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Dzumhur D.,Vacherot V.,65,259,874,208,6,2,6,1,,,,,,,2,0,Completed,1.62,2.3,1.65,2.36,1.65,2.38,1.61,2.3
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Fucsovics M.,Nardi L.,90,93,655,637,6,3,6,1,,,,,,,2,0,Completed,1.5,2.63,1.49,2.52,1.51,2.75,1.48,2.59
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Misolic F.,Shevchenko A.,232,105,235,578,6,3,6,4,,,,,,,2,0,Completed,1.73,2.1,1.85,2.04,1.85,2.15,1.75,2.05
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Albot R.,63,223,918,248,6,4,6,3,,,,,,,2,0,Completed,1.22,4.33,1.26,4.27,1.26,4.33,1.23,4.05
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Bautista Agut R.,Bu Y.,52,67,1049,873,3,6,6,2,7,5,,,,,2,1,Completed,1.73,2.1,1.78,2.15,1.78,2.21,1.71,2.1
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Comesana F.,Klizan M.,64,316,890,165,4,6,7,5,7,5,,,,,2,1,Completed,1.3,3.5,1.32,3.65,1.33,3.65,1.31,3.43
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Diallo G.,Tseng C.H.,81,101,770,587,7,6,7,,,,,,,,2,0,Completed,2.38,1.57,2.32,1.67,2.38,1.67,2.26,1.62
19,Bucharest,Tiriac Open,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Wawrinka S.,Skatov T.,161,174,355,324,6,4,6,7,7,6,,,,,2,1,Completed,1.57,2.38,1.64,2.38,1.67,2.45,1.59,2.31
19,Bucharest,Tiriac Open,02/04/2025,ATP250,Outdoor,Clay,2nd Round,3,Misolic F.,Ugo Carabelli C.,232,63,235,918,6,3,6,1,,,,,,,2,0,Completed,2.5,1.53,2.77,1.51,2.79,1.55,2.54,1.51
19,Bucharest,Tiriac Open,02/04/2025,ATP250,Outdoor,Clay,2nd Round,3,Cobolli F.,Gasquet R.,45,148,1260,386,6,4,4,6,6,1,,,,,2,1,Completed,1.44,2.75,1.49,2.84,1.53,2.84,1.46,2.69
