ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Moller E.,Boitan G.A.,134,306,478,167,6,3,7,5,,,,,,,2,0,Completed,1.33,3.4,,,1.36,3.4,1.33,3.22,1.42,3.35
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Navone M.,O Connell C.,60,128,860,493,6,4,7,6,,,,,,,2,0,Completed,1.25,4,,,1.3,4,1.27,3.6,1.32,4
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Shevchenko A.,Turcanu R.D.,76,659,716,52,6,2,6,4,,,,,,,2,0,Completed,1.11,6.5,,,1.11,8,1.09,6.93,1.08,12.5
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Droguet T.,Bautista Agut R.,122,80,528,685,6,1,1,6,6,1,,,,,2,1,Completed,1.67,2.2,,,1.68,2.2,1.65,2.18,1.75,2.32
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Maestrelli F.,62,114,841,577,6,3,6,2,,,,,,,2,0,Completed,1.36,3.2,,,1.4,3.4,1.36,3.05,1.49,3
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Dzumhur D.,Jianu F.C.,74,246,731,219,6,3,4,6,7,6,,,,,2,1,Completed,1.4,3,,,1.45,3,1.42,2.76,1.51,2.92
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Prizmic D.,Basilashvili N.,112,129,585,493,6,4,6,2,,,,,,,2,0,Completed,1.57,2.38,,,1.57,2.38,1.57,2.38,,
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Sakellaridis S.,Choinski J.,225,120,252,534,6,3,6,4,,,,,,,2,0,Completed,2.63,1.5,,,2.63,1.5,2.63,1.5,,
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Molcan A.,Arnaldi M.,189,107,314,605,6,3,6,1,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.5,2.67,1.44,2.94,1.5
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Merida Aguilar D.,Virtanen O.,136,123,458,512,7,6,5,7,7,5,,,,,2,1,Completed,1.4,3,,,1.44,3,1.41,2.82,1.48,3
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Baez S.,Gaubas V.,50,108,980,603,6,3,6,1,,,,,,,2,0,Completed,1.22,4.33,,,1.25,4.33,1.23,3.98,1.28,4.5
18,Bucharest,Tiriac Open,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Altmaier D.,Martinez P.,52,113,960,580,6,1,6,4,,,,,,,2,0,Completed,1.91,1.91,,,1.97,1.91,1.9,1.84,2.02,1.96
18,Bucharest,Tiriac Open,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Van De Zandschulp B.,Shevchenko A.,62,76,841,716,7,5,6,1,,,,,,,2,0,Completed,1.53,2.5,,,1.54,2.54,1.52,2.47,1.61,2.58
18,Bucharest,Tiriac Open,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Navone M.,Moller E.,60,134,860,478,6,2,6,1,,,,,,,2,0,Completed,1.25,4,,,1.26,4,1.25,3.81,1.29,4.3
18,Bucharest,Tiriac Open,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Dzumhur D.,Borges N.,74,48,731,995,7,6,6,4,,,,,,,2,0,Completed,2.5,1.53,,,2.55,1.54,2.48,1.51,2.58,1.62
18,Bucharest,Tiriac Open,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Molcan A.,Diallo G.,189,36,314,1175,6,2,6,2,,,,,,,2,0,Completed,2.2,1.67,,,2.28,1.67,2.21,1.63,2.48,1.65
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Merida Aguilar D.,Mannarino A.,136,43,458,1082,4,6,6,2,6,2,,,,,2,1,Completed,1.22,4.33,,,1.27,4.33,1.23,4.04,1.31,4.2
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Droguet T.,Baez S.,122,50,528,980,6,4,6,4,,,,,,,2,0,Completed,3.2,1.36,,,3.25,1.38,3.07,1.35,3.15,1.46
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Marozsan F.,Sakellaridis S.,47,225,1005,252,7,6,7,5,,,,,,,2,0,Completed,1.3,3.5,,,1.36,3.6,1.31,3.32,1.37,3.6
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Altmaier D.,Prizmic D.,52,112,960,585,3,6,7,6,7,6,,,,,2,1,Completed,2.5,1.53,,,2.5,1.64,2.36,1.55,2.66,1.58
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Van De Zandschulp B.,Dzumhur D.,62,74,841,731,6,3,6,3,,,,,,,2,0,Completed,1.53,2.5,,,1.53,2.63,1.5,2.51,1.58,2.66
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Navone M.,Molcan A.,60,189,860,314,3,6,6,2,6,3,,,,,2,1,Completed,1.36,3.2,,,1.37,3.2,1.35,3.06,1.41,3.4
18,Bucharest,Tiriac Open,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Merida Aguilar D.,Droguet T.,136,122,458,528,4,6,7,6,3,1,,,,,1,1,Retired,2.38,1.57,,,2.38,1.63,2.29,1.59,2.5,1.66
