ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
9,Buenos Aires,Argentina Open,10/02/2025,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,Carballes Baena R.,81,50,717,1071,7,6,7,5,,,,,,,2,0,Completed,2.5,1.53,2.48,1.6,2.59,1.6,2.44,1.55
9,Buenos Aires,Argentina Open,10/02/2025,ATP250,Outdoor,Clay,1st Round,3,Djere L.,Muller A.,112,58,525,953,6,3,6,3,,,,,,,2,0,Completed,1.57,2.38,1.6,2.47,1.6,2.47,1.56,2.39
9,Buenos Aires,Argentina Open,10/02/2025,ATP250,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Diaz Acosta F.,77,75,732,748,3,6,6,2,6,3,,,,,2,1,Completed,2.2,1.67,2.19,1.75,2.22,1.75,2.13,1.7
9,Buenos Aires,Argentina Open,11/02/2025,ATP250,Outdoor,Clay,1st Round,3,Navone M.,Comesana F.,47,84,1158,674,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.44,2.98,1.45,3,1.41,2.88
9,Buenos Aires,Argentina Open,11/02/2025,ATP250,Outdoor,Clay,1st Round,3,Baez S.,Ugo Carabelli C.,31,87,1535,672,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.46,2.91,1.46,3.23,1.39,2.95
9,Buenos Aires,Argentina Open,11/02/2025,ATP250,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Burruchaga R.,139,141,432,428,7,6,5,7,7,5,,,,,2,1,Completed,2,1.8,2.14,1.78,2.14,1.83,2.03,1.76
9,Buenos Aires,Argentina Open,11/02/2025,ATP250,Outdoor,Clay,1st Round,3,Cerundolo F.,Darderi L.,28,59,1670,945,6,4,6,4,,,,,,,2,0,Completed,1.36,3.2,1.37,3.36,1.37,3.36,1.34,3.18
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,1st Round,3,Fonseca J.,Etcheverry T.,99,44,600,1240,6,3,6,3,,,,,,,2,0,Completed,1.8,2,1.81,2.1,1.82,2.1,1.78,2.01
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Gaston H.,115,91,501,649,6,3,6,2,,,,,,,2,0,Completed,1.67,2.2,1.68,2.3,1.68,2.3,1.65,2.2
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Dzumhur D.,41,90,1295,654,0,6,6,2,7,6,,,,,2,1,Completed,1.36,3.2,1.41,3.12,1.42,3.21,1.38,3.01
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,1st Round,3,Schwartzman D.,Jarry N.,386,40,124,1340,7,6,4,6,6,3,,,,,2,1,Completed,4.33,1.22,4.23,1.26,4.33,1.29,4.01,1.23
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,1st Round,3,Moutet C.,Nagal S.,66,129,872,473,7,5,6,2,,,,,,,2,0,Completed,1.44,2.75,1.44,2.98,1.47,3.01,1.42,2.8
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Djere L.,Tabilo A.,112,27,525,1705,2,6,6,1,7,6,,,,,2,1,Completed,1.53,2.5,1.56,2.6,1.57,2.6,1.53,2.46
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Zverev A.,Lajovic D.,2,81,8135,717,6,4,6,4,,,,,,,2,0,Completed,1.11,6.5,1.11,8.14,1.12,8.27,1.09,7.14
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Seyboth Wild T.,Baez S.,77,31,732,1535,6,3,6,4,,,,,,,2,0,Completed,2.63,1.5,2.74,1.52,2.75,1.52,2.63,1.47
9,Buenos Aires,Argentina Open,12/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Cerundolo F.,Cerundolo J.M.,28,139,1670,432,6,2,6,3,,,,,,,2,0,Completed,1.17,5,1.23,4.73,1.23,5,1.2,4.43
9,Buenos Aires,Argentina Open,13/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Fonseca J.,Coria F.,99,115,600,501,2,6,6,4,6,2,,,,,2,1,Completed,1.13,6,1.18,5.78,1.18,6.05,1.15,5.37
9,Buenos Aires,Argentina Open,13/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Martinez P.,Schwartzman D.,41,386,1295,124,6,2,6,2,,,,,,,2,0,Completed,1.36,3.2,1.41,3.17,1.41,3.22,1.37,3.01
9,Buenos Aires,Argentina Open,13/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Navone M.,Rune H.,47,12,1158,3010,6,1,7,6,,,,,,,2,0,Completed,2.38,1.57,2.26,1.6,2.65,1.61,2.4,1.54
9,Buenos Aires,Argentina Open,13/02/2025,ATP250,Outdoor,Clay,2nd Round,3,Musetti L.,Moutet C.,16,66,2650,872,6,2,6,3,,,,,,,2,0,Completed,1.3,3.5,1.35,3.49,1.36,3.5,1.32,3.28
9,Buenos Aires,Argentina Open,14/02/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Djere L.,Seyboth Wild T.,112,77,525,732,7,6,6,3,,,,,,,2,0,Completed,1.73,2.1,1.76,2.18,1.76,2.22,1.72,2.1
9,Buenos Aires,Argentina Open,14/02/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Fonseca J.,Navone M.,99,47,600,1158,3,6,6,4,7,5,,,,,2,1,Completed,1.57,2.38,1.65,2.41,1.65,2.47,1.58,2.36
9,Buenos Aires,Argentina Open,14/02/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Cerundolo F.,Zverev A.,28,2,1670,8135,3,6,6,3,6,2,,,,,2,1,Completed,3.5,1.3,3.17,1.41,3.5,1.41,3.11,1.35
9,Buenos Aires,Argentina Open,15/02/2025,ATP250,Outdoor,Clay,Quarterfinals,3,Martinez P.,Musetti L.,41,16,1295,2650,,,,,,,,,,,,,Walkover,3.4,1.33,3.72,1.32,3.72,1.35,3.43,1.3
9,Buenos Aires,Argentina Open,15/02/2025,ATP250,Outdoor,Clay,Semifinals,3,Fonseca J.,Djere L.,99,112,600,525,7,6,5,7,6,1,,,,,2,1,Completed,1.62,2.3,1.71,2.27,1.72,2.46,1.64,2.24
9,Buenos Aires,Argentina Open,15/02/2025,ATP250,Outdoor,Clay,Semifinals,3,Cerundolo F.,Martinez P.,28,41,1670,1295,6,2,6,4,,,,,,,2,0,Completed,1.3,3.5,1.32,3.76,1.34,3.76,1.3,3.46
9,Buenos Aires,Argentina Open,16/02/2025,ATP250,Outdoor,Clay,The Final,3,Fonseca J.,Cerundolo F.,99,28,600,1670,6,4,7,6,,,,,,,2,0,Completed,2.3,1.62,2.31,1.69,2.32,1.75,2.25,1.63
