ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
7,Buenos Aires,Argentina Open,09/02/2026,ATP250,Outdoor,Clay,1st Round,3,Dellien H.,Dzumhur D.,167,62,355,877,6,4,6,1,,,,,,,2,0,Completed,1.8,2,,,1.83,2.05,1.81,1.96,1.92,2.06
7,Buenos Aires,Argentina Open,09/02/2026,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Midon L.,94,229,636,245,6,4,6,1,,,,,,,2,0,Completed,1.73,2.1,,,1.8,2.1,1.75,2.04,1.8,2.2
7,Buenos Aires,Argentina Open,09/02/2026,ATP250,Outdoor,Clay,1st Round,3,Etcheverry T.,Pellegrino A.,54,145,945,434,6,3,6,4,,,,,,,2,0,Completed,1.2,4.5,,,1.22,4.5,1.2,4.36,1.23,5.2
7,Buenos Aires,Argentina Open,09/02/2026,ATP250,Outdoor,Clay,1st Round,3,Kopriva V.,Barrena A.,95,180,632,336,6,4,3,6,6,4,,,,,2,1,Completed,1.44,2.75,,,1.54,2.75,1.48,2.59,1.52,2.88
7,Buenos Aires,Argentina Open,10/02/2026,ATP250,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Altmaier D.,80,51,717,995,6,2,6,2,,,,,,,2,0,Completed,1.67,2.2,,,1.72,2.31,1.64,2.21,1.73,2.3
7,Buenos Aires,Argentina Open,10/02/2026,ATP250,Outdoor,Clay,1st Round,3,Barrios M.,Seyboth Wild T.,114,197,546,305,4,6,6,5,,,,,,,0,1,Retired,1.62,2.3,,,1.67,2.3,1.63,2.23,1.71,2.34
7,Buenos Aires,Argentina Open,10/02/2026,ATP250,Outdoor,Clay,1st Round,3,Tabilo A.,Diaz Acosta F.,71,285,774,182,7,6,6,3,,,,,,,2,0,Completed,1.8,2,,,1.8,2.09,1.77,2.01,1.91,2.06
7,Buenos Aires,Argentina Open,10/02/2026,ATP250,Outdoor,Clay,1st Round,3,Burruchaga R.,Djere L.,104,91,568,651,6,2,6,4,,,,,,,2,0,Completed,1.67,2.2,,,1.75,2.2,1.69,2.14,1.76,2.28
7,Buenos Aires,Argentina Open,10/02/2026,ATP250,Outdoor,Clay,1st Round,3,Buse I.,Passaro F.,96,159,623,376,5,7,7,5,6,4,,,,,2,1,Completed,2.38,1.57,,,2.4,1.58,2.36,1.56,2.58,1.61
7,Buenos Aires,Argentina Open,10/02/2026,ATP250,Outdoor,Clay,1st Round,3,Berrettini M.,Coria F.,58,322,895,156,7,5,7,5,,,,,,,2,0,Completed,1.11,6.5,,,1.14,7.5,1.12,5.99,1.13,7.8
