ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
47,Chengdu,Chengdu Open,17/09/2025,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Quinn E.,50,81,1000,773,7,5,6,4,,,,,,,2,0,Completed,1.8,2,1.85,2.03,1.81,2.02,1.79,1.99,1.87,2.12
47,Chengdu,Chengdu Open,17/09/2025,ATP250,Outdoor,Hard,1st Round,3,Zhou Y.,Norrie C.,304,34,170,1397,6,7,6,4,7,6,,,,,2,1,Completed,4.5,1.2,4.64,1.22,4.5,1.22,4.35,1.21,4.8,1.25
47,Chengdu,Chengdu Open,17/09/2025,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Halys Q.,103,75,619,806,6,7,6,3,6,4,,,,,2,1,Completed,1.91,1.91,1.93,1.94,1.93,1.95,1.9,1.87,2,1.98
47,Chengdu,Chengdu Open,17/09/2025,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Bergs Z.,138,46,460,1089,6,1,5,7,6,4,,,,,2,1,Completed,1.8,2,1.76,2.15,1.81,2.1,1.75,2.04,1.84,2.16
47,Chengdu,Chengdu Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Misolic F.,36,92,1275,671,3,6,6,1,6,4,,,,,2,1,Completed,1.57,2.38,1.61,2.42,1.6,2.4,1.57,2.36,1.62,2.56
47,Chengdu,Chengdu Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Cerundolo J.M.,44,72,1090,829,4,6,6,3,6,1,,,,,2,1,Completed,1.53,2.5,1.56,2.56,1.55,2.6,1.52,2.51,1.56,2.74
47,Chengdu,Chengdu Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Thompson J.,112,78,567,795,6,4,6,3,,,,,,,2,0,Completed,1.8,2,1.84,2.04,2.05,2.05,1.82,1.95,1.87,2.1
47,Chengdu,Chengdu Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Wong C.,168,149,326,418,6,3,6,2,,,,,,,2,0,Completed,3,1.4,2.85,1.47,3,1.8,2.7,1.46,3.05,1.47
47,Chengdu,Chengdu Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Prizmic D.,Atmane T.,121,70,536,852,6,4,6,3,,,,,,,2,0,Completed,1.8,2,1.81,2.07,1.83,2.4,1.76,2.03,1.83,2.14
47,Chengdu,Chengdu Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,McDonald M.,Van De Zandschulp B.,98,83,642,759,6,4,3,6,6,3,,,,,2,1,Completed,1.91,1.91,1.95,1.92,2.02,1.91,1.93,1.85,2,1.95
