ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Rinderknech A.,Borges N.,70,38,874,1290,6,3,6,3,,,,,,,2,0,Completed,2.5,1.5,2.69,1.51,2.75,1.53,2.53,1.5
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Fonseca J.,Bu Y.,52,75,1045,813,4,6,6,2,7,5,,,,,2,1,Completed,1.33,3.25,1.45,2.91,1.4,3.3,1.35,3.13
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Carballes Baena R.,Gaston H.,87,123,720,503,6,4,5,7,6,3,,,,,2,1,Completed,1.8,2.05,1.82,2.07,1.8,2.1,1.75,2.04
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Bonzi B.,Arnaldi M.,63,37,907,1315,6,7,6,3,6,4,,,,,2,1,Completed,2.8,1.45,3.25,1.38,2.9,1.45,2.77,1.43
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Martinez P.,Jarry N.,66,100,890,638,1,6,6,4,6,3,,,,,2,1,Completed,4,1.25,3.63,1.32,4,1.3,3.7,1.27
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Wong C.,Mpetshi G.,177,42,307,1185,6,3,6,2,,,,,,,2,0,Completed,2.4,1.53,,,2.63,1.55,2.47,1.52
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Bergs Z.,Fearnley J.,54,57,1034,1004,6,1,6,4,,,,,,,2,0,Completed,2.1,1.75,2.15,1.78,2.1,1.8,2.06,1.74
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Galan D.E.,Kopriva V.,144,81,430,760,6,2,6,4,,,,,,,2,0,Completed,1.7,2.1,1.74,2.18,1.8,2.1,1.73,2.06
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Safiullin R.,Tabilo A.,80,103,761,605,6,3,6,3,,,,,,,2,0,Completed,1.4,3,1.42,3.08,1.4,3.5,1.37,2.99
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Atmane T.,Nishioka Y.,136,130,460,469,6,2,6,2,,,,,,,2,0,Completed,2.1,1.7,2.19,1.75,2.23,1.73,2.16,1.68
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Etcheverry T.,Shang J.,58,110,985,565,6,7,7,6,6,4,,,,,2,1,Completed,1.57,2.4,1.66,2.34,1.57,2.48,1.55,2.39
44,Cincinnati,Western & Southern Financial Group Masters,07/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Thompson J.,89,50,704,1085,6,2,6,2,,,,,,,2,0,Completed,1.67,2.2,1.73,2.2,1.7,2.23,1.66,2.19
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Moutet C.,McDonald M.,44,95,1156,669,7,5,6,3,,,,,,,2,0,Completed,1.6,2.38,1.66,2.35,1.65,2.38,1.61,2.29
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Marozsan F.,Smith C.,51,138,1045,453,6,1,4,6,6,4,,,,,2,1,Completed,1.67,2.2,1.7,2.26,1.7,2.25,1.65,2.2
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Baez S.,Goffin D.,43,64,1170,899,6,1,6,3,,,,,,,2,0,Completed,2.9,1.4,3.02,1.43,2.9,1.47,2.73,1.44
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Boyer T.,Holt B.,116,106,530,594,6,3,7,6,,,,,,,2,0,Completed,1.75,2.1,1.75,2.18,1.75,2.1,1.73,2.08
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Nardi L.,Tirante T.A.,98,135,655,461,6,4,7,6,,,,,,,2,0,Completed,2.4,1.53,2.37,1.65,2.5,1.6,2.4,1.54
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Ugo Carabelli C.,Nishikori K.,47,65,1118,893,7,5,6,3,,,,,,,2,0,Completed,2.5,1.5,2.74,1.51,2.63,1.55,2.52,1.5
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Blockx A.,Giron M.,119,61,514,960,6,2,3,6,6,3,,,,,2,1,Completed,2.3,1.62,2.41,1.63,2.35,1.65,2.28,1.6
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Nava E.,Coric B.,105,90,597,690,6,3,7,5,,,,,,,2,0,Completed,1.53,2.5,1.53,2.66,1.56,2.75,1.53,2.48
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Quinn E.,Kecmanovic M.,82,49,749,1086,7,6,6,4,,,,,,,2,0,Completed,2,1.75,2.13,1.79,2.1,1.8,2.03,1.75
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Comesana F.,Munar J.,71,48,869,1107,6,4,6,4,,,,,,,2,0,Completed,2.8,1.4,2.89,1.47,3.2,1.45,2.83,1.42
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Brooksby J.,Muller A.,101,41,637,1196,7,6,5,7,6,1,,,,,2,1,Completed,1.73,2.1,1.78,2.14,1.85,2.15,1.73,2.08
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Dellien H.,73,108,852,589,7,5,7,6,,,,,,,2,0,Completed,1.13,6,1.14,6.54,1.15,6.5,1.13,5.89
44,Cincinnati,Western & Southern Financial Group Masters,08/08/2025,Masters 1000,Outdoor,Hard,1st Round,3,Walton A.,Navone M.,85,78,726,785,4,6,7,6,6,1,,,,,2,1,Completed,1.83,2,1.88,2.01,1.84,2.25,1.75,2.05
