ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
7,Cordoba,Cordoba Open,05/02/2024,ATP250,Outdoor,Clay,1st Round,3,Munar J.,Galan D.E.,74,78,746,716,6,2,6,4,,,,,,,2,0,Completed,1.73,2.1,1.74,2.21,1.79,2.21,1.69,2.14
7,Cordoba,Cordoba Open,05/02/2024,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Cerundolo J.M.,207,148,295,435,6,4,6,2,,,,,,,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.2,1.71,2.11
7,Cordoba,Cordoba Open,05/02/2024,ATP250,Outdoor,Clay,1st Round,3,Dellien H.,Seyboth Wild T.,112,81,559,708,6,4,2,6,6,3,,,,,2,1,Completed,2.75,1.44,2.64,1.54,2.78,1.54,2.61,1.48
7,Cordoba,Cordoba Open,05/02/2024,ATP250,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Cachin P.,84,73,688,763,6,4,3,6,6,1,,,,,2,1,Completed,2.1,1.73,2.22,1.73,2.22,1.77,2.11,1.71
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Diaz Acosta F.,Gomez F.,95,365,634,135,6,1,6,4,,,,,,,2,0,Completed,1.25,4,1.3,3.87,1.3,4,1.27,3.66
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Altmaier D.,93,52,638,946,5,7,6,3,6,4,,,,,2,1,Completed,2.5,1.53,2.7,1.52,2.75,1.54,2.54,1.5
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Barrios M.,136,108,491,578,4,6,6,1,6,2,,,,,2,1,Completed,1.44,2.75,1.43,3.05,1.46,3.05,1.42,2.81
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Navone M.,65,118,846,538,3,6,6,3,6,3,,,,,2,1,Completed,1.8,2,1.91,1.98,1.91,2.1,1.83,1.96
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Zapata Miralles B.,Garin C.,79,87,715,680,1,6,7,6,3,0,,,,,1,1,Retired,2.2,1.67,2.13,1.79,2.25,1.79,2.14,1.69
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Burruchaga R.,Schwartzman D.,170,117,359,538,6,1,4,6,6,4,,,,,2,1,Completed,1.91,1.91,1.97,1.92,2,1.92,1.93,1.85
7,Cordoba,Cordoba Open,06/02/2024,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Varillas J.P.,59,85,889,684,5,7,7,6,6,1,,,,,2,1,Completed,1.44,2.75,1.54,2.64,1.55,2.78,1.48,2.62
7,Cordoba,Cordoba Open,07/02/2024,ATP250,Outdoor,Clay,1st Round,3,Tirante T.A.,Comesana F.,109,120,573,534,6,1,7,6,,,,,,,2,0,Completed,2,1.8,2.14,1.78,2.14,1.85,2.02,1.77
7,Cordoba,Cordoba Open,07/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Coria F.,Ramos-Vinolas A.,93,84,638,688,6,1,6,3,,,,,,,2,0,Completed,1.67,2.2,1.82,2.11,1.82,2.25,1.73,2.09
7,Cordoba,Cordoba Open,07/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Bagnis F.,Carballes Baena R.,207,65,295,846,7,6,6,4,,,,,,,2,0,Completed,2.2,1.67,2.21,1.75,2.22,1.75,2.14,1.69
7,Cordoba,Cordoba Open,07/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Munar J.,Cerundolo F.,74,22,746,1720,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,2.29,1.7,2.3,1.71,2.21,1.65
7,Cordoba,Cordoba Open,08/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Etcheverry T.,Zapata Miralles B.,29,79,1430,715,7,5,6,4,,,,,,,2,0,Completed,1.29,3.75,1.32,3.73,1.33,3.75,1.3,3.46
7,Cordoba,Cordoba Open,08/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Darderi L.,Ofner S.,136,38,491,1091,6,0,6,3,,,,,,,2,0,Completed,2.1,1.73,2.06,1.85,2.21,1.85,2.01,1.78
7,Cordoba,Cordoba Open,09/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Hanfmann Y.,Burruchaga R.,59,170,889,359,3,6,6,1,6,4,,,,,2,1,Completed,1.5,2.63,1.52,2.74,1.56,2.74,1.5,2.55
7,Cordoba,Cordoba Open,09/02/2024,ATP250,Outdoor,Clay,2nd Round,3,Baez S.,Dellien H.,26,112,1525,559,4,6,6,3,6,4,,,,,2,1,Completed,1.17,5,1.2,5.19,1.2,5.19,1.18,4.73
