ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
8,Dallas,Dallas Open,09/02/2026,ATP500,Indoor,Hard,1st Round,3,Nakashima B.,Bellucci M.,29,107,1535,553,6,3,6,4,,,,,,,2,0,Completed,1.4,3,,,1.44,3,1.4,2.9,1.44,3.2
8,Dallas,Dallas Open,09/02/2026,ATP500,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Svajda Z.,14,110,2535,551,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,,,1.46,3.5,1.44,2.75,1.5,2.92
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Tiafoe F.,Atmane T.,30,64,1510,849,4,6,6,2,6,2,,,,,2,1,Completed,1.25,4,,,1.28,4,1.26,3.77,1.29,4.3
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Korda S.,Zheng M.,53,151,960,414,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,,,1.4,3.3,1.36,3.07,1.41,3.35
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Cilic M.,Tien L.,61,23,890,1710,7,5,7,6,,,,,,,2,0,Completed,3.2,1.36,,,3.25,1.41,3.02,1.37,3.3,1.42
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Kecmanovic M.,Shimabukuro S.,66,144,820,441,6,7,6,3,7,6,,,,,2,1,Completed,1.57,2.38,,,1.65,2.5,1.57,2.34,1.64,2.5
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Michelsen A.,Dimitrov G.,41,43,1160,1105,5,7,6,4,6,4,,,,,2,1,Completed,1.8,2,,,1.91,2,1.86,1.91,1.95,2
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Pinnington Jones J.,Cobolli F.,181,20,331,1955,6,2,6,2,,,,,,,2,0,Completed,2.5,1.53,,,2.75,1.55,2.46,1.53,2.66,1.59
8,Dallas,Dallas Open,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Shelton B.,Diallo G.,9,38,3560,1175,6,4,6,4,,,,,,,2,0,Completed,1.17,5,,,1.2,5,1.18,4.64,1.2,5.7
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Fritz T.,Giron M.,7,59,3940,895,6,4,5,7,7,6,,,,,2,1,Completed,1.4,3,,,1.4,3.2,1.38,2.96,1.39,3.55
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Kovacevic A.,Kypson P.,78,109,721,552,6,4,7,6,,,,,,,2,0,Completed,,,,,1.7,4.33,1.59,2.44,1.69,2.26
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Shapovalov D.,Jodar R.,40,124,1160,498,6,1,6,2,,,,,,,2,0,Completed,1.73,2.1,,,1.85,2.2,1.74,2.05,1.81,2.2
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Paul T.,Brooksby J.,24,45,1700,1042,4,6,6,4,7,6,,,,,2,1,Completed,1.33,3.4,,,1.36,3.45,1.33,3.23,1.38,3.6
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Quinn E.,Svajda T.,74,363,758,131,7,6,7,5,,,,,,,2,0,Completed,1.25,4,,,1.26,4.33,1.25,3.85,1.3,4.2
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Spizzirri E.,Duckworth J.,68,83,781,691,6,2,6,4,,,,,,,2,0,Completed,1.3,3.5,,,1.33,4.25,1.29,3.51,1.32,3.9
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Mannarino A.,Walton A.,52,93,975,643,6,4,6,2,,,,,,,2,0,Completed,1.67,2.2,,,1.75,2.25,1.67,2.15,1.71,2.36
8,Dallas,Dallas Open,11/02/2026,ATP500,Indoor,Hard,2nd Round,3,Davidovich Fokina A.,Michelsen A.,14,41,2535,1160,6,4,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.8,2.1,1.75,2.04,1.86,2.14
8,Dallas,Dallas Open,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Fritz T.,Nakashima B.,7,29,3940,1535,6,3,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.65,2.5,1.59,2.32,1.68,2.42
8,Dallas,Dallas Open,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Korda S.,Tiafoe F.,53,30,960,1510,7,5,6,1,,,,,,,2,0,Completed,1.73,2.1,,,1.8,2.2,1.71,2.1,1.83,2.16
8,Dallas,Dallas Open,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Cilic M.,Quinn E.,61,74,890,758,7,6,6,3,,,,,,,2,0,Completed,1.53,2.5,,,1.55,2.5,1.53,2.46,1.6,2.62
