ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
10,Delray Beach,Delray Beach Open,10/02/2025,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Gojo B.,56,414,996,111,6,4,6,4,,,,,,,2,0,Completed,1.36,3.2,1.39,3.23,1.4,3.3,1.35,3.13
10,Delray Beach,Delray Beach Open,10/02/2025,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Svajda Z.,61,169,934,339,7,5,6,4,,,,,,,2,0,Completed,1.44,2.75,1.47,2.67,1.52,3.35,1.41,2.83
10,Delray Beach,Delray Beach Open,10/02/2025,ATP250,Outdoor,Hard,1st Round,3,Quinn E.,Boyer T.,150,113,382,524,6,2,6,7,7,6,,,,,2,1,Completed,2,1.8,2,1.88,2.06,1.88,1.97,1.81
10,Delray Beach,Delray Beach Open,10/02/2025,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Shevchenko A.,328,88,156,668,7,5,7,6,,,,,,,2,0,Completed,1.91,1.91,1.92,1.97,1.92,2.08,1.85,1.93
10,Delray Beach,Delray Beach Open,11/02/2025,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Trotter J.K.,43,182,1250,321,7,6,6,1,,,,,,,2,0,Completed,1.33,3.4,1.37,3.35,1.37,3.57,1.33,3.28
10,Delray Beach,Delray Beach Open,11/02/2025,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Vukic A.,63,67,922,868,6,3,6,4,,,,,,,2,0,Completed,1.67,2.2,1.77,2.15,1.79,2.2,1.73,2.07
10,Delray Beach,Delray Beach Open,11/02/2025,ATP250,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Daniel T.,60,119,940,494,6,2,7,6,,,,,,,2,0,Completed,1.3,3.5,1.34,3.48,1.34,3.53,1.3,3.41
10,Delray Beach,Delray Beach Open,11/02/2025,ATP250,Outdoor,Hard,1st Round,3,Bu Y.,Hijikata R.,69,72,830,784,6,2,6,0,,,,,,,2,0,Completed,1.67,2.2,1.71,2.25,1.71,2.26,1.66,2.19
10,Delray Beach,Delray Beach Open,11/02/2025,ATP250,Outdoor,Hard,1st Round,3,Rinderknech A.,Popko D.,65,208,899,289,6,2,6,4,,,,,,,2,0,Completed,1.13,6,,,1.15,7,1.12,6.01
10,Delray Beach,Delray Beach Open,11/02/2025,ATP250,Outdoor,Hard,1st Round,3,McDonald M.,Nishikori K.,123,71,488,793,7,6,4,6,7,5,,,,,2,1,Completed,2.63,1.5,2.67,1.53,2.67,1.58,2.51,1.51
10,Delray Beach,Delray Beach Open,12/02/2025,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Eubanks C.,121,104,491,567,6,3,7,6,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.51,2.75,1.46,2.63
10,Delray Beach,Delray Beach Open,12/02/2025,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Walton A.,82,89,707,655,6,4,6,3,,,,,,,2,0,Completed,1.4,3,1.47,2.85,1.47,3,1.41,2.85
10,Delray Beach,Delray Beach Open,12/02/2025,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Nishioka Y.,56,63,996,922,,,,,,,,,,,,,Walkover,1.57,2.38,1.63,2.44,1.63,2.44,1.58,2.34
10,Delray Beach,Delray Beach Open,12/02/2025,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Rinderknech A.,61,65,934,899,7,6,6,2,,,,,,,2,0,Completed,1.4,3,1.46,2.95,1.48,3,1.42,2.8
10,Delray Beach,Delray Beach Open,12/02/2025,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Quinn E.,49,150,1125,382,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,1.43,3.06,1.45,3.2,1.4,2.93
