ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
10,Delray Beach,Delray Beach Open,16/02/2026,ATP250,Outdoor,Hard,1st Round,3,Atmane T.,Kypson P.,66,105,833,565,6,3,2,6,6,4,,,,,2,1,Completed,2.2,1.67,,,2.2,1.73,2.14,1.69,2.3,1.74
10,Delray Beach,Delray Beach Open,16/02/2026,ATP250,Outdoor,Hard,1st Round,3,Wong C.,Borges N.,137,45,458,1070,7,6,4,6,6,3,,,,,2,1,Completed,2.1,1.73,,,2.15,1.75,2.09,1.71,2.3,1.74
10,Delray Beach,Delray Beach Open,16/02/2026,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Vacherot V.,41,26,1110,1605,7,6,6,4,,,,,,,2,0,Completed,1.91,1.91,,,1.93,1.91,1.89,1.87,2.04,1.94
10,Delray Beach,Delray Beach Open,16/02/2026,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Shimabukuro S.,64,135,855,466,6,3,7,5,,,,,,,2,0,Completed,1.4,3,,,1.43,3,1.4,2.86,1.44,3.2
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Hijikata R.,28,113,1550,546,6,4,6,4,,,,,,,2,0,Completed,1.3,3.5,,,1.3,4,1.28,3.56,1.29,4.3
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Svajda Z.,Kovacevic A.,106,75,563,746,7,6,6,3,,,,,,,2,0,Completed,1.5,2.63,,,1.57,2.75,1.49,2.57,1.57,2.7
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Korda S.,McDonald M.,50,116,1020,535,6,4,7,5,,,,,,,2,0,Completed,1.2,4.5,,,1.23,4.5,1.2,4.3,1.24,4.8
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Cilic M.,29,43,1535,1090,7,6,7,6,,,,,,,2,0,Completed,1.62,2.3,,,1.63,2.3,1.6,2.26,1.7,2.4
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Jodar R.,Quinn E.,118,70,523,776,6,2,6,3,,,,,,,2,0,Completed,2,1.8,,,2,1.91,1.95,1.81,2.02,1.97
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Walton A.,Diallo G.,93,39,643,1175,7,6,6,3,,,,,,,2,0,Completed,3.2,1.36,,,3.2,1.4,3.05,1.36,3.4,1.4
10,Delray Beach,Delray Beach Open,17/02/2026,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Bellucci M.,83,109,670,553,6,1,6,4,,,,,,,2,0,Completed,1.44,2.75,,,1.5,2.88,1.45,2.69,1.51,2.94
10,Delray Beach,Delray Beach Open,18/02/2026,ATP250,Outdoor,Hard,1st Round,3,Paul T.,Moutet C.,24,34,1700,1383,4,6,6,3,6,4,,,,,2,1,Completed,1.25,4,,,1.29,4.1,1.25,3.82,1.28,4.4
10,Delray Beach,Delray Beach Open,18/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Cobolli F.,Atmane T.,20,66,1955,833,7,5,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.75,2.13,1.73,2.08,1.87,2.12
10,Delray Beach,Delray Beach Open,18/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Wong C.,Nakashima B.,137,29,458,1535,6,4,7,6,,,,,,,2,0,Completed,3.2,1.36,,,3.25,1.37,3.15,1.35,3.5,1.39
10,Delray Beach,Delray Beach Open,18/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Michelsen A.,50,41,1020,1110,6,3,7,6,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.3,1.62,2.25,1.71,2.38
10,Delray Beach,Delray Beach Open,19/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Ruud C.,Giron M.,13,64,2625,855,4,6,7,6,6,4,,,,,2,1,Completed,1.44,2.75,,,1.53,2.75,1.47,2.6,1.5,2.92
10,Delray Beach,Delray Beach Open,19/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Tien L.,Kecmanovic M.,23,83,1710,670,6,4,6,7,7,6,,,,,2,1,Completed,1.44,2.75,,,1.45,2.8,1.44,2.73,1.5,2.96
10,Delray Beach,Delray Beach Open,19/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Svajda Z.,28,106,1550,563,6,4,3,6,7,5,,,,,2,1,Completed,1.44,2.75,,,1.53,2.75,1.48,2.59,1.51,2.88
10,Delray Beach,Delray Beach Open,19/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Walton A.,24,93,1700,643,7,6,6,3,,,,,,,2,0,Completed,1.08,8,,,1.1,8,1.09,7.13,1.1,10.5
10,Delray Beach,Delray Beach Open,20/02/2026,ATP250,Outdoor,Hard,2nd Round,3,Fritz T.,Jodar R.,8,118,4220,523,7,6,6,4,,,,,,,2,0,Completed,1.25,4,,,1.3,4,1.27,3.67,1.3,4.1
10,Delray Beach,Delray Beach Open,20/02/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Cobolli F.,Wong C.,20,137,1955,458,7,5,6,7,6,2,,,,,2,1,Completed,1.91,1.91,,,2,1.91,1.9,1.86,2.08,1.91
10,Delray Beach,Delray Beach Open,20/02/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Ruud C.,50,13,1020,2625,4,6,6,2,6,2,,,,,2,1,Completed,1.8,2,,,1.94,2.05,1.8,1.97,1.91,2.06
10,Delray Beach,Delray Beach Open,20/02/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Tien L.,Tiafoe F.,23,28,1710,1550,7,6,3,6,7,5,,,,,2,1,Completed,1.53,2.5,,,1.55,2.5,1.53,2.45,1.61,2.62
10,Delray Beach,Delray Beach Open,21/02/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Paul T.,Fritz T.,24,8,1700,4220,6,4,6,3,,,,,,,2,0,Completed,2.2,1.67,,,2.25,1.7,2.19,1.65,2.42,1.68
