ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
11,Doha,Qatar Exxon Mobil Open,16/02/2026,ATP500,Outdoor,Hard,1st Round,3,Popyrin A.,Zayid M.S.,53,N/A,1000,N/A,6,0,6,2,,,,,,,2,0,Completed,1,34,,,1.02,34,1.01,25.22,1.01,50
11,Doha,Qatar Exxon Mobil Open,16/02/2026,ATP500,Outdoor,Hard,1st Round,3,Royer V.,Herbert P.,60,190,897,313,6,0,6,3,,,,,,,2,0,Completed,1.5,2.63,,,1.5,2.65,1.48,2.58,1.54,2.84
11,Doha,Qatar Exxon Mobil Open,16/02/2026,ATP500,Outdoor,Hard,1st Round,3,Mensik J.,Choinski J.,16,124,2425,498,6,7,6,2,6,4,,,,,2,1,Completed,1.14,5.5,,,1.2,5.5,1.15,5.12,1.17,6.4
11,Doha,Qatar Exxon Mobil Open,16/02/2026,ATP500,Outdoor,Hard,1st Round,3,Fils A.,Majchrzak K.,40,56,1110,920,6,7,6,3,6,4,,,,,2,1,Completed,1.4,3,,,1.43,3,1.39,2.91,1.44,3.2
11,Doha,Qatar Exxon Mobil Open,16/02/2026,ATP500,Outdoor,Hard,1st Round,3,Sinner J.,Machac T.,2,31,10300,1510,6,1,6,4,,,,,,,2,0,Completed,1.05,11,,,1.06,11,1.05,9.68,1.07,13.5
11,Doha,Qatar Exxon Mobil Open,16/02/2026,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Shang J.,11,261,3010,205,6,4,6,2,,,,,,,2,0,Completed,1.25,4,,,1.28,4,1.25,3.81,1.26,4.7
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,Echargui M.,33,139,1485,449,6,4,6,4,,,,,,,2,0,Completed,1.1,7,,,1.11,8,1.09,6.87,1.12,8.8
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Halys Q.,Carreno Busta P.,72,123,762,504,4,6,7,5,6,3,,,,,2,1,Completed,1.8,2,,,1.81,2.15,1.76,2.03,,
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Fucsovics M.,Habib H.,61,334,891,143,6,3,6,3,,,,,,,2,0,Completed,1.17,5,,,1.17,5.5,1.16,4.98,1.19,5.9
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Brooksby J.,22,47,1860,1042,6,3,6,3,,,,,,,2,0,Completed,1.5,2.63,,,1.5,2.63,1.49,2.56,1.55,2.76
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Mochizuki S.,17,117,2360,525,6,1,3,6,6,4,,,,,2,1,Completed,1.13,6,,,1.13,6.5,1.12,5.92,1.16,6.8
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Zhang Zh.,Carballes Baena R.,319,175,155,350,6,4,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.87,2.14,1.75,2.05,1.84,2.16
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Marozsan F.,Humbert U.,48,36,1040,1285,6,3,6,1,,,,,,,2,0,Completed,2.38,1.57,,,2.38,1.65,2.26,1.62,2.34,1.72
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Bergs Z.,Mpetshi G.,44,58,1080,905,6,3,6,7,6,4,,,,,2,1,Completed,1.53,2.5,,,1.6,2.5,1.56,2.38,1.6,2.62
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Alcaraz C.,Rinderknech A.,1,30,13150,1530,6,4,7,6,,,,,,,2,0,Completed,1.02,19,,,1.03,19,1.02,14.41,1.04,24
11,Doha,Qatar Exxon Mobil Open,17/02/2026,ATP500,Outdoor,Hard,1st Round,3,Rublev A.,De Jong J.,14,86,2510,665,6,4,6,3,,,,,,,2,0,Completed,1.14,5.5,,,1.16,7,1.14,5.55,1.18,6.2
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Khachanov K.,Fucsovics M.,17,61,2360,891,6,2,4,6,6,4,,,,,2,1,Completed,1.4,3,,,1.44,3,1.41,2.84,1.49,3
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Fils A.,Halys Q.,40,72,1110,762,6,1,7,6,,,,,,,2,0,Completed,1.33,3.4,,,1.36,3.4,1.33,3.21,1.38,3.55
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Lehecka J.,Bergs Z.,22,44,1860,1080,6,2,6,1,,,,,,,2,0,Completed,1.44,2.75,,,1.47,2.75,1.45,2.7,1.52,2.88
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Medvedev D.,33,11,1485,3010,6,3,6,4,,,,,,,2,0,Completed,3.5,1.3,,,3.6,1.33,3.33,1.32,3.5,1.39
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Rublev A.,Marozsan F.,14,48,2510,1040,6,2,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.6,2.4,1.56,2.35,1.66,2.48
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Mensik J.,Zhang Zh.,16,319,2425,155,6,3,6,2,,,,,,,2,0,Completed,1.36,3.2,,,1.38,3.2,1.36,3.05,1.42,3.3
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Sinner J.,Popyrin A.,2,53,10300,1000,6,3,7,5,,,,,,,2,0,Completed,1.03,15,,,1.03,19,1.02,15.19,1.03,32
11,Doha,Qatar Exxon Mobil Open,18/02/2026,ATP500,Outdoor,Hard,2nd Round,3,Alcaraz C.,Royer V.,1,60,13150,897,6,2,7,5,,,,,,,2,0,Completed,1.02,17,,,1.03,17,1.02,12.77,1.04,23
11,Doha,Qatar Exxon Mobil Open,19/02/2026,ATP500,Outdoor,Hard,Quarterfinals,3,Rublev A.,Tsitsipas S.,14,33,2510,1485,6,3,7,6,,,,,,,2,0,Completed,1.62,2.3,,,1.71,2.3,1.66,2.2,1.71,2.4
11,Doha,Qatar Exxon Mobil Open,19/02/2026,ATP500,Outdoor,Hard,Quarterfinals,3,Fils A.,Lehecka J.,40,22,1110,1860,6,3,6,3,,,,,,,2,0,Completed,2.38,1.57,,,2.38,1.67,2.28,1.6,2.46,1.67
11,Doha,Qatar Exxon Mobil Open,19/02/2026,ATP500,Outdoor,Hard,Quarterfinals,3,Alcaraz C.,Khachanov K.,1,17,13150,2360,6,7,6,4,6,3,,,,,2,1,Completed,1.07,9,,,1.09,10,1.07,7.96,1.09,11.5
11,Doha,Qatar Exxon Mobil Open,19/02/2026,ATP500,Outdoor,Hard,Quarterfinals,3,Mensik J.,Sinner J.,16,2,2425,10300,7,6,2,6,6,3,,,,,2,1,Completed,9,1.07,,,10,1.07,8.5,1.06,11,1.09
11,Doha,Qatar Exxon Mobil Open,20/02/2026,ATP500,Outdoor,Hard,Semifinals,3,Alcaraz C.,Rublev A.,1,14,13150,2510,7,6,6,4,,,,,,,2,0,Completed,1.14,5.5,,,1.15,5.8,1.14,5.47,1.18,6.2
