ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
15,Dubai ,Dubai Tennis Championships,24/02/2025,ATP500,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,53,55,1052,1035,3,6,6,3,7,6,,,,,2,1,Completed,2.63,1.5,2.41,1.63,2.63,1.63,2.53,1.51
15,Dubai ,Dubai Tennis Championships,24/02/2025,ATP500,Outdoor,Hard,1st Round,3,Popyrin A.,Habib H.,27,168,1700,339,6,2,6,4,,,,,,,2,0,Completed,1.4,3,1.43,2.78,1.43,3.1,1.4,2.87
15,Dubai ,Dubai Tennis Championships,24/02/2025,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Evans D.,24,178,1960,321,6,1,6,3,,,,,,,2,0,Completed,1.2,4.5,1.22,4.84,1.24,5,1.2,4.43
15,Dubai ,Dubai Tennis Championships,24/02/2025,ATP500,Outdoor,Hard,1st Round,3,Bergs Z.,Dougaz A.,56,212,1035,265,6,3,6,3,,,,,,,2,0,Completed,1.13,6,1.17,5.76,1.17,7.41,1.14,5.65
15,Dubai ,Dubai Tennis Championships,24/02/2025,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,Sonego L.,11,35,3005,1401,7,6,6,3,,,,,,,2,0,Completed,1.53,2.5,1.55,2.61,1.64,2.66,1.54,2.45
15,Dubai ,Dubai Tennis Championships,24/02/2025,ATP500,Outdoor,Hard,1st Round,3,Mpetshi G.,Zhang Zh.,29,49,1580,1075,6,3,7,6,,,,,,,2,0,Completed,1.73,2.1,1.8,2.11,1.8,2.15,1.74,2.07
15,Dubai ,Dubai Tennis Championships,25/02/2025,ATP500,Outdoor,Hard,1st Round,3,Borges N.,Fils A.,38,19,1345,2355,6,2,6,1,,,,,,,2,0,Completed,2.3,1.62,2.32,1.68,2.46,1.68,2.3,1.6
15,Dubai ,Dubai Tennis Championships,25/02/2025,ATP500,Outdoor,Hard,1st Round,3,Nardi L.,Fucsovics M.,79,88,749,666,1,6,6,2,6,3,,,,,2,1,Completed,2.63,1.5,2.65,1.47,2.65,1.57,2.52,1.5
15,Dubai ,Dubai Tennis Championships,25/02/2025,ATP500,Outdoor,Hard,1st Round,3,Cilic M.,De Minaur A.,187,8,313,3785,6,2,3,6,6,3,,,,,2,1,Completed,7,1.1,7.1,1.13,7.75,1.13,6.69,1.1
15,Dubai ,Dubai Tennis Championships,25/02/2025,ATP500,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Bublik A.,21,51,2155,1065,7,6,6,7,6,3,,,,,2,1,Completed,1.29,3.75,1.29,3.94,1.34,3.98,1.28,3.59
