ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
14,Dubai ,Dubai Tennis Championships,23/02/2026,ATP500,Outdoor,Hard,1st Round,3,Mpetshi G.,Echargui M.,58,141,905,435,7,6,6,7,7,6,,,,,2,1,Completed,1.22,4.33,,,1.23,4.33,1.22,4.08,1.28,4.5
14,Dubai ,Dubai Tennis Championships,23/02/2026,ATP500,Outdoor,Hard,1st Round,3,Wawrinka S.,Hassan B.,99,289,599,180,7,5,6,3,,,,,,,2,0,Completed,1.13,6,,,1.18,6.5,1.15,5.35,1.16,6.6
14,Dubai ,Dubai Tennis Championships,23/02/2026,ATP500,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Zhang Zh.,8,263,4080,205,6,3,7,6,,,,,,,2,0,Completed,1.17,5,,,1.22,5,1.19,4.52,1.21,5.5
14,Dubai ,Dubai Tennis Championships,23/02/2026,ATP500,Outdoor,Hard,1st Round,3,Draper J.,Halys Q.,15,68,2460,800,7,6,6,3,,,,,,,2,0,Completed,1.3,3.5,,,1.38,4,1.32,3.33,1.38,3.6
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Brooksby J.,Bergs Z.,49,46,1042,1080,6,3,6,4,,,,,,,2,0,Completed,1.91,1.91,,,1.91,1.97,1.85,1.91,1.96,2.02
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Carreno Busta P.,Shapovalov D.,124,36,516,1350,6,2,6,4,,,,,,,2,0,Completed,3,1.4,,,3,1.42,2.92,1.39,3.25,1.43
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Shang J.,11,262,2960,205,6,1,6,3,,,,,,,2,0,Completed,1.17,5,,,1.19,5,1.18,4.69,1.21,5.6
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Shevchenko A.,16,92,2450,656,6,7,6,2,6,3,,,,,2,1,Completed,1.22,4.33,,,1.25,4.33,1.24,3.99,1.27,4.6
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Rinderknech A.,Marozsan F.,31,50,1530,1040,3,6,6,3,6,4,,,,,2,1,Completed,2.5,1.53,,,2.5,1.62,2.42,1.54,2.52,1.64
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Bublik A.,Struff J.L.,10,80,3405,706,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,,,1.37,3.25,1.35,3.12,1.37,3.55
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Griekspoor T.,Virtanen O.,25,131,1655,475,6,3,6,4,,,,,,,2,0,Completed,1.67,2.2,,,1.68,2.3,1.63,2.23,1.71,2.38
14,Dubai ,Dubai Tennis Championships,24/02/2026,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Nardi L.,24,109,1760,554,4,6,6,4,6,2,,,,,2,1,Completed,1.2,4.5,,,1.24,4.75,1.2,4.3,1.23,5
