ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
37,Eastbourne,Eastbourne International,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Harris B.,Fearnley J.,139,271,456,206,6,4,7,6,,,,,,,2,0,Completed,2.2,1.67,2.23,1.72,2.36,1.73,2.18,1.67
37,Eastbourne,Eastbourne International,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Vukic A.,Marozsan F.,81,45,714,1047,6,2,6,4,,,,,,,2,0,Completed,2.2,1.67,2.35,1.65,2.38,2.16,2.21,1.66
37,Eastbourne,Eastbourne International,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Purcell M.,Djere L.,94,52,627,936,6,1,4,6,6,3,,,,,2,1,Completed,1.53,2.5,1.59,2.5,1.59,2.75,1.54,2.45
37,Eastbourne,Eastbourne International,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Shang J.,Etcheverry T.,104,31,595,1290,7,5,3,6,7,6,,,,,2,1,Completed,1.73,2.1,1.65,2.36,1.74,2.36,1.69,2.15
37,Eastbourne,Eastbourne International,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Giron M.,Cerundolo F.,46,27,1005,1565,7,6,7,6,,,,,,,2,0,Completed,1.73,2.1,1.76,2.17,1.76,2.25,1.7,2.13
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Ruusuvuori E.,Norrie C.,88,44,668,1070,7,6,6,3,,,,,,,2,0,Completed,2.75,1.44,2.82,1.48,2.85,1.5,2.71,1.44
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Seyboth Wild T.,Mccabe J.,74,342,750,149,6,4,6,4,,,,,,,2,0,Completed,1.53,2.5,1.63,2.42,1.63,2.51,1.57,2.36
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Nishioka Y.,Broady L.,102,146,603,404,6,3,6,4,,,,,,,2,0,Completed,1.4,3,1.52,2.69,1.52,3,1.43,2.77
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Kecmanovic M.,Zhang Zh.,53,33,920,1256,6,2,7,6,,,,,,,2,0,Completed,2,1.8,1.95,1.93,2.1,1.96,1.91,1.86
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Hussey G.,Navone M.,359,32,141,1282,6,4,6,2,,,,,,,2,0,Completed,2.38,1.57,2.3,1.67,2.63,1.67,2.35,1.58
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Cobolli F.,Rinderknech A.,49,68,955,792,6,4,7,5,,,,,,,2,0,Completed,2.2,1.67,2.25,1.71,2.26,1.75,2.16,1.68
37,Eastbourne,Eastbourne International,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Sonego L.,Searle H.,57,568,869,66,6,3,6,2,,,,,,,2,0,Completed,1.33,3.4,1.36,3.34,1.38,3.5,1.34,3.25
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Harris B.,Broom C.,139,245,456,239,3,6,6,2,6,2,,,,,2,1,Completed,1.5,2.63,1.65,2.4,1.65,2.63,1.54,2.44
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Nishioka Y.,Giron M.,102,46,603,1005,6,7,6,4,6,2,,,,,2,1,Completed,2.75,1.44,2.96,1.46,2.96,1.46,2.78,1.42
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Kecmanovic M.,Baez S.,53,18,920,2030,6,3,6,2,,,,,,,2,0,Completed,1.44,2.75,1.56,2.6,1.56,3,1.45,2.7
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Shang J.,Ruusuvuori E.,104,88,595,668,4,6,6,3,6,4,,,,,2,1,Completed,2.2,1.67,2.38,1.66,2.4,1.68,2.24,1.63
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Purcell M.,Sonego L.,94,57,627,869,6,4,6,4,,,,,,,2,0,Completed,2.38,1.53,2.38,1.65,2.5,1.65,2.35,1.57
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Cobolli F.,Hussey G.,49,359,955,141,4,6,6,3,6,4,,,,,2,1,Completed,1.25,4,1.3,3.89,1.31,4.25,1.26,3.74
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Vukic A.,Bublik A.,81,23,714,1730,6,4,6,4,,,,,,,2,0,Completed,2.38,1.57,2.46,1.62,2.52,1.68,2.36,1.57
37,Eastbourne,Eastbourne International,26/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Fritz T.,Seyboth Wild T.,13,74,3145,750,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.17,5.88,1.18,5.88,1.16,5.18
37,Eastbourne,Eastbourne International,27/06/2024,ATP250,Outdoor,Grass,Quarterfinals,3,Harris B.,Cobolli F.,139,49,456,955,6,7,7,6,6,2,,,,,2,1,Completed,2,1.8,1.91,1.99,2.1,1.99,1.94,1.84
37,Eastbourne,Eastbourne International,27/06/2024,ATP250,Outdoor,Grass,Quarterfinals,3,Purcell M.,Kecmanovic M.,94,53,627,920,6,3,7,6,,,,,,,2,0,Completed,2.2,1.67,2.4,1.65,2.58,1.68,2.28,1.62
