ATP	Location	Tournament	Date	Series	Court	Surface	Round	Best of	Winner	Loser	WRank	LRank	WPts	LPts	W1	L1	W2	L2	W3	L3	W4	L4	W5	L5	Wsets	Lsets	Comment	B365W	B365L	PSW	PSL	MaxW	MaxL	AvgW	AvgL
34	Eastbourne	Eastbourne International	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Fonseca J.	Bergs Z.	57	50	991	1079	6	7	6	0	6	3					2	1	Completed	1.53	2.5	1.54	2.64	1.64	2.64	1.54	2.47
34	Eastbourne	Eastbourne International	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Evans D.	Kecmanovic M.	170	49	325	1146	3	6	6	4	6	4					2	1	Completed	2.2	1.67	2.29	1.69	2.32	1.74	2.24	1.64
34	Eastbourne	Eastbourne International	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Bellucci M.	Halys Q.	74	47	836	1174	6	4	6	2							2	0	Completed	2.2	1.62	2.27	1.7	2.34	1.74	2.23	1.64
34	Eastbourne	Eastbourne International	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Sonego L.	Marozsan F.	48	58	1171	990	6	2	6	4							2	0	Completed	1.67	2.2	1.68	2.31	1.74	2.34	1.66	2.22
34	Eastbourne	Eastbourne International	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Davidovich Fokina A.	Tseng C.H.	28	96	1770	648	7	6	6	2							2	0	Completed	1.29	3.4	1.34	3.56	1.35	3.8	1.3	3.48
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Duckworth J.	Vukic A.	106	80	528	758	6	3	6	7	6	1					2	1	Completed	2.75	1.45	2.75	1.53	2.76	1.55	2.63	1.48
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Opelka R.	Loffhagen G.	72	302	858	172	7	6	3	6	7	6					2	1	Completed	1.57	2.3	1.62	2.43	1.68	2.44	1.58	2.35
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Giron M.	Darderi L.	46	56	1175	1004	6	4	7	5							2	0	Completed	1.53	2.4	1.59	2.5	1.61	2.6	1.56	2.39
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Borges N.	Pinnington Jones J.	37	282	1400	196	4	6	6	3	6	3					2	1	Completed	1.6	2.38	1.59	2.49	1.62	2.58	1.58	2.37
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Brooksby J.	Comesana F.	149	65	405	914	7	6	6	4							2	0	Completed	1.5	2.63	1.5	2.72	1.5	2.78	1.49	2.6
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Harris B.	Norrie C.	142	61	426	952	6	4	6	4							2	0	Completed	3.1	1.33	3.34	1.37	3.45	1.38	3.21	1.34
34	Eastbourne	Eastbourne International	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Fearnley J.	Cobolli F.	51	24	1048	2060	6	2	6	2							2	0	Completed	1.73	2.1	1.71	2.24	1.78	2.26	1.7	2.14
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Brooksby J.	Borges N.	149	37	405	1400	6	4	6	4							2	0	Completed	2.05	1.8	2.06	1.85	2.14	1.89	2.06	1.76
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Humbert U.	Sonego L.	20	48	2195	1171	7	5	6	4							2	0	Completed	1.57	2.4	1.66	2.36	1.66	2.5	1.56	2.41
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Harris B.	Bellucci M.	142	74	426	836	6	3	6	4							2	0	Completed	2.4	1.57	2.52	1.6	2.52	1.64	2.38	1.58
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Mensik J.	Opelka R.	17	72	2356	858	7	5	6	3							2	0	Completed	1.45	2.6	1.51	2.76	1.55	2.8	1.49	2.62
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Davidovich Fokina A.	Duckworth J.	28	106	1770	528	6	7	6	3	6	4					2	1	Completed	1.44	2.8	1.47	2.89	1.48	3.05	1.43	2.81
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Giron M.	Fearnley J.	46	51	1175	1048	6	3	6	1							2	0	Completed	2.63	1.5	2.84	1.49	2.86	1.52	2.67	1.47
34	Eastbourne	Eastbourne International	25/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Evans D.	Paul T.	170	13	325	2970	6	4	3	6	6	3					2	1	Completed	3.4	1.33	3.28	1.39	3.75	1.39	3.31	1.34
34	Eastbourne	Eastbourne International	26/06/2025	ATP250	Outdoor	Grass	2nd Round	3	Fritz T.	Fonseca J.	5	57	4635	991	6	3	6	7	7	5					2	1	Completed	1.36	3	1.41	3.18	1.42	3.3	1.39	2.99
34	Eastbourne	Eastbourne International	26/06/2025	ATP250	Outdoor	Grass	Quarterfinals	3	Humbert U.	Harris B.	20	142	2195	426	7	6	6	1							2	0	Completed	1.25	4	1.27	4.28	1.28	4.4	1.24	4.01
34	Eastbourne	Eastbourne International	26/06/2025	ATP250	Outdoor	Grass	Quarterfinals	3	Brooksby J.	Evans D.	149	170	405	325	6	2	6	3							2	0	Completed	1.75	2	1.83	2.07	1.84	2.16	1.79	2.01
34	Eastbourne	Eastbourne International	26/06/2025	ATP250	Outdoor	Grass	Quarterfinals	3	Davidovich Fokina A.	Mensik J.	28	17	1770	2356	6	4	7	5							2	0	Completed	2.5	1.53	2.7	1.53	2.74	1.57	2.52	1.52
34	Eastbourne	Eastbourne International	26/06/2025	ATP250	Outdoor	Grass	Quarterfinals	3	Fritz T.	Giron M.	5	46	4635	1175	7	5	4	6	7	5					2	1	Completed	1.25	4	1.25	4.42	1.26	4.5	1.24	4.06
34	Eastbourne	Eastbourne International	27/06/2025	ATP250	Outdoor	Grass	Semifinals	3	Brooksby J.	Humbert U.	149	20	405	2195	6	7	6	4	6	4					2	1	Completed	2.8	1.44	2.87	1.48	2.92	1.51	2.76	1.44
34	Eastbourne	Eastbourne International	27/06/2025	ATP250	Outdoor	Grass	Semifinals	3	Fritz T.	Davidovich Fokina A.	5	28	4635	1770	6	3	3	6	6	1					2	1	Completed	1.33	3.4	1.37	3.37	1.39	3.5	1.34	3.27
34	Eastbourne	Eastbourne International	28/06/2025	ATP250	Outdoor	Grass	The Final	3	Fritz T.	Brooksby J.	5	149	4635	405	7	5	6	1							2	0	Completed	1.3	3.6	1.3	3.89	1.31	4.1	1.28	3.64
