ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,Geneva,Geneva Open,19/05/2024,ATP250,Outdoor,Clay,1st Round,3,Baez S.,Nagal S.,20,94,1985,646,7,6,6,3,,,,,,,2,0,Completed,1.2,4.5,1.23,4.43,1.25,4.54,1.22,4.24
30,Geneva,Geneva Open,19/05/2024,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Altmaier D.,62,83,811,702,7,6,6,4,,,,,,,2,0,Completed,1.91,1.91,1.98,1.88,2,1.95,1.93,1.86
30,Geneva,Geneva Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Shevchenko A.,Marozsan F.,61,41,825,1083,6,4,7,6,,,,,,,2,0,Completed,2.2,1.67,2.33,1.67,2.36,1.73,2.21,1.66
30,Geneva,Geneva Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Ofner S.,Hijikata R.,45,78,1010,723,4,6,6,4,6,3,,,,,2,1,Completed,1.29,3.75,1.27,4.12,1.29,4.12,1.26,3.84
30,Geneva,Geneva Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Ruusuvuori E.,Giron M.,66,48,768,1000,6,3,6,3,,,,,,,2,0,Completed,1.73,2.1,1.69,2.29,1.73,2.29,1.66,2.2
30,Geneva,Geneva Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Cobolli F.,Karatsev A.,56,82,860,705,7,5,6,1,,,,,,,2,0,Completed,1.5,2.63,1.57,2.55,1.57,2.63,1.53,2.47
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Michelsen A.,Kovacevic A.,65,88,795,668,3,6,6,3,6,4,,,,,2,1,Completed,2,1.8,2.26,1.71,2.26,1.82,2.11,1.72
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Moreno De Alboran N.,Goffin D.,140,115,462,550,6,2,6,1,,,,,,,2,0,Completed,2.5,1.53,2.5,1.59,2.51,1.6,2.43,1.55
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Murray A.,85,75,682,728,7,5,6,2,,,,,,,2,0,Completed,1.62,2.3,1.7,2.26,1.72,2.41,1.64,2.23
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Griekspoor T.,Eubanks C.,27,43,1605,1038,6,4,1,6,6,3,,,,,2,1,Completed,1.17,5,1.2,5.04,1.21,5.04,1.18,4.66
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Machac T.,Draper J.,44,35,1029,1166,7,6,6,1,,,,,,,2,0,Completed,2.63,1.5,2.69,1.52,2.69,1.54,2.59,1.49
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Shapovalov D.,Coria F.,123,69,515,761,7,5,6,0,,,,,,,2,0,Completed,1.62,2.3,1.61,2.44,1.66,2.53,1.59,2.35
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Cobolli F.,Shelton B.,56,15,860,2500,4,6,7,6,6,2,,,,,2,1,Completed,2.2,1.67,2.18,1.77,2.36,1.78,2.15,1.7
30,Geneva,Geneva Open,21/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Shevchenko A.,Ruusuvuori E.,61,66,825,768,,,,,,,,,,,,,Walkover,2.1,1.73,2.25,1.72,2.25,1.75,2.16,1.67
30,Geneva,Geneva Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Baez S.,Carballes Baena R.,20,62,1985,811,6,3,6,0,,,,,,,2,0,Completed,1.36,3.2,1.38,3.33,1.4,3.39,1.36,3.1
30,Geneva,Geneva Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Machac T.,Moreno De Alboran N.,44,140,1029,462,4,6,7,5,6,0,,,,,2,1,Completed,1.53,2.5,1.63,2.44,1.63,2.51,1.56,2.4
30,Geneva,Geneva Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Michelsen A.,Fritz T.,65,12,795,3025,6,4,4,6,7,5,,,,,2,1,Completed,6,1.13,7.5,1.12,7.57,1.15,6.26,1.12
30,Geneva,Geneva Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Ruud C.,Ofner S.,7,45,4185,1010,4,6,6,2,6,2,,,,,2,1,Completed,1.13,6,1.13,7.26,1.14,7.26,1.12,6.21
30,Geneva,Geneva Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Djokovic N.,Hanfmann Y.,1,85,9860,682,6,3,6,3,,,,,,,2,0,Completed,1.08,8,1.12,7.9,1.14,8.01,1.09,7.05
30,Geneva,Geneva Open,23/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Griekspoor T.,Shapovalov D.,27,123,1605,515,6,7,7,6,6,3,,,,,2,1,Completed,1.73,2.1,1.76,2.19,1.8,2.19,1.75,2.09
30,Geneva,Geneva Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Machac T.,Michelsen A.,44,65,1029,795,6,3,7,6,,,,,,,2,0,Completed,1.44,2.75,1.46,2.95,1.48,2.95,1.44,2.77
30,Geneva,Geneva Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Griekspoor T.,1,27,9860,1605,7,5,6,1,,,,,,,2,0,Completed,1.14,5.5,1.18,5.62,1.18,6.25,1.15,5.41
30,Geneva,Geneva Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Cobolli F.,Shevchenko A.,56,61,860,825,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.61,2.49,1.62,2.49,1.59,2.35
30,Geneva,Geneva Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Ruud C.,Baez S.,7,20,4185,1985,6,3,3,6,6,4,,,,,2,1,Completed,1.33,3.4,1.31,3.81,1.33,3.86,1.3,3.46
30,Geneva,Geneva Open,24/05/2024,ATP250,Outdoor,Clay,Semifinals,3,Machac T.,Djokovic N.,44,1,1029,9860,6,4,0,6,6,1,,,,,2,1,Completed,5.5,1.14,5.65,1.18,6.19,1.18,5.45,1.15
30,Geneva,Geneva Open,25/05/2024,ATP250,Outdoor,Clay,Semifinals,3,Ruud C.,Cobolli F.,7,56,4185,860,1,6,6,1,7,6,,,,,2,1,Completed,1.2,4.5,1.26,4.3,1.28,4.75,1.22,4.23
30,Geneva,Geneva Open,25/05/2024,ATP250,Outdoor,Clay,The Final,3,Ruud C.,Machac T.,7,44,4185,1029,7,5,6,3,,,,,,,2,0,Completed,1.57,2.38,1.57,2.56,1.61,2.57,1.56,2.42
