ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
26,Geneva,Geneva Open,17/05/2026,ATP250,Outdoor,Clay,1st Round,3,Navone M.,Trungelliti M.,42,81,1066,731,5,7,7,5,6,1,,,,,2,1,Completed,1.36,3.2,,,1.36,3.6,1.31,3.32,1.35,3.75
26,Geneva,Geneva Open,18/05/2026,ATP250,Outdoor,Clay,1st Round,3,Michelsen A.,Baez S.,41,62,1075,860,7,5,6,3,,"	",,,,,2,0,Completed,2.75,1.44,,,2.75,1.5,2.67,1.45,2.82,1.53
26,Geneva,Geneva Open,18/05/2026,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Tirante T.A.,24,58,1711,887,6,4,6,1,"	",,,,,,2,0,Completed,2.3,1.62,,,2.35,1.62,2.29,1.59,2.46,1.66
26,Geneva,Geneva Open,18/05/2026,ATP250,Outdoor,Clay,1st Round,3,Comesana F.,Royer V.,114,73,570,773,2,6,6,3,6,4,,,,,2,1,Completed,1.5,2.63,,,1.53,2.65,1.49,2.55,1.54,2.72
26,Geneva,Geneva Open,18/05/2026,ATP250,Outdoor,Clay,1st Round,3,Tsitsipas S.,Mpetshi G.,82,80,725,735,6,4,7,6,"	",,,,,,2,0,Completed,1.4,3,,,1.4,3,1.4,2.86,1.42,3.3
26,Geneva,Geneva Open,18/05/2026,ATP250,Outdoor,Clay,1st Round,3,Wawrinka S.,Brancaccio R.,119,241,528,236,6,2,4,6,7,6,,,,,2,1,Completed,1.44,2.75,,,1.45,2.75,1.43,2.67,1.48,3
26,Geneva,Geneva Open,18/05/2026,ATP250,Outdoor,Clay,1st Round,3,Butvilas E.,Sonego L.,253,69,215,815,6,3,6,1,,"	",,,,,2,0,Completed,2.2,1.67,,,2.38,1.67,2.23,1.63,2.36,1.72
26,Geneva,Geneva Open,19/05/2026,ATP250,Outdoor,Clay,1st Round,3,Popyrin A.,Tabur C.,61,165,870,360,7,6,6,7,6,4,,,,,2,1,Completed,1.4,3,,,1.4,3.25,1.36,3.02,1.42,3.25
26,Geneva,Geneva Open,19/05/2026,ATP250,Outdoor,Clay,1st Round,3,Munar J.,Basavareddy N.,39,156,1105,396,6,0,6,3,,"	",,,,,2,0,Completed,1.4,3,,,1.44,3,1.4,2.84,1.47,3.05
26,Geneva,Geneva Open,19/05/2026,ATP250,Outdoor,Clay,1st Round,3,Ruud C.,Brooksby J.,17,60,2185,872,6,3,7,5,,"	",,,,,2,0,Completed,1.11,6.5,,,1.13,7,1.11,6.39,1.12,8.6
26,Geneva,Geneva Open,19/05/2026,ATP250,Outdoor,Clay,1st Round,3,Collignon R.,Mannarino A.,64,44,854,1037,6,3,7,6,,"	",,,,,2,0,Completed,1.07,9,,,1.1,9,1.08,7.5,1.11,9.6
26,Geneva,Geneva Open,19/05/2026,ATP250,Outdoor,Clay,1st Round,3,Djere L.,Duckworth J.,238,83,241,722,6,4,3,6,6,3,,,,,2,1,Completed,1.22,4.33,,,1.22,4.4,1.22,4.21,1.22,5
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Tien L.,Tsitsipas S.,20,82,1940,725,7,6,7,6,,"	",,,,,2,0,Completed,2.63,1.5,,,2.63,1.5,2.55,1.49,2.78,1.56
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Navone M.,Norrie C.,42,22,1066,1888,6,4,6,4,,"	",,,,,2,0,Completed,1.73,2.1,,,1.78,2.1,1.73,2.05,1.77,2.28
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Popyrin A.,Fritz T.,61,8,870,3720,6,4,6,4,,"	",,,,,2,0,Completed,2.1,1.73,,,2.1,1.75,2.06,1.73,2.02,1.97
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Munar J.,Comesana F.,39,114,1105,570,6,4,6,4,,"	",,,,,2,0,Completed,1.57,2.38,,,1.62,2.4,1.57,2.32,1.66,2.48
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Ruud C.,Collignon R.,17,64,2185,854,7,6,6,2,,"	",,,,,2,0,Completed,1.33,3.4,,,1.37,3.4,1.34,3.17,1.4,3.45
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Rinderknech A.,Djere L.,24,238,1711,241,4,6,7,6,6,1,,,,,2,1,Completed,1.62,2.3,,,1.73,2.3,1.67,2.14,1.75,2.3
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Michelsen A.,Wawrinka S.,41,119,1075,528,7,6,7,6,,"	",,,,,2,0,Completed,1.57,2.38,,,1.57,2.5,1.55,2.39,1.63,2.52
26,Geneva,Geneva Open,20/05/2026,ATP250,Outdoor,Clay,2nd Round,3,Bublik A.,Butvilas E.,10,253,3230,215,6,4,6,3,,"	",,,,,2,0,Completed,1.36,3.2,,,1.36,3.4,1.32,3.28,1.37,3.6
26,Geneva,Geneva Open,21/05/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Navone M.,Munar J.,42,39,1066,1105,6,2,6,2,"	",,,,,,2,0,Completed,1.8,2,,,1.82,2,1.79,1.98,1.88,2.12
26,Geneva,Geneva Open,21/05/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Ruud C.,Popyrin A.,17,61,2185,870,6,4,6,3,,"	",,,,,2,0,Completed,1.3,3.5,,,1.32,3.75,1.3,3.43,1.34,3.85
26,Geneva,Geneva Open,21/05/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Tien L.,Michelsen A.,20,41,1940,1075,6,4,3,6,6,1,,,,,2,1,Completed,1.8,2,,,1.83,2,1.79,1.98,1.92,2.06
26,Geneva,Geneva Open,21/05/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Bublik A.,Rinderknech A.,10,24,3230,1711,5,7,6,4,6,2,,,,,2,1,Completed,1.53,2.5,,,1.56,2.63,1.53,2.46,1.57,2.72
26,Geneva,Geneva Open,22/05/2026,ATP250,Outdoor,Clay,Semifinals,3,Navone M.,Ruud C.,42,17,1066,2185,7,5,6,2,,"	",,,,,2,0,Completed,4.33,1.22,,,4.5,1.22,4.3,1.21,5.1,1.23
26,Geneva,Geneva Open,22/05/2026,ATP250,Outdoor,Clay,Semifinals,3,Tien L.,Bublik A.,20,10,1940,3230,6,1,4,6,7,6,,,,,2,1,Completed,2.3,1.62,,,2.3,1.73,2.18,1.66,2.26,1.76
26,Geneva,Geneva Open,23/05/2026,ATP250,Outdoor,Clay,The Final,3,Tien L.,Navone M.,20,42,1940,1066,3,6,6,3,7,5,,,,,2,1,Completed,2.38,1.57,,,2.4,1.63,2.32,1.58,2.48,1.66
