ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
38,Gstaad,Suisse Open Gstaad,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,Majchrzak K.,Atmane T.,81,127,727,477,6,4,3,6,6,2,,,,,2,1,Completed,1.33,3.4,1.34,3.51,1.34,3.75,1.31,3.44
38,Gstaad,Suisse Open Gstaad,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,Burruchaga R.,Svrcina D.,136,120,445,514,6,3,6,1,,,,,,,2,0,Completed,1.73,2.05,1.83,2.08,1.83,2.1,1.77,2.02
38,Gstaad,Suisse Open Gstaad,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,Buse I.,Djere L.,167,60,340,961,7,6,1,6,6,4,,,,,2,1,Completed,3.2,1.36,3.32,1.37,3.5,1.37,3.23,1.33
38,Gstaad,Suisse Open Gstaad,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,Cazaux A.,Basilashvili N.,116,112,535,552,4,6,7,5,7,6,,,,,2,1,Completed,1.75,2.1,1.75,2.19,1.75,2.19,1.72,2.1
38,Gstaad,Suisse Open Gstaad,14/07/2025,ATP250,Outdoor,Clay,1st Round,3,Stricker D.,Herbert P.,229,144,245,431,4,6,6,4,6,2,,,,,2,1,Completed,1.62,2.3,1.68,2.31,1.68,2.31,1.63,2.24
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Comesana F.,Trungelliti M.,74,147,824,396,6,3,6,4,,,,,,,2,0,Completed,1.6,2.38,1.62,2.43,1.62,2.43,1.59,2.32
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Struff J.L.,109,129,577,475,6,3,3,6,6,3,,,,,2,1,Completed,2.3,1.62,2.37,1.65,2.38,1.65,2.29,1.6
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Passaro F.,Rinderknech A.,131,64,461,923,6,1,7,5,,,,,,,2,0,Completed,1.9,1.83,1.93,1.93,1.93,2.02,1.83,1.94
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Goffin D.,Landaluce M.,68,138,914,440,7,6,6,3,,,,,,,2,0,Completed,2.25,1.6,2.35,1.66,2.35,1.67,2.22,1.64
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Taberner C.,79,107,740,581,1,6,6,2,7,6,,,,,2,1,Completed,1.83,2,1.83,2.08,1.83,2.08,1.79,2
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Kym J.,Hemery C.,154,171,369,331,7,5,4,6,7,5,,,,,2,1,Completed,1.5,2.6,1.55,2.59,1.55,2.7,1.49,2.58
38,Gstaad,Suisse Open Gstaad,15/07/2025,ATP250,Outdoor,Clay,1st Round,3,Shevchenko A.,Wawrinka S.,101,156,610,357,6,3,6,2,,,,,,,2,0,Completed,2,1.83,1.95,1.93,2,1.93,1.96,1.82
38,Gstaad,Suisse Open Gstaad,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Buse I.,Majchrzak K.,167,81,340,727,1,6,7,5,6,1,,,,,2,1,Completed,2.5,1.53,2.52,1.58,2.55,1.58,2.46,1.53
38,Gstaad,Suisse Open Gstaad,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Burruchaga R.,Zahraj P.,136,283,445,193,4,6,6,4,6,1,,,,,2,1,Completed,1.2,4.5,1.2,5.17,1.22,5.17,1.2,4.47
38,Gstaad,Suisse Open Gstaad,16/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Ruud C.,Stricker D.,13,229,2855,245,7,5,7,6,,,,,,,2,0,Completed,1.29,3.75,1.3,3.86,1.3,4,1.26,3.77
38,Gstaad,Suisse Open Gstaad,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Comesana F.,Carballes Baena R.,74,79,824,740,6,1,6,4,,,,,,,2,0,Completed,1.4,2.8,1.48,2.84,1.48,2.84,1.45,2.71
38,Gstaad,Suisse Open Gstaad,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Cerundolo J.M.,Goffin D.,109,68,577,914,5,7,6,4,6,1,,,,,2,1,Completed,1.62,2.3,1.68,2.31,1.68,2.4,1.6,2.29
38,Gstaad,Suisse Open Gstaad,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Cazaux A.,Etcheverry T.,116,58,535,985,6,3,4,6,6,4,,,,,2,1,Completed,2.63,1.44,2.75,1.51,2.75,1.51,2.67,1.45
38,Gstaad,Suisse Open Gstaad,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Bublik A.,Shevchenko A.,34,101,1585,610,6,2,6,3,,,,,,,2,0,Completed,1.45,2.6,1.52,2.68,1.52,2.75,1.48,2.61
38,Gstaad,Suisse Open Gstaad,17/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Kym J.,Passaro F.,154,131,369,461,7,6,7,6,,,,,,,2,0,Completed,2.2,1.62,2.22,1.72,2.3,1.72,2.23,1.63
