ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
32,Halle,Halle Open,16/06/2025,ATP500,Outdoor,Grass,1st Round,3,Marozsan F.,Kecmanovic M.,58,47,990,1146,6,7,6,4,6,4,,,,,2,1,Completed,1.91,1.83,1.94,1.94,2.08,1.94,1.97,1.82
32,Halle,Halle Open,16/06/2025,ATP500,Outdoor,Grass,1st Round,3,Medvedev D.,Altmaier D.,11,52,3140,1037,6,3,6,3,,,,,,,2,0,Completed,1.17,4.75,1.19,5.22,1.22,5.5,1.18,4.88
32,Halle,Halle Open,16/06/2025,ATP500,Outdoor,Grass,1st Round,3,Bublik A.,Muller A.,45,40,1225,1311,6,4,6,4,,,,,,,2,0,Completed,1.33,3.4,1.34,3.42,1.38,3.55,1.33,3.37
32,Halle,Halle Open,16/06/2025,ATP500,Outdoor,Grass,1st Round,3,Tsitsipas S.,Darderi L.,25,56,1920,1004,6,4,3,6,7,6,,,,,2,1,Completed,1.25,3.6,1.3,3.88,1.31,4.1,1.27,3.7
32,Halle,Halle Open,16/06/2025,ATP500,Outdoor,Grass,1st Round,3,Halys Q.,Bonzi B.,48,62,1134,945,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.68,2.29,1.68,2.46,1.6,2.3
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Etcheverry T.,Martinez P.,63,54,935,1030,6,1,6,3,,,,,,,2,0,Completed,1.36,3.2,1.38,3.16,1.42,3.35,1.37,3.06
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Machac T.,De Jong J.,23,93,2020,660,7,5,3,6,6,3,,,,,2,1,Completed,1.4,3,1.43,3.03,1.5,3.1,1.42,2.89
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Rublev A.,Ofner S.,14,122,2920,483,6,3,6,4,,,,,,,2,0,Completed,1.45,2.6,1.49,2.8,1.51,2.92,1.46,2.7
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Cobolli F.,Fonseca J.,24,57,1970,991,5,7,7,6,7,6,,,,,2,1,Completed,2.6,1.5,2.63,1.54,2.78,1.55,2.6,1.5
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Michelsen A.,Cerundolo F.,33,18,1570,2285,2,6,7,5,6,4,,,,,2,1,Completed,1.8,1.95,1.9,1.99,1.92,2.04,1.83,1.96
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Shapovalov D.,Humbert U.,31,20,1626,2195,6,4,4,6,7,6,,,,,2,1,Completed,2.3,1.62,2.28,1.69,2.4,1.71,2.31,1.61
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Sinner J.,Hanfmann Y.,1,138,10880,428,7,5,6,3,,,,,,,2,0,Completed,1.01,13,1.02,24.07,1.03,28,1.01,18.37
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Auger-Aliassime F.,Djere L.,27,65,1775,911,6,3,6,7,6,1,,,,,2,1,Completed,1.29,3.75,1.32,3.69,1.35,3.85,1.31,3.47
32,Halle,Halle Open,17/06/2025,ATP500,Outdoor,Grass,1st Round,3,Sonego L.,Struff J.L.,46,103,1165,575,6,3,6,2,,,,,,,2,0,Completed,2.1,1.75,2.19,1.75,2.24,1.78,2.1,1.73
32,Halle,Halle Open,18/06/2025,ATP500,Outdoor,Grass,1st Round,3,Khachanov K.,Bergs Z.,22,49,2050,1079,7,5,6,3,,,,,,,2,0,Completed,1.5,2.6,1.53,2.66,1.56,2.76,1.48,2.65
32,Halle,Halle Open,18/06/2025,ATP500,Outdoor,Grass,1st Round,3,Zverev A.,Giron M.,3,43,6500,1265,6,2,6,1,,,,,,,2,0,Completed,1.12,5.5,1.14,6.7,1.17,7,1.14,5.53
32,Halle,Halle Open,18/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Medvedev D.,Halys Q.,11,48,3140,1134,6,2,7,5,,,,,,,2,0,Completed,1.45,2.8,1.47,2.91,1.47,3.1,1.42,2.84
32,Halle,Halle Open,18/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Michelsen A.,Tsitsipas S.,33,25,1570,1920,7,6,7,5,,,,,,,2,0,Completed,1.73,2.1,1.76,2.2,1.79,2.25,1.72,2.12
32,Halle,Halle Open,19/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Khachanov K.,Auger-Aliassime F.,22,27,2050,1775,6,3,1,6,6,3,,,,,2,1,Completed,2.2,1.7,2.36,1.67,2.4,1.73,2.19,1.68
32,Halle,Halle Open,19/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Cobolli F.,Shapovalov D.,24,31,1970,1626,7,6,4,6,7,6,,,,,2,1,Completed,2.38,1.6,2.38,1.65,2.43,1.68,2.34,1.59
32,Halle,Halle Open,19/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Etcheverry T.,Rublev A.,63,14,935,2920,6,3,6,7,7,6,,,,,2,1,Completed,4,1.25,4.52,1.25,4.6,1.27,4.08,1.24
32,Halle,Halle Open,19/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Machac T.,Marozsan F.,23,58,2020,990,6,2,6,3,,,,,,,2,0,Completed,1.8,1.95,1.86,2.05,1.91,2.08,1.81,1.98
32,Halle,Halle Open,19/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Zverev A.,Sonego L.,3,46,6500,1165,3,6,6,4,7,6,,,,,2,1,Completed,1.12,6.5,1.12,7.71,1.13,8,1.11,6.62
32,Halle,Halle Open,19/06/2025,ATP500,Outdoor,Grass,2nd Round,3,Bublik A.,Sinner J.,45,1,1225,10880,3,6,6,3,6,4,,,,,2,1,Completed,5.5,1.14,6.53,1.16,7.2,1.16,6.04,1.13
32,Halle,Halle Open,20/06/2025,ATP500,Outdoor,Grass,Quarterfinals,3,Medvedev D.,Michelsen A.,11,33,3140,1570,6,4,6,3,,,,,,,2,0,Completed,1.4,2.8,1.43,3.06,1.44,3.2,1.4,2.91
