ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Cobolli F.,Altmaier D.,48,71,1000,766,6,4,6,7,6,3,,,,,2,1,Completed,1.67,2.2,1.71,2.24,1.75,2.25,1.67,2.17
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Blanchet U.,Popyrin A.,161,43,370,1071,4,6,7,6,6,2,,,,,2,1,Completed,3.4,1.33,3.46,1.35,3.5,1.39,3.32,1.32
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Marterer M.,Kwon S.W.,108,349,587,145,6,4,6,7,7,5,,,,,2,1,Completed,1.62,2.3,1.66,2.35,1.69,2.4,1.6,2.28
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Djere L.,Bergs Z.,57,73,856,754,6,3,7,6,,,,,,,2,0,Completed,2,1.8,1.89,2,2,2,1.92,1.86
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Shevchenko A.,Molleker R.,56,197,860,309,6,4,4,6,6,4,,,,,2,1,Completed,1.53,2.5,1.58,2.53,1.61,2.67,1.55,2.41
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Cerundolo F.,Comesana F.,33,100,1280,612,7,5,6,4,,,,,,,2,0,Completed,1.25,4,,,1.27,4,1.25,3.73
42,Hamburg,European Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Arnaldi M.,49,39,974,1220,7,6,6,1,,,,,,,2,0,Completed,3.2,1.36,3.42,1.36,3.42,1.4,3.13,1.35
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Hardt N.,35,191,1256,313,6,1,2,6,6,0,,,,,2,1,Completed,,,,,,,,
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Fils A.,Munar J.,28,59,1450,840,5,7,6,3,6,1,,,,,2,1,Completed,1.53,2.5,1.66,2.35,1.66,2.62,1.56,2.38
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,Meligeni Alves F.,55,144,871,427,6,2,6,7,6,3,,,,,2,1,Completed,1.73,2.1,1.74,2.2,1.76,2.2,1.73,2.09
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Zhang Zh.,Seyboth Wild T.,34,72,1261,755,7,6,6,0,,,,,,,2,0,Completed,1.67,2.2,1.75,2.18,1.75,2.27,1.67,2.18
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Trungelliti M.,Ofner S.,151,50,393,939,6,1,4,3,,,,,,,1,0,Retired,2.38,1.57,2.32,1.68,2.5,1.73,2.29,1.61
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Baez S.,Koepfer D.,19,62,2020,811,6,2,6,3,,,,,,,2,0,Completed,1.44,2.75,1.47,2.87,1.47,2.92,1.43,2.76
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Rune H.,Marozsan F.,17,45,2210,1031,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.37,3.33,1.4,3.4,1.37,3.04
42,Hamburg,European Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Gaston H.,Diaz Acosta F.,81,77,715,743,7,6,1,6,6,4,,,,,2,1,Completed,2.2,1.67,2.4,1.64,2.23,1.66,2.23,1.66
42,Hamburg,European Open,17/07/2024,ATP250,Outdoor,Clay,1st Round,3,Zverev A.,De Jong J.,4,114,7015,533,6,2,6,2,,,,,,,2,0,Completed,1.08,8,1.11,8.08,1.11,8.08,1.09,7.15
42,Hamburg,European Open,17/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Darderi L.,Shevchenko A.,35,56,1256,860,6,3,2,6,6,3,,,,,2,1,Completed,1.36,3.2,1.43,3.06,1.46,3.2,1.39,2.93
42,Hamburg,European Open,17/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Martinez P.,Blanchet U.,49,161,974,370,6,4,0,6,7,5,,,,,2,1,Completed,1.33,3.4,1.37,3.37,1.38,3.45,1.34,3.2
42,Hamburg,European Open,17/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Cerundolo F.,Marterer M.,33,108,1280,587,6,0,6,2,,,,,,,2,0,Completed,1.25,4,1.24,4.59,1.25,4.59,1.23,4.04
42,Hamburg,European Open,17/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Baez S.,Lajovic D.,19,55,2020,871,4,6,7,5,6,2,,,,,2,1,Completed,1.4,3,1.38,3.31,1.4,3.31,1.37,3.01
42,Hamburg,European Open,18/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Fils A.,Djere L.,28,57,1450,856,7,6,6,2,,,,,,,2,0,Completed,1.5,2.63,1.57,2.57,1.57,2.74,1.51,2.5
42,Hamburg,European Open,18/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Zhang Zh.,Cobolli F.,34,48,1261,1000,6,1,7,6,,,,,,,2,0,Completed,2,1.8,2.14,1.79,2.14,1.92,2.03,1.76
42,Hamburg,European Open,18/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Rune H.,Trungelliti M.,17,151,2210,393,6,4,6,3,,,,,,,2,0,Completed,1.17,5,1.15,6.38,1.17,6.38,1.14,5.44
42,Hamburg,European Open,18/07/2024,ATP250,Outdoor,Clay,2nd Round,3,Zverev A.,Gaston H.,4,81,7015,715,4,6,6,2,7,5,,,,,2,1,Completed,1.08,8,1.08,10.25,1.1,10.29,1.07,7.92
42,Hamburg,European Open,19/07/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Baez S.,Darderi L.,19,35,2020,1256,2,6,6,4,6,4,,,,,2,1,Completed,1.57,2.38,1.58,2.55,1.67,2.55,1.58,2.37
42,Hamburg,European Open,19/07/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Fils A.,Rune H.,28,17,1450,2210,6,4,4,1,,,,,,,1,0,Retired,2.3,1.62,2.37,1.66,2.43,1.68,2.29,1.61
42,Hamburg,European Open,19/07/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Martinez P.,Cerundolo F.,49,33,974,1280,1,6,6,1,6,4,,,,,2,1,Completed,3.5,1.3,3.93,1.3,4.01,1.31,3.59,1.28
42,Hamburg,European Open,19/07/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Zverev A.,Zhang Zh.,4,34,7015,1261,6,4,6,3,,,,,,,2,0,Completed,1.29,3.75,1.31,3.83,1.31,4,1.27,3.73
42,Hamburg,European Open,20/07/2024,ATP250,Outdoor,Clay,Semifinals,3,Fils A.,Baez S.,28,19,1450,2020,6,2,6,2,,,,,,,2,0,Completed,1.73,2.1,1.83,2.09,1.83,2.23,1.7,2.12
42,Hamburg,European Open,20/07/2024,ATP250,Outdoor,Clay,Semifinals,3,Zverev A.,Martinez P.,4,49,7015,974,6,2,6,4,,,,,,,2,0,Completed,1.1,7,1.11,8.3,1.12,8.3,1.1,6.95
42,Hamburg,European Open,21/07/2024,ATP250,Outdoor,Clay,The Final,3,Fils A.,Zverev A.,28,4,1450,7015,6,3,3,6,7,6,,,,,2,1,Completed,3.4,1.33,3.56,1.34,3.56,1.39,3.31,1.32
