ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,Hangzhou,Hangzhou Open,18/09/2024,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Nardi L.,49,87,1095,647,6,0,6,2,,,,,,,2,0,Completed,1.5,2.63,1.46,2.92,1.54,2.95,1.47,2.66
53,Hangzhou,Hangzhou Open,18/09/2024,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Darderi L.,112,41,515,1271,6,3,6,4,,,,,,,2,0,Completed,2.2,1.67,2.27,1.7,2.27,1.72,2.19,1.66
53,Hangzhou,Hangzhou Open,18/09/2024,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Svajda Z.,777,135,28,452,5,7,6,3,6,0,,,,,2,1,Completed,1.73,2.1,1.81,2.1,1.82,2.1,1.76,2.04
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Marterer M.,54,105,974,543,6,4,6,2,,,,,,,2,0,Completed,1.36,3.2,1.39,3.21,1.4,3.21,1.37,3.05
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Dzumhur D.,81,86,681,655,2,6,7,6,6,2,,,,,2,1,Completed,1.73,2.1,1.85,2.05,1.85,2.14,1.74,2.08
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Bu Y.,Gaston H.,124,77,484,714,7,5,6,3,,,,,,,2,0,Completed,1.44,2.75,1.53,2.65,1.53,2.78,1.46,2.64
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Trungelliti M.,58,138,870,423,6,1,6,1,,,,,,,2,0,Completed,1.73,2.1,1.78,2.14,1.78,2.29,1.68,2.14
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Moutet C.,55,69,921,771,7,6,6,1,,,,,,,2,0,Completed,2.3,1.62,2.4,1.63,2.4,1.8,2.22,1.64
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Mccabe J.,160,302,370,172,6,4,6,4,,,,,,,2,0,Completed,1.4,3,,,1.46,3,1.41,2.79
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Wong C.,Wu Y.,141,566,409,63,6,3,,,,,,,,,1,0,Retired,2.3,1.62,2.37,1.65,2.37,1.65,2.28,1.61
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Bellucci M.,Karatsev A.,108,115,529,508,6,4,6,0,,,,,,,2,0,Completed,1.73,2.1,1.77,2.16,1.77,2.18,1.71,2.1
53,Hangzhou,Hangzhou Open,19/09/2024,ATP250,Outdoor,Hard,1st Round,3,Zhang Zh.,Yevseyev D.,48,207,1105,282,6,2,1,6,6,4,,,,,2,1,Completed,1.14,5.5,1.21,4.9,1.22,5.5,1.18,4.81
53,Hangzhou,Hangzhou Open,20/09/2024,ATP250,Outdoor,Hard,2nd Round,3,Kukushkin M.,Shevchenko A.,112,58,515,870,6,4,7,6,,,,,,,2,0,Completed,2.3,1.62,2.24,1.73,2.44,1.75,2.21,1.64
