ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
48,Hangzhou,Hangzhou Open,17/09/2025,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Navone M.,54,82,945,770,5,7,6,3,6,4,,,,,2,1,Completed,1.44,2.75,1.6,2.47,1.55,2.75,1.5,2.54,1.6,2.62
48,Hangzhou,Hangzhou Open,17/09/2025,ATP250,Outdoor,Hard,1st Round,3,Wu Y.,Mannarino A.,196,53,272,947,4,6,7,6,7,5,,,,,2,1,Completed,1.73,2.1,1.83,2.07,1.8,2.11,1.73,2.07,1.84,2.16
48,Hangzhou,Hangzhou Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Etcheverry T.,Dzumhur D.,63,68,890,868,6,2,6,4,,,,,,,2,0,Completed,1.4,3,1.43,3.05,1.45,3,1.4,2.9,1.47,3.05
48,Hangzhou,Hangzhou Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Svrcina D.,Berrettini M.,99,57,641,925,6,3,6,3,,,,,,,2,0,Completed,3.2,1.36,3.37,1.36,3.5,1.36,3.25,1.33,3.4,1.41
48,Hangzhou,Hangzhou Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Basavareddy N.,Cilic M.,109,59,590,914,4,6,6,4,6,3,,,,,2,1,Completed,1.5,2.63,1.53,2.61,1.55,2.63,1.5,2.55,1.64,2.52
48,Hangzhou,Hangzhou Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Zeppieri G.,Sun F.,169,236,324,241,6,3,6,2,,,,,,,2,0,Completed,1.17,5,1.21,5.01,1.2,5.5,1.18,4.72,1.2,5.6
48,Hangzhou,Hangzhou Open,18/09/2025,ATP250,Outdoor,Hard,1st Round,3,Zhang Zh.,Bu Y.,192,74,275,811,6,7,6,4,7,6,,,,,2,1,Completed,3.2,1.36,3.19,1.4,3.2,1.4,3.06,1.36,3.3,1.4
48,Hangzhou,Hangzhou Open,19/09/2025,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Ugo Carabelli C.,111,43,583,1123,7,6,6,4,,,,,,,2,0,Completed,1.44,2.75,1.49,2.8,1.57,2.75,1.48,2.58,1.53,2.82
48,Hangzhou,Hangzhou Open,19/09/2025,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Walton A.,79,76,795,803,7,5,6,3,,,,,,,2,0,Completed,1.44,2.75,1.53,2.67,1.65,2.75,1.47,2.62,1.51,2.9
48,Hangzhou,Hangzhou Open,19/09/2025,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Arnaldi M.,84,73,757,825,6,4,3,6,7,5,,,,,2,1,Completed,2,1.8,1.94,1.94,2,1.91,1.91,1.86,2,1.98
48,Hangzhou,Hangzhou Open,19/09/2025,ATP250,Outdoor,Hard,1st Round,3,Royer V.,Kovacevic A.,88,69,677,862,4,6,7,6,6,3,,,,,2,1,Completed,1.67,2.2,1.78,2.15,1.73,2.4,1.69,2.15,1.76,2.28
48,Hangzhou,Hangzhou Open,19/09/2025,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Goffin D.,93,87,668,734,6,4,1,6,6,1,,,,,2,1,Completed,1.73,2.1,1.76,2.17,1.73,2.14,1.71,2.1,1.79,2.24
48,Hangzhou,Hangzhou Open,20/09/2025,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Basavareddy N.,18,109,2370,590,6,2,6,3,,,,,,,2,0,Completed,1.36,3.2,1.42,3.09,1.44,3.45,1.37,2.99,1.45,3.15
48,Hangzhou,Hangzhou Open,20/09/2025,ATP250,Outdoor,Hard,2nd Round,3,Tien L.,Zeppieri G.,54,169,945,324,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.62,2.42,1.65,2.6,1.57,2.38,1.64,2.5
48,Hangzhou,Hangzhou Open,20/09/2025,ATP250,Outdoor,Hard,2nd Round,3,Moutet C.,Cazaux A.,39,84,1146,757,6,7,6,3,7,6,,,,,2,1,Completed,1.8,2,1.85,2.04,1.95,2,1.82,1.96,1.89,2.12
48,Hangzhou,Hangzhou Open,20/09/2025,ATP250,Outdoor,Hard,2nd Round,3,Wu Y.,Korda S.,196,79,272,795,4,6,6,1,6,4,,,,,2,1,Completed,2.63,1.5,2.49,1.59,2.63,1.57,2.45,1.54,2.62,1.6
