ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
31,s-Hertogenbosch,Rosmalen Grass Court Championships,09/06/2025,ATP250,Outdoor,Grass,1st Round,3,Diallo G.,Vukic A.,55,79,1007,783,7,5,7,6,,,,,,,2,0,Completed,1.6,2.38,1.64,2.39,1.67,2.5,1.59,2.34
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,09/06/2025,ATP250,Outdoor,Grass,1st Round,3,Borges N.,Basavareddy N.,38,105,1375,582,7,6,6,2,,,,,,,2,0,Completed,1.53,2.4,1.6,2.49,1.6,2.63,1.52,2.51
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,09/06/2025,ATP250,Outdoor,Grass,1st Round,3,Jarry N.,Darderi L.,150,48,398,1119,5,7,6,4,7,6,,,,,2,1,Completed,1.57,2.4,1.58,2.52,1.61,2.58,1.57,2.37
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,09/06/2025,ATP250,Outdoor,Grass,1st Round,3,Thompson J.,Kovacevic A.,37,76,1375,799,6,4,6,4,,,,,,,2,0,Completed,1.4,2.9,1.43,3.02,1.45,3.05,1.41,2.89
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2025,ATP250,Outdoor,Grass,1st Round,3,Bergs Z.,Blockx A.,63,145,931,410,6,3,1,6,7,6,,,,,2,1,Completed,1.57,2.4,1.63,2.41,1.66,2.48,1.57,2.36
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2025,ATP250,Outdoor,Grass,1st Round,3,McDonald M.,Bellucci M.,99,72,617,861,6,1,6,7,6,3,,,,,2,1,Completed,1.57,2.3,1.65,2.37,1.65,2.5,1.57,2.38
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2025,ATP250,Outdoor,Grass,1st Round,3,Opelka R.,De Jong J.,87,92,701,660,6,7,7,6,6,2,,,,,2,1,Completed,1.73,2.1,1.74,2.21,1.79,2.3,1.68,2.18
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,10/06/2025,ATP250,Outdoor,Grass,1st Round,3,Virtanen O.,Etcheverry T.,101,62,605,935,7,6,7,5,,,,,,,2,0,Completed,1.53,2.5,1.58,2.52,1.58,2.64,1.51,2.55
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2025,ATP250,Outdoor,Grass,1st Round,3,Mannarino A.,O Connell C.,127,80,462,772,6,1,6,3,,,,,,,2,0,Completed,1.62,2.2,1.7,2.27,1.74,2.32,1.67,2.18
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2025,ATP250,Outdoor,Grass,1st Round,3,Evans D.,Hijikata R.,217,75,253,811,3,6,6,4,6,3,,,,,2,1,Completed,2.6,1.5,2.63,1.54,2.75,1.7,2.56,1.51
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2025,ATP250,Outdoor,Grass,1st Round,3,Hurkacz H.,Bautista Agut R.,32,50,1640,1064,7,6,6,4,,,,,,,2,0,Completed,1.33,3.4,1.35,3.44,1.37,3.6,1.34,3.25
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2025,ATP250,Outdoor,Grass,1st Round,3,Lajal M.,Djere L.,195,64,279,927,6,2,6,4,,,,,,,2,0,Completed,1.6,2.25,1.65,2.39,1.71,2.39,1.63,2.25
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Diallo G.,Thompson J.,55,37,1007,1375,4,6,6,1,7,5,,,,,2,1,Completed,2.5,1.53,2.59,1.57,2.59,1.62,2.47,1.54
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,11/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Khachanov K.,McDonald M.,24,99,2010,617,6,3,5,7,7,6,,,,,2,1,Completed,1.45,2.8,1.5,2.82,1.5,2.98,1.43,2.81
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Borges N.,Virtanen O.,38,101,1375,605,,,,,,,,,,,,,Walkover,1.45,2.8,1.56,2.58,1.56,3,1.46,2.71
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Humbert U.,Evans D.,20,217,2195,253,7,5,6,3,,,,,,,2,0,Completed,1.36,3.2,1.33,3.64,1.5,3.75,1.35,3.25
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Opelka R.,Jarry N.,87,150,701,398,7,6,6,3,,,,,,,2,0,Completed,1.73,2.05,1.79,2.14,1.84,2.16,1.74,2.07
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Bergs Z.,Popyrin A.,63,21,931,2140,6,7,6,2,7,6,,,,,2,1,Completed,2.2,1.67,2.28,1.71,2.36,1.72,2.26,1.63
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Lajal M.,Hurkacz H.,195,32,279,1640,,,,,,,,,,,,,Walkover,2.5,1.53,2.5,1.6,2.5,1.65,2.43,1.55
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,12/06/2025,ATP250,Outdoor,Grass,2nd Round,3,Medvedev D.,Mannarino A.,11,127,3100,462,7,6,6,4,,,,,,,2,0,Completed,1.29,3.75,1.3,3.81,1.35,4.1,1.27,3.79
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2025,ATP250,Outdoor,Grass,Quarterfinals,3,Humbert U.,Borges N.,20,38,2195,1375,6,1,6,4,,,,,,,2,0,Completed,1.4,3,1.41,3.18,1.45,3.2,1.39,2.98
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2025,ATP250,Outdoor,Grass,Quarterfinals,3,Diallo G.,Khachanov K.,55,24,1007,2010,7,6,6,4,,,,,,,2,0,Completed,2.3,1.57,2.42,1.64,2.5,1.64,2.34,1.59
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2025,ATP250,Outdoor,Grass,Quarterfinals,3,Opelka R.,Medvedev D.,87,11,701,3100,7,6,7,6,,,,,,,2,0,Completed,3.75,1.29,3.75,1.32,3.85,1.34,3.63,1.29
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,13/06/2025,ATP250,Outdoor,Grass,Quarterfinals,3,Bergs Z.,Lajal M.,63,195,931,279,7,6,7,6,,,,,,,2,0,Completed,1.8,2,1.83,2.09,1.84,2.14,1.76,2.04
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2025,ATP250,Outdoor,Grass,Semifinals,3,Diallo G.,Humbert U.,55,20,1007,2195,6,3,7,6,,,,,,,2,0,Completed,2.5,1.53,2.61,1.56,2.61,1.61,2.45,1.54
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,14/06/2025,ATP250,Outdoor,Grass,Semifinals,3,Bergs Z.,Opelka R.,63,87,931,701,6,1,6,4,,,,,,,2,0,Completed,2.2,1.67,2.3,1.69,2.3,1.74,2.22,1.65
31,'s-Hertogenbosch,Rosmalen Grass Court Championships,15/06/2025,ATP250,Outdoor,Grass,The Final,3,Diallo G.,Bergs Z.,55,63,1007,931,7,5,7,6,,,,,,,2,0,Completed,1.53,2.5,1.56,2.6,1.56,2.6,1.52,2.5
