ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Hong Kong,Hong Kong Tennis Open,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Darderi L.,54,44,1021,1198,6,3,6,3,,,,,,,2,0,Completed,1.3,3.5,1.37,3.36,1.37,3.53,1.32,3.27
2,Hong Kong,Hong Kong Tennis Open,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Safiullin R.,58,60,935,923,6,1,7,6,,,,,,,2,0,Completed,2.63,1.5,2.44,1.61,2.63,1.61,2.54,1.53
2,Hong Kong,Hong Kong Tennis Open,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Nakashima B.,53,38,1026,1335,7,6,6,3,,,,,,,2,0,Completed,2.38,1.57,2.6,1.55,2.6,1.59,2.43,1.54
2,Hong Kong,Hong Kong Tennis Open,30/12/2024,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Tien L.,49,122,1119,493,6,3,7,5,,,,,,,2,0,Completed,1.67,2.2,1.68,2.31,1.74,2.32,1.63,2.22
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Bergs Z.,Moro Canas A.,71,169,768,345,6,4,6,4,,,,,,,2,0,Completed,1.44,2.75,1.48,2.82,1.51,2.82,1.46,2.66
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Huesler M.A.,67,159,778,376,2,6,6,4,6,3,,,,,2,1,Completed,2.2,1.67,2.43,1.62,2.43,1.68,2.25,1.62
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Bu Y.,36,65,1355,784,3,6,6,3,7,6,,,,,2,1,Completed,2,1.8,2.2,1.74,2.2,1.82,2.07,1.73
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Davidovich Fokina A.,62,61,832,845,4,6,6,3,6,3,,,,,2,1,Completed,3.2,1.36,3.47,1.35,3.47,1.4,3.12,1.35
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Passaro F.,43,108,1205,570,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.92,1.97,1.95,2.02,1.83,1.95
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Shapovalov D.,106,56,578,981,6,2,6,3,,,,,,,2,0,Completed,2.5,1.53,2.37,1.65,2.51,1.65,2.39,1.56
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Diallo G.,Carballes Baena R.,87,57,643,981,4,6,7,6,7,5,,,,,2,1,Completed,1.4,3,1.43,3.02,1.45,3.02,1.41,2.86
2,Hong Kong,Hong Kong Tennis Open,31/12/2024,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Wong C.,50,170,1115,340,7,6,6,4,,,,,,,2,0,Completed,1.3,3.5,1.33,3.62,1.33,3.62,1.3,3.43
2,Hong Kong,Hong Kong Tennis Open,01/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Kecmanovic M.,67,54,778,1021,5,7,7,6,7,6,,,,,2,1,Completed,3,1.4,2.84,1.49,3,1.49,2.83,1.42
2,Hong Kong,Hong Kong Tennis Open,01/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Sonego L.,49,53,1119,1026,6,2,4,6,6,1,,,,,2,1,Completed,1.57,2.38,1.72,2.26,1.72,2.42,1.6,2.32
2,Hong Kong,Hong Kong Tennis Open,01/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Bergs Z.,20,71,2355,768,7,6,6,4,,,,,,,2,0,Completed,1.44,2.75,1.5,2.8,1.5,2.85,1.45,2.71
2,Hong Kong,Hong Kong Tennis Open,01/01/2025,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Khachanov K.,106,19,578,2410,4,6,6,3,7,5,,,,,2,1,Completed,2.2,1.67,2.21,1.75,2.21,1.76,2.16,1.67
