ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
22,Houston,U.S. Men's Clay Court Championships,01/04/2024,ATP250,Outdoor,Clay,1st Round,3,Nakashima B.,Ajdukovic D.,92,115,655,528,6,1,6,4,,,,,,,2,0,Completed,1.4,3,1.47,2.89,1.47,3,1.41,2.86
22,Houston,U.S. Men's Clay Court Championships,01/04/2024,ATP250,Outdoor,Clay,1st Round,3,Bergs Z.,Kypson P.,111,133,545,472,7,6,6,3,,,,,,,2,0,Completed,1.91,1.91,1.96,1.93,1.96,2.05,1.89,1.88
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Hijikata R.,Eubanks C.,80,41,723,1087,7,6,7,6,,,,,,,2,0,Completed,2.2,1.67,2.32,1.68,2.33,1.71,2.23,1.64
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Wolf J.J.,Ritschard A.,96,194,625,309,6,3,2,6,6,4,,,,,2,1,Completed,1.73,2.1,1.79,2.13,1.85,2.13,1.77,2.02
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Kudla D.,72,160,781,409,3,6,7,6,6,2,,,,,2,1,Completed,1.33,3.4,1.33,3.57,1.4,3.57,1.32,3.28
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Galan D.E.,Paire B.,83,142,711,460,7,6,6,4,,,,,,,2,0,Completed,1.5,2.63,1.49,2.8,1.5,2.85,1.47,2.66
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Duckworth J.,Brouwer G.,105,199,565,300,6,3,6,3,,,,,,,2,0,Completed,2.5,1.53,2.7,1.52,2.7,1.55,2.51,1.51
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Purcell M.,Michelsen A.,79,70,726,790,7,5,6,7,6,4,,,,,2,1,Completed,3,1.4,3.35,1.37,3.5,1.4,3,1.37
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Mmoh M.,Varillas J.P.,123,101,507,596,6,2,7,6,,,,,,,2,0,Completed,2.5,1.53,2.63,1.54,2.63,1.54,2.51,1.51
22,Houston,U.S. Men's Clay Court Championships,02/04/2024,ATP250,Outdoor,Clay,1st Round,3,Kovacevic A.,Kokkinakis T.,98,104,613,584,7,6,6,7,6,4,,,,,2,1,Completed,2.63,1.5,2.76,1.5,2.76,1.5,2.66,1.48
