ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
19,Houston,U.S.Men's Clay Court Championships,30/03/2026,ATP250,Outdoor,Clay,1st Round,3,Vallejo D.,Svajda Z.,109,82,601,674,6,1,6,4,,,,,,,2,0,Completed,1.62,2.3,,,1.62,2.5,1.57,2.33,1.62,2.58
19,Houston,U.S.Men's Clay Court Championships,30/03/2026,ATP250,Outdoor,Clay,1st Round,3,Zhang Zh.,Pinnington Jones J.,263,138,205,456,6,1,6,3,,,,,,,2,0,Completed,1.73,2.1,,,1.78,2.11,1.73,2.06,1.8,2.22
19,Houston,U.S.Men's Clay Court Championships,30/03/2026,ATP250,Outdoor,Clay,1st Round,3,Bolt A.,Wu Y.,165,118,369,559,7,6,6,2,,,,,,,2,0,Completed,4.33,1.22,,,4.33,1.29,3.72,1.26,4.3,1.29
19,Houston,U.S.Men's Clay Court Championships,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,McDonald M.,Brooksby J.,125,41,501,1115,6,4,6,2,,,,,,,2,0,Completed,3.2,1.36,,,3.25,1.37,3.1,1.35,3.55,1.38
19,Houston,U.S.Men's Clay Court Championships,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Tirante T.A.,Smith C.,83,164,673,371,6,0,6,3,,,,,,,2,0,Completed,1.5,2.63,,,1.5,2.63,1.47,2.59,1.53,2.82
19,Houston,U.S.Men's Clay Court Championships,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Basavareddy N.,Draxl L.,193,147,306,430,6,3,2,6,6,4,,,,,2,1,Completed,1.8,2,,,1.91,2,1.85,1.9,2,1.98
19,Houston,U.S.Men's Clay Court Championships,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Etcheverry T.,Gomez F.A.,31,182,1500,331,1,6,6,1,6,4,,,,,2,1,Completed,1.2,4.5,,,1.2,4.9,1.18,4.57,1.22,5.2
19,Houston,U.S.Men's Clay Court Championships,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Nakashima B.,Damm M.,33,126,1395,499,7,6,6,2,,,,,,,2,0,Completed,1.3,3.5,,,1.32,3.6,1.3,3.43,1.37,3.6
19,Houston,U.S.Men's Clay Court Championships,01/04/2026,ATP250,Outdoor,Clay,1st Round,3,Michelsen A.,Wong C.,35,124,1225,503,6,4,6,2,,,,,,,2,0,Completed,1.29,3.75,,,1.29,4,1.26,3.7,1.29,4.4
19,Houston,U.S.Men's Clay Court Championships,01/04/2026,ATP250,Outdoor,Clay,1st Round,3,Hijikata R.,Kovacevic A.,102,85,619,661,6,4,6,2,,,,,,,2,0,Completed,2.38,1.57,,,2.38,1.65,2.29,1.59,2.44,1.68
19,Houston,U.S.Men's Clay Court Championships,01/04/2026,ATP250,Outdoor,Clay,1st Round,3,Popyrin A.,Kypson P.,45,96,1010,640,4,6,6,4,6,3,,,,,2,1,Completed,1.53,2.5,,,1.58,2.5,1.54,2.44,1.6,2.62
19,Houston,U.S.Men's Clay Court Championships,01/04/2026,ATP250,Outdoor,Clay,1st Round,3,Burruchaga R.,Walton A.,77,105,703,614,6,2,6,3,,,,,,,2,0,Completed,1.44,2.75,,,1.5,2.75,1.46,2.65,1.5,2.96
19,Houston,U.S.Men's Clay Court Championships,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Etcheverry T.,Bolt A.,31,165,1500,369,6,7,6,0,6,3,,,,,2,1,Completed,1.08,8,,,1.09,8,1.08,7.33,1.09,10
19,Houston,U.S.Men's Clay Court Championships,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Tirante T.A.,McDonald M.,83,125,673,501,6,2,6,0,,,,,,,2,0,Completed,1.33,3.4,,,1.37,3.4,1.35,3.09,1.4,3.4
19,Houston,U.S.Men's Clay Court Championships,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Shelton B.,Zhang Zh.,9,263,3860,205,7,6,7,6,,,,,,,2,0,Completed,1.3,3.5,,,1.36,3.5,1.32,3.29,1.37,3.65
19,Houston,U.S.Men's Clay Court Championships,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Paul T.,Vallejo D.,21,109,1915,601,3,6,6,4,6,4,,,,,2,1,Completed,1.22,4.33,,,1.26,4.33,1.23,3.9,1.26,4.7
19,Houston,U.S.Men's Clay Court Championships,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Burruchaga R.,Nakashima B.,77,33,703,1395,6,4,2,6,6,4,,,,,2,1,Completed,2.63,1.5,,,2.63,1.66,2.3,1.6,2.38,1.71
19,Houston,U.S.Men's Clay Court Championships,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Tien L.,Basavareddy N.,22,193,1845,306,6,3,3,6,6,1,,,,,2,1,Completed,1.25,4,,,1.3,4,1.25,3.79,1.29,4.4
19,Houston,U.S.Men's Clay Court Championships,03/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Tiafoe F.,Hijikata R.,18,102,2070,619,6,4,3,6,6,2,,,,,2,1,Completed,1.25,4,,,1.26,4,1.25,3.84,1.28,4.3
19,Houston,U.S.Men's Clay Court Championships,03/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Popyrin A.,Michelsen A.,45,35,1010,1225,6,0,4,6,6,1,,,,,2,1,Completed,2.63,1.5,,,2.63,1.56,2.5,1.52,2.78,1.54
19,Houston,U.S.Men's Clay Court Championships,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Burruchaga R.,Tien L.,77,22,703,1845,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,,,2.35,1.64,2.25,1.61,2.34,1.73
