ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Walton A.,Halys Q.,91,102,650,600,6,3,6,3,,,,,,,2,0,Completed,2.63,1.5,,,2.63,1.52,2.55,1.5,2.72,1.58
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,Navone M.,69,79,780,725,4,6,7,5,6,3,,,,,2,1,Completed,1.33,3.4,,,1.38,3.4,1.35,3.14,1.38,3.55
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Ugo Carabelli C.,Damm M.,67,129,790,477,7,6,6,3,,,,,,,2,0,Completed,2.5,1.53,,,2.6,1.54,2.49,1.51,2.8,1.54
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,Altmaier D.,58,55,875,921,6,3,1,0,,,,,,,1,0,Retired,1.2,4.5,,,1.24,4.6,1.22,4.18,1.25,4.8
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Bergs Z.,Struff J.L.,47,313,1030,209,6,3,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.75,2.1,1.73,2.07,1.83,2.16
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Quinn E.,68,73,786,761,7,5,7,6,,,,,,,2,0,Completed,2.2,1.67,,,2.2,1.74,2.12,1.69,2.18,1.83
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Diallo G.,Bellucci M.,38,94,1175,640,7,6,6,4,,,,,,,2,0,Completed,1.8,2,,,1.81,2.1,1.76,2.01,1.88,2.1
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Svrcina D.,Duckworth J.,109,83,569,691,6,2,6,4,,,,,,,2,0,Completed,1.4,3,,,1.45,3,1.39,2.92,1.46,3.1
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,O Connell C.,56,127,916,493,7,5,6,3,,,,,,,2,0,Completed,1.73,2.1,,,1.76,2.24,1.73,2.06,1.81,2.2
16,Indian Wells,BNP Paribas Open,04/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Berrettini M.,Mannarino A.,66,48,820,1025,4,6,7,5,7,5,,,,,2,1,Completed,1.44,2.75,,,1.45,2.88,1.43,2.73,1.48,3
16,Indian Wells,BNP Paribas Open,05/03/2026,Masters 1000,Outdoor,Hard,1st Round,3,Prizmic D.,Schoolkate T.,119,118,541,547,7,6,3,6,7,5,,,,,2,1,Completed,1.29,3.75,,,1.33,3.75,1.3,3.43,1.33,3.9
