ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,Kitzbuhel,Generali Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Shevchenko A.,Galan D.E.,110,125,585,487,2,6,6,3,6,4,,,,,2,1,Completed,1.62,2.2,1.67,2.33,1.67,2.38,1.6,2.28
40,Kitzbuhel,Generali Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Comesana F.,Boyer T.,73,126,861,480,6,3,7,6,,,,,,,2,0,Completed,1.2,4.5,1.23,4.6,1.23,4.6,1.21,4.36
40,Kitzbuhel,Generali Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Fucsovics M.,Schwaerzler J.J.,91,354,670,140,6,2,2,6,6,3,,,,,2,1,Completed,1.3,3.6,1.29,3.97,1.3,3.97,1.28,3.64
40,Kitzbuhel,Generali Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Gombos N.,Gaston H.,307,99,166,638,6,3,6,4,,,,,,,2,0,Completed,2.5,1.53,2.54,1.57,2.65,1.57,2.58,1.49
40,Kitzbuhel,Generali Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Bagnis F.,65,772,914,31,7,6,4,6,6,3,,,,,2,1,Completed,1.5,2.6,1.53,2.67,1.53,2.75,1.47,2.65
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Jarry N.,103,98,622,638,6,4,4,6,6,3,,,,,2,1,Completed,2.5,1.53,2.52,1.58,2.63,1.58,2.47,1.52
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Neumayer L.,141,162,429,345,7,5,6,2,,,,,,,2,0,Completed,1.44,2.63,1.49,2.79,1.49,2.79,1.44,2.7
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Struff J.L.,Ofner S.,152,138,375,433,6,4,6,2,,,,,,,2,0,Completed,2.2,1.7,2.2,1.74,2.2,1.74,2.15,1.69
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Cazaux A.,Buse I.,100,133,635,453,6,3,3,6,7,5,,,,,2,1,Completed,1.91,1.9,1.99,1.9,2,1.9,1.95,1.83
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Misolic F.,Etcheverry T.,97,58,649,960,7,5,5,7,6,3,,,,,2,1,Completed,1.91,1.9,1.9,1.99,1.91,2,1.86,1.92
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Tirante T.A.,Faria J.,130,119,461,530,6,2,6,2,,,,,,,2,0,Completed,1.57,2.4,1.58,2.51,1.58,2.51,1.54,2.43
40,Kitzbuhel,Generali Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Engel J.,132,208,455,262,7,5,6,3,,,,,,,2,0,Completed,1.53,2.5,1.56,2.58,1.56,2.58,1.53,2.45
40,Kitzbuhel,Generali Open,23/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Hanfmann Y.,Baez S.,141,43,429,1220,5,7,6,3,7,5,,,,,2,1,Completed,1.87,1.87,2.02,1.88,2.02,1.88,1.97,1.81
40,Kitzbuhel,Generali Open,23/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Rinderknech A.,Gombos N.,65,307,914,166,6,7,6,4,6,4,,,,,2,1,Completed,1.45,2.63,1.5,2.76,1.52,2.76,1.49,2.58
