ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
14,Los Cabos,Los Cabos Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Safiullin R.,42,38,1041,1080,6,2,6,4,,,,,,,2,0,Completed,2.75,1.44,3.02,1.43,3.02,1.46,2.79,1.42
14,Los Cabos,Los Cabos Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Lestienne C.,74,104,776,604,6,3,7,6,,,,,,,2,0,Completed,1.33,3.4,1.36,3.41,1.42,3.41,1.36,3.1
14,Los Cabos,Los Cabos Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Arnaldi M.,51,41,961,1061,6,4,4,6,6,4,,,,,2,1,Completed,2.38,1.57,2.58,1.56,2.58,1.6,2.4,1.56
14,Los Cabos,Los Cabos Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Holt B.,100,295,616,190,6,1,6,4,,,,,,,2,0,Completed,1.67,2.2,1.67,2.32,1.73,2.32,1.66,2.19
14,Los Cabos,Los Cabos Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Draper J.,103,53,604,951,4,6,7,6,6,4,,,,,2,1,Completed,3.75,1.29,4,1.28,4,1.3,3.67,1.27
14,Los Cabos,Los Cabos Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Koepfer D.,47,57,997,918,7,6,6,2,,,,,,,2,0,Completed,2,1.8,2.09,1.81,2.09,1.88,1.99,1.8
14,Los Cabos,Los Cabos Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Kecmanovic M.,79,54,737,940,6,3,7,6,,,,,,,2,0,Completed,3,1.4,3.02,1.43,3.02,1.44,2.88,1.4
14,Los Cabos,Los Cabos Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Escobedo E.,40,494,1071,82,6,4,6,3,,,,,,,2,0,Completed,1.14,5.5,1.15,6.26,1.17,6.26,1.14,5.63
14,Los Cabos,Los Cabos Open,21/02/2024,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,,,,,,,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93
14,Los Cabos,Los Cabos Open,21/02/2024,ATP250,Outdoor,Hard,1st Round,3,Nava E.,Schwartzman D.,146,115,443,538,6,4,6,3,,,,,,,2,0,Completed,1.8,2,1.85,2.05,1.87,2.05,1.81,1.97
14,Los Cabos,Los Cabos Open,21/02/2024,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Daniel T.,44,62,1000,870,6,4,7,5,,,,,,,2,0,Completed,1.4,3,1.45,2.94,1.45,3,1.4,2.88
14,Los Cabos,Los Cabos Open,21/02/2024,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Pacheco Mendez R.,72,692,792,41,7,6,7,6,,,,,,,2,0,Completed,1.22,4.33,1.25,4.31,1.25,4.34,1.23,4.1
14,Los Cabos,Los Cabos Open,21/02/2024,ATP250,Outdoor,Hard,2nd Round,3,Kovacevic A.,Hijikata R.,100,79,616,737,6,3,4,6,6,4,,,,,2,1,Completed,1.91,1.91,1.97,1.93,2,1.93,1.93,1.86
14,Los Cabos,Los Cabos Open,21/02/2024,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,De Minaur A.,74,9,776,3210,6,4,6,1,,,,,,,2,0,Completed,4.33,1.22,3.84,1.31,4.34,1.31,3.87,1.25
14,Los Cabos,Los Cabos Open,22/02/2024,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Nava E.,40,146,1071,443,7,6,6,3,,,,,,,2,0,Completed,1.3,3.5,1.28,4.13,1.32,4.13,1.28,3.63
14,Los Cabos,Los Cabos Open,22/02/2024,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Purcell M.,47,51,997,961,6,3,6,3,,,,,,,2,0,Completed,1.57,2.38,1.63,2.44,1.65,2.44,1.59,2.32
