ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
31,Lyon,Lyon Open,19/05/2024,ATP250,Outdoor,Clay,1st Round,3,Vukic A.,Mcdonald M.,93,74,647,735,6,2,6,2,,,,,,,2,0,Completed,1.67,2.2,1.65,2.31,1.68,2.31,1.64,2.25
31,Lyon,Lyon Open,19/05/2024,ATP250,Outdoor,Clay,1st Round,3,Muller A.,Gasquet R.,90,124,656,515,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.44,2.9,1.46,3,1.42,2.82
31,Lyon,Lyon Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Etcheverry T.,Sanchez Izquierdo N.,29,260,1410,221,1,6,6,2,6,2,,,,,2,1,Completed,1.07,9,1.1,8.73,1.1,9,1.08,7.84
31,Lyon,Lyon Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Kotov P.,Cachin P.,57,106,849,597,6,1,6,4,,,,,,,2,0,Completed,1.57,2.38,1.67,2.3,1.67,2.4,1.58,2.35
31,Lyon,Lyon Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Evans D.,73,60,739,831,6,3,4,6,7,6,,,,,2,1,Completed,1.67,2.2,1.68,2.3,1.73,2.3,1.66,2.19
31,Lyon,Lyon Open,20/05/2024,ATP250,Outdoor,Clay,1st Round,3,Koepfer D.,Barranco Cosano J.,67,254,767,233,6,4,6,7,6,4,,,,,2,1,Completed,1.22,4.33,1.28,3.99,1.29,4.34,1.26,3.84
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Martinez P.,58,49,837,995,6,4,6,1,,,,,,,2,0,Completed,1.91,1.91,1.83,2.08,1.94,2.08,1.85,1.95
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Mpetshi G.,Sonego L.,117,50,541,991,6,3,6,4,,,,,,,2,0,Completed,2.3,1.62,2.62,1.54,2.63,1.62,2.46,1.54
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Gaston H.,Galan D.E.,104,105,610,606,7,6,7,6,,,,,,,2,0,Completed,1.91,1.91,1.88,2,1.91,2.02,1.83,1.96
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Tiafoe F.,Munar J.,26,63,1615,810,7,6,6,4,,,,,,,2,0,Completed,2.63,1.5,2.66,1.53,3.15,1.53,2.6,1.49
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Daniel T.,47,81,1002,713,7,5,7,6,,,,,,,2,0,Completed,1.4,3,1.5,2.76,1.5,3,1.45,2.73
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,1st Round,3,Nishioka Y.,Fanselow S.,72,316,741,166,6,0,6,1,,,,,,,2,0,Completed,1.3,3.5,1.34,3.51,1.34,4,1.31,3.43
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Kotov P.,Muller A.,57,90,849,656,7,6,6,1,,,,,,,2,0,Completed,2,1.8,2.01,1.89,2.1,1.89,1.97,1.82
31,Lyon,Lyon Open,21/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Bublik A.,Vukic A.,19,93,2020,647,6,4,6,2,,,,,,,2,0,Completed,1.8,2,1.86,2.05,1.86,2.17,1.78,2.02
31,Lyon,Lyon Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Darderi L.,Mannarino A.,47,22,1002,1865,7,6,6,3,,,,,,,2,0,Completed,1.1,7,1.15,6.64,1.15,7,1.13,5.99
31,Lyon,Lyon Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Etcheverry T.,Seyboth Wild T.,29,58,1410,837,7,5,3,0,,,,,,,1,0,Retired,1.67,2.2,1.7,2.28,1.73,2.28,1.67,2.19
31,Lyon,Lyon Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Koepfer D.,Humbert U.,67,17,767,2285,2,6,6,4,6,4,,,,,2,1,Completed,2.38,1.57,2.57,1.57,2.57,1.58,2.44,1.55
31,Lyon,Lyon Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Mpetshi G.,Nishioka Y.,117,72,541,741,,,,,,,,,,,,,Retired,1.73,2.1,1.83,2.09,1.84,2.15,1.75,2.06
31,Lyon,Lyon Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Rinderknech A.,Tiafoe F.,73,26,739,1615,7,6,6,4,,,,,,,2,0,Completed,2.3,1.62,2.28,1.7,2.35,1.72,2.22,1.65
31,Lyon,Lyon Open,22/05/2024,ATP250,Outdoor,Clay,2nd Round,3,Gaston H.,Cerundolo F.,104,23,610,1740,6,2,2,6,6,3,,,,,2,1,Completed,3.2,1.36,3.32,1.38,3.32,1.4,3.09,1.36
31,Lyon,Lyon Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Darderi L.,Rinderknech A.,47,73,1002,739,,,,,,,,,,,,,Walkover,1.62,2.3,1.61,2.49,1.92,2.49,1.62,2.29
31,Lyon,Lyon Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Etcheverry T.,Koepfer D.,29,67,1410,767,6,4,6,1,,,,,,,2,0,Completed,1.44,2.75,1.52,2.73,1.54,2.75,1.48,2.62
31,Lyon,Lyon Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Bublik A.,Kotov P.,19,57,2020,849,6,7,7,6,6,3,,,,,2,1,Completed,2.2,1.67,2.22,1.74,2.22,1.76,2.14,1.7
31,Lyon,Lyon Open,23/05/2024,ATP250,Outdoor,Clay,Quarterfinals,3,Mpetshi G.,Gaston H.,117,104,541,610,6,4,4,6,6,3,,,,,2,1,Completed,1.67,2.2,1.76,2.19,1.8,2.2,1.71,2.11
31,Lyon,Lyon Open,24/05/2024,ATP250,Outdoor,Clay,Semifinals,3,Etcheverry T.,Darderi L.,29,47,1410,1002,6,2,6,4,,,,,,,2,0,Completed,1.67,2.2,1.71,2.27,1.71,2.27,1.67,2.19
