ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Navone M.,Mpetshi G.,85,37,750,1464,6,4,6,4,,,,,,,2,0,Completed,1.67,2.2,1.63,2.42,1.7,2.42,1.64,2.28
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Rinderknech A.,Safiullin R.,76,73,809,856,7,6,6,1,,,,,,,2,0,Completed,2.5,1.53,2.51,1.58,2.66,1.58,2.51,1.54
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Cina F.,Wong C.,373,169,130,322,7,6,6,1,,,,,,,2,0,Completed,1.62,2.3,1.57,2.55,1.63,2.62,1.59,2.4
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,O Connell C.,Ugo Carabelli C.,87,59,745,947,6,3,6,4,,,,,,,2,0,Completed,2.3,1.62,2.23,1.72,2.38,1.74,2.27,1.65
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Bonzi B.,Cilic M.,62,109,908,563,6,3,6,2,,,,,,,2,0,Completed,3.5,1.3,3.69,1.32,3.7,1.35,3.45,1.32
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Borges N.,Carreno Busta P.,41,96,1355,607,6,7,7,6,6,3,,,,,2,1,Completed,1.62,2.3,1.69,2.28,1.78,2.35,1.64,2.27
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Mayot H.,Moutet C.,160,82,354,759,6,3,4,2,,,,,,,1,0,Retired,2.5,1.53,2.52,1.58,2.63,1.61,2.53,1.53
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Quinn E.,Lajovic D.,119,138,494,426,6,3,6,4,,,,,,,2,0,Completed,2.5,1.53,2.6,1.55,2.78,1.7,2.46,1.56
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,Munar J.,55,53,979,1002,6,4,2,6,6,3,,,,,2,1,Completed,2.63,1.5,2.72,1.51,2.8,1.55,2.63,1.5
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Ofner S.,Gaston H.,153,80,378,776,6,4,6,3,,,,,,,2,0,Completed,2.3,1.62,2.38,1.63,2.52,1.67,2.32,1.61
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Djere L.,Fognini F.,71,112,872,536,6,2,6,3,,,,,,,2,0,Completed,1.22,4.33,1.24,4.48,1.25,4.6,1.23,4.22
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Comesana F.,Martinez P.,70,48,872,1130,6,4,6,4,,,,,,,2,0,Completed,1.91,1.91,1.89,2,1.94,2.02,1.88,1.93
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Kovacevic A.,126,77,469,805,3,6,7,5,6,2,,,,,2,1,Completed,1.57,2.38,1.64,2.39,1.66,2.48,1.6,2.37
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Bublik A.,Michelsen A.,75,38,820,1445,7,6,7,6,,,,,,,2,0,Completed,1.91,1.91,1.99,1.89,2.01,1.98,1.93,1.89
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Monfils G.,Gojo B.,42,353,1255,141,1,6,6,2,6,4,,,,,2,1,Completed,1.57,2.38,1.67,2.33,1.67,2.46,1.61,2.35
25,Madrid,Mutua Madrid Open,23/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Cobolli F.,Marozsan F.,36,58,1520,955,7,6,7,5,,,,,,,2,0,Completed,2.3,1.62,2.37,1.65,2.45,1.69,2.3,1.62
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Muller A.,Goffin D.,39,49,1366,1121,6,3,3,6,1,0,,,,,1,1,Retired,1.73,2.1,1.78,2.14,1.82,2.2,1.75,2.1
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Nishikori K.,Vukic A.,64,83,898,758,6,4,3,6,6,3,,,,,2,1,Completed,1.36,3.2,1.41,3.11,1.43,3.2,1.38,3.07
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Dzumhur D.,Bellucci M.,63,66,906,893,4,6,6,4,6,2,,,,,2,1,Completed,1.8,2,1.93,1.93,1.99,2.02,1.86,1.95
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Etcheverry T.,Medjedovic H.,51,61,1010,911,6,4,6,7,6,4,,,,,2,1,Completed,2.38,1.57,2.25,1.71,2.4,1.72,2.26,1.65
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Diallo G.,Bergs Z.,78,50,791,1096,6,1,6,2,,,,,,,2,0,Completed,2.38,1.57,2.59,1.55,2.64,1.6,2.47,1.56
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Sonego L.,Kecmanovic M.,43,47,1245,1166,6,4,7,6,,,,,,,2,0,Completed,2.38,1.57,2.31,1.68,2.46,1.68,2.37,1.59
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Darderi L.,Halys Q.,46,52,1229,1005,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.4,3.17,1.42,3.25,1.39,3.04
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Jarry N.,Altmaier D.,57,67,965,892,6,3,6,2,,,,,,,2,0,Completed,2.2,1.67,2.28,1.69,2.34,1.73,2.22,1.67
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Norrie C.,Landaluce M.,91,148,667,388,6,7,7,5,6,4,,,,,2,1,Completed,1.3,3.5,1.3,3.8,1.35,3.8,1.3,3.57
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Arnaldi M.,Coric B.,44,104,1240,576,4,6,6,4,7,5,,,,,2,1,Completed,1.73,2.1,1.8,2.11,1.83,2.18,1.74,2.1
25,Madrid,Mutua Madrid Open,24/04/2025,Masters 1000,Outdoor,Clay,1st Round,3,Struff J.L.,Van De Zandschulp B.,79,88,790,743,7,5,2,6,4,1,,,,,1,1,Retired,2.38,1.57,2.43,1.62,2.56,1.64,2.38,1.58
