ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Bergs Z.,51,44,950,1060,4,6,6,3,6,4,,,,,2,1,Completed,2,1.8,,,2,1.91,1.94,1.84,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Nava E.,Brooksby J.,116,61,549,852,6,3,7,5,,,,,,,2,0,Completed,1.5,2.63,,,1.53,2.75,1.48,2.6,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Kopriva V.,Zhang Zh.,66,245,826,230,6,2,6,0,,,,,,,2,0,Completed,2,1.8,,,2.1,1.93,1.94,1.82,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Buse I.,Mannarino A.,58,46,864,1025,6,4,6,2,,,,,,,2,0,Completed,1.14,5.5,,,1.18,6,1.15,5.22,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Dzumhur D.,Bellucci M.,84,78,694,734,6,2,6,4,,,,,,,2,0,Completed,2,1.8,,,2.1,1.83,2.02,1.76,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Prizmic D.,Berrettini M.,87,92,670,650,6,3,6,4,,,,,,,2,0,Completed,2.5,1.53,,,2.5,1.73,2.21,1.64,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Struff J.L.,Muller A.,81,95,709,641,7,6,6,0,,,,,,,2,0,Completed,2.5,1.53,,,2.5,1.65,2.32,1.59,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Lajovic D.,Sonego L.,138,62,451,850,6,3,7,6,,,,,,,2,0,Completed,1.67,2.2,,,1.73,2.2,1.68,2.15,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Ofner S.,Basilashvili N.,83,120,698,516,7,6,7,6,,,,,,,2,0,Completed,1.57,2.38,,,1.62,2.4,1.56,2.37,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Tirante T.A.,Bautista Agut R.,75,93,765,649,6,2,6,4,,,,,,,2,0,Completed,1.44,2.75,,,1.57,2.75,1.49,2.57,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Moller E.,Cina F.,169,205,364,285,6,4,7,6,,,,,,,2,0,Completed,1.57,2.38,,,1.62,2.5,1.56,2.37,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Hurkacz H.,Faria J.,63,136,845,459,6,3,6,3,,,,,,,2,0,Completed,1.36,3.2,,,1.37,3.25,1.35,3.13,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Bonzi B.,Droguet T.,104,113,616,571,6,7,7,6,6,4,,,,,2,1,Completed,2.2,1.67,,,2.2,1.7,2.15,1.68,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Machac T.,Comesana F.,41,105,1080,610,3,6,7,6,6,3,,,,,2,1,Completed,1.4,3,,,1.46,3,1.41,2.81,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Jodar R.,De Jong J.,42,109,1080,588,2,6,7,5,6,4,,,,,2,1,Completed,1.17,5,,,1.17,5.5,1.15,5.1,,
24,Madrid,Mutua Madrid Open,22/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Tabilo A.,Royer V.,43,72,1068,794,6,2,6,4,,,,,,,2,0,Completed,1.3,3.5,,,1.36,3.5,1.33,3.28,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Atmane T.,Kecmanovic M.,47,65,983,835,6,4,7,5,,,,,,,2,0,Completed,2,1.8,,,2.1,1.85,1.99,1.79,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Carreno Busta P.,Fucsovics M.,94,54,646,887,4,6,7,6,6,2,,,,,2,1,Completed,1.8,2,,,1.91,2,1.82,1.95,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Blockx A.,Garin C.,69,85,814,679,4,6,7,5,7,5,,,,,2,1,Completed,1.67,2.2,,,1.67,2.38,1.61,2.27,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Hanfmann Y.,Giron M.,60,76,857,750,6,4,6,7,7,5,,,,,2,1,Completed,1.36,3.2,,,1.38,3.3,1.35,3.11,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Marozsan F.,Quinn E.,50,48,955,977,7,6,7,6,,,,,,,2,0,Completed,1.73,2.1,,,1.73,2.2,1.69,2.13,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Munar J.,Shevchenko A.,38,82,1135,704,6,4,6,1,,,,,,,2,0,Completed,1.44,2.75,,,1.47,2.85,1.43,2.74,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Navone M.,Borges N.,45,49,1055,970,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,,,1.56,2.7,1.5,2.54,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Damm M.,Popyrin A.,126,56,499,870,7,6,6,4,,,,,,,2,0,Completed,2.63,1.5,,,2.75,1.53,2.53,1.5,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Vallejo D.,Dimitrov G.,96,137,640,455,6,4,6,4,,,,,,,2,0,Completed,1.91,1.91,,,2.06,1.91,1.9,1.87,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Tsitsipas S.,Kypson P.,80,90,715,653,3,6,7,6,7,6,,,,,2,1,Completed,1.36,3.2,,,1.37,3.25,1.36,3.07,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Gaubas V.,Baez S.,124,64,503,840,7,5,6,1,,,,,,,2,0,Completed,3.2,1.36,,,3.25,1.4,3.06,1.36,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Altmaier D.,67,55,816,880,6,4,6,4,,,,,,,2,0,Completed,1.67,2.2,,,1.7,2.25,1.65,2.2,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Monfils G.,57,200,865,290,6,3,6,4,,,,,,,2,0,Completed,1.5,2.63,,,1.53,2.63,1.51,2.52,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Merida Aguilar D.,Trungelliti M.,102,77,632,737,6,4,1,6,7,6,,,,,2,1,Completed,1.67,2.2,,,1.7,2.3,1.64,2.21,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Walton A.,Landaluce M.,117,99,547,634,6,2,6,3,,,,,,,2,0,Completed,4.5,1.2,,,4.8,1.23,4.39,1.2,,
24,Madrid,Mutua Madrid Open,23/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Budkov Kjaer N.,Opelka R.,140,70,451,803,5,3,,,,,,,,,0,0,Retired,1.91,1.91,,,2.15,1.91,1.96,1.81,,
24,Madrid,Mutua Madrid Open,24/04/2026,Masters 1000,Outdoor,Clay,2nd Round,3,Michelsen A.,Struff J.L.,37,81,1200,709,6,2,6,1,,,,,,,2,0,Completed,2.1,1.73,,,2.2,1.73,2.15,1.68,,
24,Madrid,Mutua Madrid Open,24/04/2026,Masters 1000,Outdoor,Clay,2nd Round,3,Griekspoor T.,Dzumhur D.,33,84,1340,694,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,,,1.55,2.63,1.52,2.5,,
24,Madrid,Mutua Madrid Open,24/04/2026,Masters 1000,Outdoor,Clay,2nd Round,3,Musetti L.,Hurkacz H.,9,63,3715,845,6,4,7,6,,,,,,,2,0,Completed,1.53,2.5,,,1.57,2.5,1.55,2.4,,
24,Madrid,Mutua Madrid Open,24/04/2026,Masters 1000,Outdoor,Clay,2nd Round,3,Nava E.,Vacherot V.,116,17,549,2168,6,7,7,6,6,3,,,,,2,1,Completed,3.75,1.29,,,3.75,1.33,3.58,1.29,,
24,Madrid,Mutua Madrid Open,24/04/2026,Masters 1000,Outdoor,Clay,2nd Round,3,Rinderknech A.,Lajovic D.,26,138,1716,451,6,3,6,2,,,,,,,2,0,Completed,1.57,2.38,,,1.6,2.43,1.57,2.37,,
