ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
38,Mallorca,Mallorca Championships,23/06/2024,ATP250,Outdoor,Grass,1st Round,3,Michelsen A.,Borges N.,62,51,844,936,6,3,7,6,,,,,,,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.29,1.72,2.1
38,Mallorca,Mallorca Championships,23/06/2024,ATP250,Outdoor,Grass,1st Round,3,Bautista Agut R.,Daniel T.,122,83,525,692,6,1,6,0,,,,,,,2,0,Completed,1.4,3,1.42,3.06,1.46,3.06,1.4,2.9
38,Mallorca,Mallorca Championships,23/06/2024,ATP250,Outdoor,Grass,1st Round,3,Carballes Baena R.,Carreno Busta P.,65,796,821,27,7,6,4,6,7,6,,,,,2,1,Completed,2,1.8,2.17,1.76,2.17,1.82,2.04,1.76
38,Mallorca,Mallorca Championships,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Hijikata R.,Nardi L.,75,73,736,760,6,2,2,6,7,5,,,,,2,1,Completed,1.8,2,1.78,2.15,1.8,2.31,1.7,2.11
38,Mallorca,Mallorca Championships,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Fognini F.,Brouwer G.,97,190,618,317,7,6,7,6,,,,,,,2,0,Completed,2.75,1.44,2.98,1.44,3.1,1.46,2.83,1.41
38,Mallorca,Mallorca Championships,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Shevchenko A.,Lestienne C.,58,90,860,657,7,5,7,6,,,,,,,2,0,Completed,2.1,1.73,2.16,1.77,2.23,1.77,2.13,1.7
38,Mallorca,Mallorca Championships,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Darderi L.,Martinez P.,37,48,1231,975,7,5,7,5,,,,,,,2,0,Completed,1.53,2.5,1.54,2.62,1.55,2.77,1.5,2.54
38,Mallorca,Mallorca Championships,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Ofner S.,Munar J.,54,63,883,835,3,6,6,4,7,6,,,,,2,1,Completed,1.44,2.75,1.5,2.76,1.54,2.78,1.46,2.67
38,Mallorca,Mallorca Championships,24/06/2024,ATP250,Outdoor,Grass,1st Round,3,Monfils G.,Thiem D.,40,134,1160,483,6,3,7,6,,,,,,,2,0,Completed,1.4,3,1.38,3.26,1.4,3.26,1.37,3.04
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Jubb P.,Marterer M.,289,87,191,679,6,1,6,2,,,,,,,2,0,Completed,1.8,2,1.93,1.95,1.93,2.12,1.81,1.98
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Walton A.,Hanfmann Y.,107,95,594,626,7,5,6,2,,,,,,,2,0,Completed,2.3,1.62,2.21,1.74,2.41,1.74,2.23,1.64
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,1st Round,3,Mensik J.,Eubanks C.,85,42,688,1085,6,3,3,6,6,1,,,,,2,1,Completed,2.5,1.53,2.55,1.57,2.77,1.57,2.46,1.53
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Michelsen A.,Mannarino A.,62,22,844,1765,7,6,6,4,,,,,,,2,0,Completed,1.57,2.38,1.7,2.3,1.7,2.4,1.62,2.26
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Bautista Agut R.,Humbert U.,122,16,525,2300,3,6,6,3,6,4,,,,,2,1,Completed,2.3,1.62,2.43,1.63,2.43,1.69,2.29,1.61
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Ofner S.,Darderi L.,54,37,883,1231,6,3,7,5,,,,,,,2,0,Completed,1.73,2.1,1.85,2.07,1.91,2.25,1.78,2.02
38,Mallorca,Mallorca Championships,25/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Monfils G.,Carballes Baena R.,40,65,1160,821,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,1.36,3.48,1.36,3.54,1.33,3.28
