ATP	Location	Tournament	Date	Series	Court	Surface	Round	Best of	Winner	Loser	WRank	LRank	WPts	LPts	W1	L1	W2	L2	W3	L3	W4	L4	W5	L5	Wsets	Lsets	Comment	B365W	B365L	PSW	PSL	MaxW	MaxL	AvgW	AvgL
35	Mallorca	Mallorca Championships	22/06/2025	ATP250	Outdoor	Grass	1st Round	3	Djere L.	Bu Y.	62	69	936	874	6	4	6	4							2	0	Completed	1.67	2.2	1.73	2.21	1.78	2.24	1.67	2.18
35	Mallorca	Mallorca Championships	22/06/2025	ATP250	Outdoor	Grass	1st Round	3	Altmaier D.	Fognini F.	59	130	983	462	6	3	3	6	6	3					2	1	Completed	1.45	2.63	1.49	2.79	1.52	3	1.46	2.68
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Safiullin R.	Muller A.	75	40	816	1311	7	6	7	5							2	0	Completed	1.6	2.38	1.63	2.4	1.63	2.58	1.56	2.39
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Moutet C.	Martinez P.	83	52	739	1030	4	6	6	3	6	0					2	1	Completed	1.22	4	1.3	3.88	1.3	4.7	1.23	4.19
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Medjedovic H.	Basavareddy N.	73	99	853	582	6	0	6	4							2	0	Completed	1.67	2.25	1.68	2.3	1.7	2.4	1.63	2.26
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Rinderknech A.	Dzumhur D.	70	68	864	900	6	4	4	6	7	5					2	1	Completed	1.3	3.6	1.31	3.78	1.34	3.85	1.3	3.45
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Diallo G.	Munar J.	41	54	1285	1012	7	5	6	3							2	0	Completed	1.62	2.3	1.63	2.41	1.68	2.42	1.61	2.29
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Quinn E.	Ugo Carabelli C.	95	55	650	1006	6	3	6	2							2	0	Completed	1.36	3	1.41	3.13	1.46	3.2	1.4	2.9
35	Mallorca	Mallorca Championships	23/06/2025	ATP250	Outdoor	Grass	1st Round	3	Tien L.	Engel J.	67	219	903	253	6	4	6	4							2	0	Completed	1.67	2.2	1.69	2.28	1.69	2.44	1.63	2.27
35	Mallorca	Mallorca Championships	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Holt B.	Bonzi B.	101	64	568	930	2	6	6	4	6	4					2	1	Completed	2.2	1.67	2.25	1.71	2.38	1.73	2.24	1.64
35	Mallorca	Mallorca Championships	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Tomic B.	Hijikata R.	248	88	235	702	3	6	7	5	6	2					2	1	Completed	2.5	1.5	2.55	1.57	2.63	1.59	2.56	1.5
35	Mallorca	Mallorca Championships	24/06/2025	ATP250	Outdoor	Grass	1st Round	3	Bautista Agut R.	Etcheverry T.	43	53	1236	1025	5	7	6	3	6	2					2	1	Completed	1.57	2.4	1.6	2.48	1.6	2.63	1.54	2.47
