ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
21,Marrakech,Grand Prix Hassan II,31/03/2025,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Baadi T.,51,703,1051,40,7,6,6,3,,,,,,,2,0,Completed,1.01,26,1.02,32.58,1.02,32.58,1.01,18.32
21,Marrakech,Grand Prix Hassan II,31/03/2025,ATP250,Outdoor,Clay,1st Round,3,Collignon R.,Fognini F.,92,99,644,607,6,3,6,3,,,,,,,2,0,Completed,1.53,2.5,1.5,2.76,1.54,2.76,1.48,2.59
21,Marrakech,Grand Prix Hassan II,31/03/2025,ATP250,Outdoor,Clay,1st Round,3,Dellien H.,Vukic A.,102,76,582,808,7,5,4,6,7,5,,,,,2,1,Completed,1.57,2.38,1.61,2.44,1.62,2.5,1.55,2.4
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,De Jong J.,Benchetrit E.,98,608,609,54,7,5,6,1,,,,,,,2,0,Completed,1.06,10,1.08,9.92,1.08,10,1.06,8.95
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Virtanen O.,Altmaier D.,135,83,430,763,6,2,4,6,7,6,,,,,2,1,Completed,3.75,1.29,3.73,1.31,3.78,1.31,3.63,1.28
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Majchrzak K.,Munar J.,122,55,482,1029,6,4,6,3,,,,,,,2,0,Completed,3.2,1.36,3.04,1.43,3.3,1.43,3.02,1.37
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Bellucci M.,Kotov P.,71,107,842,573,6,4,6,4,,,,,,,2,0,Completed,2.1,1.73,2.09,1.81,2.1,1.81,2.05,1.76
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Carreno Busta P.,Lalami Laaroussi Y.,110,1193,568,8,6,1,6,3,,,,,,,2,0,Completed,1.01,29,1.01,33.16,1.01,33.16,1.01,20.65
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Herbert P.,Coria F.,169,126,335,464,4,6,6,3,6,2,,,,,2,1,Completed,2.5,1.53,2.52,1.58,2.55,1.62,2.44,1.54
21,Marrakech,Grand Prix Hassan II,01/04/2025,ATP250,Outdoor,Clay,1st Round,3,Gaston H.,Cerundolo J.M.,84,128,751,461,5,7,6,3,6,4,,,,,2,1,Completed,2,1.8,2.05,1.85,2.06,1.85,1.97,1.81
21,Marrakech,Grand Prix Hassan II,02/04/2025,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Boyer T.,57,121,989,491,6,4,6,4,,,,,,,2,0,Completed,1.44,2.75,1.51,2.72,1.53,2.75,1.48,2.62
21,Marrakech,Grand Prix Hassan II,02/04/2025,ATP250,Outdoor,Clay,1st Round,3,Kopriva V.,Gojo B.,106,414,576,116,2,6,6,2,6,4,,,,,2,1,Completed,1.62,2.3,1.65,2.34,1.7,2.35,1.63,2.25
21,Marrakech,Grand Prix Hassan II,02/04/2025,ATP250,Outdoor,Clay,2nd Round,3,Muller A.,Dellien H.,41,102,1304,582,6,7,6,1,6,4,,,,,2,1,Completed,1.5,2.63,1.52,2.69,1.57,2.69,1.51,2.53
21,Marrakech,Grand Prix Hassan II,02/04/2025,ATP250,Outdoor,Clay,2nd Round,3,Majchrzak K.,De Jong J.,122,98,482,609,7,6,6,1,,,,,,,2,0,Completed,1.8,2,1.83,2.07,1.83,2.08,1.78,1.99
