ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
20,Marrakech,Grand Prix Hassan II,30/03/2026,ATP250,Outdoor,Clay,1st Round,3,Baadi T.,Vukic A.,587,84,64,663,6,2,3,6,6,1,,,,,2,1,Completed,8,1.08,,,9,1.08,8.17,1.07,9.6,1.11
20,Marrakech,Grand Prix Hassan II,30/03/2026,ATP250,Outdoor,Clay,1st Round,3,Bennani K.,Halys Q.,731,90,41,650,6,4,6,7,6,2,,,,,2,1,Completed,11,1.05,,,11,1.06,9.72,1.05,15,1.06
20,Marrakech,Grand Prix Hassan II,30/03/2026,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,De Jong J.,61,99,857,625,7,6,6,4,,,,,,,2,0,Completed,1.5,2.63,,,1.53,2.63,1.52,2.48,1.67,2.48
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Muller A.,Cina F.,94,208,645,285,6,2,6,3,,,,,,,2,0,Completed,1.67,2.2,,,1.73,2.2,1.68,2.14,1.83,2.18
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Majchrzak K.,Cerundolo J.M.,53,69,955,776,7,6,3,6,6,3,,,,,2,1,Completed,1.73,2.1,,,1.85,2.1,1.77,2,1.93,2.06
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Bellucci M.,Bennani R.,73,555,740,70,6,3,3,6,6,4,,,,,2,1,Completed,1.17,5,,,1.2,5,1.18,4.57,1.18,6
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Trungelliti M.,Rocha H.,117,133,561,483,7,6,6,2,,,,,,,2,0,Completed,2.1,1.73,,,2.4,1.73,2.3,1.59,2.58,1.62
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Buse I.,Berrettini M.,59,91,864,650,7,6,6,7,6,4,,,,,2,1,Completed,2.63,1.5,,,2.7,1.5,2.6,1.47,2.72,1.56
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Skatov T.,67,202,780,292,6,7,6,3,6,4,,,,,2,1,Completed,1.36,3.2,,,1.37,3.2,1.35,3.03,1.41,3.3
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Van Assche L.,Gaston H.,109,116,601,564,6,4,7,6,,,,,,,2,0,Completed,1.62,2.3,,,1.75,2.35,1.67,2.16,1.75,2.28
20,Marrakech,Grand Prix Hassan II,31/03/2026,ATP250,Outdoor,Clay,1st Round,3,Jodar R.,Lajovic D.,89,132,652,486,6,3,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.62,2.43,1.58,2.31,1.74,2.34
20,Marrakech,Grand Prix Hassan II,01/04/2026,ATP250,Outdoor,Clay,1st Round,3,Kopriva V.,Medjedovic H.,70,81,763,680,6,7,7,5,6,2,,,,,2,1,Completed,2.2,1.67,,,2.25,1.67,2.23,1.62,2.4,1.7
20,Marrakech,Grand Prix Hassan II,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Trungelliti M.,Majchrzak K.,117,53,561,955,7,6,6,3,,,,,,,2,0,Completed,2.5,1.53,,,2.7,1.53,2.6,1.48,2.68,1.59
20,Marrakech,Grand Prix Hassan II,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Moutet C.,Baadi T.,32,587,1403,64,6,0,6,2,,,,,,,2,0,Completed,1.04,13,,,1.04,13,1.03,11.42,1.06,16.5
20,Marrakech,Grand Prix Hassan II,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Darderi L.,Bellucci M.,19,73,2050,740,6,4,6,2,,,,,,,2,0,Completed,1.2,4.5,,,1.22,4.5,1.2,4.28,1.24,5.1
20,Marrakech,Grand Prix Hassan II,01/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Hanfmann Y.,Bennani K.,61,731,857,41,6,4,6,7,6,2,,,,,2,1,Completed,1.05,11,,,1.05,12,1.05,9.67,1.06,16
20,Marrakech,Grand Prix Hassan II,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Muller A.,Kopriva V.,94,70,645,763,6,3,7,6,,,,,,,2,0,Completed,2.1,1.73,,,2.1,1.83,2.06,1.73,2.28,1.76
20,Marrakech,Grand Prix Hassan II,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Jodar R.,Machac T.,89,55,652,930,6,4,4,6,6,3,,,,,2,1,Completed,1.91,1.91,,,2.02,1.91,1.96,1.8,2.18,1.83
20,Marrakech,Grand Prix Hassan II,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Ugo Carabelli C.,Buse I.,67,59,780,864,6,3,3,6,7,5,,,,,2,1,Completed,2.1,1.73,,,2.1,1.75,2.09,1.71,2.12,1.89
20,Marrakech,Grand Prix Hassan II,02/04/2026,ATP250,Outdoor,Clay,2nd Round,3,Van Assche L.,Griekspoor T.,109,30,601,1585,6,4,1,6,6,3,,,,,2,1,Completed,2.38,1.57,,,2.38,1.62,2.29,1.59,2.52,1.64
20,Marrakech,Grand Prix Hassan II,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Trungelliti M.,Moutet C.,117,32,561,1403,4,6,6,3,6,4,,,,,2,1,Completed,2.75,1.44,,,2.95,1.44,2.81,1.41,2.96,1.5
20,Marrakech,Grand Prix Hassan II,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Darderi L.,Hanfmann Y.,19,61,2050,857,,,,,,,,,,,,,Walkover,1.36,3.2,,,1.37,3.25,1.34,3.12,1.36,3
20,Marrakech,Grand Prix Hassan II,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Jodar R.,Muller A.,89,94,652,645,6,2,2,0,,,,,,,1,0,Retired,1.53,2.5,,,1.56,2.5,1.53,2.45,1.58,2.7
20,Marrakech,Grand Prix Hassan II,03/04/2026,ATP250,Outdoor,Clay,Quarterfinals,3,Ugo Carabelli C.,Van Assche L.,67,109,780,601,0,6,6,3,6,2,,,,,2,1,Completed,1.62,2.3,,,1.63,2.45,1.59,2.29,1.71,2.4
20,Marrakech,Grand Prix Hassan II,04/04/2026,ATP250,Outdoor,Clay,Semifinals,3,Trungelliti M.,Darderi L.,117,19,561,2050,6,4,7,6,,,,,,,2,0,Completed,5,1.17,,,5.1,1.19,4.7,1.17,5.3,1.22
20,Marrakech,Grand Prix Hassan II,04/04/2026,ATP250,Outdoor,Clay,Semifinals,3,Jodar R.,Ugo Carabelli C.,89,67,652,780,6,2,6,1,,,,,,,2,0,Completed,1.44,2.75,,,1.49,3,1.43,2.74,1.5,2.96
20,Marrakech,Grand Prix Hassan II,05/04/2026,ATP250,Outdoor,Clay,The Final,3,Jodar R.,Trungelliti M.,89,117,652,561,6,3,6,2,,,,,,,2,0,Completed,1.33,3.4,,,1.34,3.5,1.31,3.33,1.35,3.7
