ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
9,Marseille,Open 13,05/02/2024,ATP250,Indoor,Hard,1st Round,3,Musetti L.,Marterer M.,27,99,1480,616,6,4,6,2,,,,,,,2,0,Completed,1.53,2.5,1.58,2.51,1.58,2.51,1.54,2.42
9,Marseille,Open 13,05/02/2024,ATP250,Indoor,Hard,1st Round,3,Bautista Agut R.,Gasquet R.,102,131,606,500,6,3,7,5,,,,,,,2,0,Completed,1.5,2.63,1.52,2.69,1.55,2.75,1.49,2.57
9,Marseille,Open 13,05/02/2024,ATP250,Indoor,Hard,1st Round,3,Shevchenko A.,Bonzi B.,56,126,915,508,7,6,6,4,,,,,,,2,0,Completed,1.73,2.1,1.83,2.07,1.83,2.12,1.77,2.02
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Barrere G.,24,105,1535,596,4,6,6,4,6,4,,,,,2,1,Completed,1.53,2.5,1.58,2.53,1.58,2.53,1.54,2.42
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Zhang Zh.,Zeppieri G.,50,111,951,560,6,7,6,1,6,4,,,,,2,1,Completed,,,,,,,,
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Machac T.,Murray A.,66,49,838,970,7,5,6,4,,,,,,,2,0,Completed,1.44,2.75,1.5,2.77,1.53,2.82,1.46,2.67
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Rinderknech A.,Cressy M.,94,128,635,505,6,7,7,5,6,2,,,,,2,1,Completed,2,1.8,1.89,2,2,2,1.9,1.88
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Gaston H.,Shapovalov D.,86,127,684,505,7,5,1,6,6,3,,,,,2,1,Completed,2.75,1.44,2.87,1.47,2.87,1.47,2.71,1.45
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Korda S.,Grenier H.,34,155,1220,411,6,3,2,6,7,6,,,,,2,1,Completed,1.2,4.5,1.21,4.99,1.23,4.99,1.2,4.47
9,Marseille,Open 13,06/02/2024,ATP250,Indoor,Hard,1st Round,3,Lehecka J.,Goffin D.,32,134,1245,496,3,6,7,5,6,2,,,,,2,1,Completed,1.53,2.5,1.53,2.68,1.54,2.68,1.51,2.52
9,Marseille,Open 13,07/02/2024,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori E.,Van Assche L.,55,68,926,814,7,6,6,4,,,,,,,2,0,Completed,1.36,3.2,1.41,3.11,1.41,3.3,1.37,3.03
9,Marseille,Open 13,07/02/2024,ATP250,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Halys Q.,28,101,1445,615,6,2,7,5,,,,,,,2,0,Completed,1.25,4,1.26,4.23,1.26,4.25,1.24,3.94
9,Marseille,Open 13,07/02/2024,ATP250,Indoor,Hard,2nd Round,3,Machac T.,Musetti L.,66,27,838,1480,6,3,6,2,,,,,,,2,0,Completed,1.62,2.3,1.64,2.41,1.64,2.5,1.6,2.29
9,Marseille,Open 13,07/02/2024,ATP250,Indoor,Hard,2nd Round,3,Khachanov K.,Bautista Agut R.,18,102,1910,606,6,2,6,2,,,,,,,2,0,Completed,1.44,2.75,1.48,2.86,1.5,2.86,1.46,2.68
9,Marseille,Open 13,07/02/2024,ATP250,Indoor,Hard,2nd Round,3,Humbert U.,Gaston H.,21,86,1775,684,2,6,6,1,6,3,,,,,2,1,Completed,1.22,4.33,1.23,4.67,1.25,4.67,1.22,4.14
9,Marseille,Open 13,08/02/2024,ATP250,Indoor,Hard,2nd Round,3,Davidovich Fokina A.,Ruusuvuori E.,24,55,1535,926,6,3,7,5,,,,,,,2,0,Completed,2.5,1.53,2.58,1.57,2.6,1.57,2.48,1.52
9,Marseille,Open 13,08/02/2024,ATP250,Indoor,Hard,2nd Round,3,Zhang Zh.,Auger-Aliassime F.,50,28,951,1445,6,4,6,4,,,,,,,2,0,Completed,4,1.25,4.37,1.27,4.37,1.28,3.89,1.25
9,Marseille,Open 13,08/02/2024,ATP250,Indoor,Hard,2nd Round,3,Dimitrov G.,Korda S.,13,34,2785,1220,6,1,7,6,,,,,,,2,0,Completed,1.44,2.75,1.49,2.84,1.49,2.84,1.45,2.71
9,Marseille,Open 13,08/02/2024,ATP250,Indoor,Hard,2nd Round,3,Hurkacz H.,Shevchenko A.,8,56,3540,915,6,1,6,4,,,,,,,2,0,Completed,1.25,4,1.3,3.95,1.3,4.25,1.27,3.7
9,Marseille,Open 13,08/02/2024,ATP250,Indoor,Hard,2nd Round,3,Rinderknech A.,Lehecka J.,94,32,635,1245,7,5,7,6,,,,,,,2,0,Completed,2.75,1.44,2.82,1.51,2.82,1.52,2.7,1.45
9,Marseille,Open 13,09/02/2024,ATP250,Indoor,Hard,Quarterfinals,3,Humbert U.,Davidovich Fokina A.,21,24,1775,1535,6,1,6,4,,,,,,,2,0,Completed,1.57,2.38,1.59,2.54,1.62,2.54,1.57,2.36
9,Marseille,Open 13,09/02/2024,ATP250,Indoor,Hard,Quarterfinals,3,Hurkacz H.,Machac T.,8,66,3540,838,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,1.38,3.34,1.4,3.4,1.36,3.07
9,Marseille,Open 13,09/02/2024,ATP250,Indoor,Hard,Quarterfinals,3,Khachanov K.,Zhang Zh.,18,50,1910,951,6,4,6,1,,,,,,,2,0,Completed,1.36,3.2,1.37,3.38,1.37,3.38,1.35,3.12
9,Marseille,Open 13,09/02/2024,ATP250,Indoor,Hard,Quarterfinals,3,Dimitrov G.,Rinderknech A.,13,94,2785,635,6,3,7,6,,,,,,,2,0,Completed,1.2,4.5,1.21,5.05,1.21,5.05,1.19,4.54
9,Marseille,Open 13,10/02/2024,ATP250,Indoor,Hard,Semifinals,3,Humbert U.,Hurkacz H.,21,8,1775,3540,6,4,6,4,,,,,,,2,0,Completed,2.63,1.5,2.64,1.55,2.75,1.55,2.61,1.48
9,Marseille,Open 13,10/02/2024,ATP250,Indoor,Hard,Semifinals,3,Dimitrov G.,Khachanov K.,13,18,2785,1910,6,7,6,4,7,6,,,,,2,1,Completed,1.5,2.63,1.52,2.74,1.52,2.75,1.49,2.6
9,Marseille,Open 13,11/02/2024,ATP250,Indoor,Hard,The Final,3,Humbert U.,Dimitrov G.,21,13,1775,2785,6,4,6,3,,,,,,,2,0,Completed,2.38,1.57,2.41,1.65,2.51,1.65,2.35,1.58
