ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
65,Turin,Masters Cup,10/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Fritz T.,Medvedev D.,5,4,4300,4830,6,4,6,3,,,,,,,2,0,Completed,2.1,1.73,2.16,1.77,2.22,1.8,2.06,1.74
65,Turin,Masters Cup,10/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Sinner J.,De Minaur A.,1,9,10330,3745,6,3,6,4,,,,,,,2,0,Completed,1.11,6.5,1.11,8.24,1.16,8.24,1.11,6.57
65,Turin,Masters Cup,11/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Ruud C.,Alcaraz C.,7,3,3855,6810,6,1,7,5,,,,,,,2,0,Completed,10,1.06,10.08,1.08,10.08,1.09,8.71,1.06
65,Turin,Masters Cup,11/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A.,Rublev A.,2,8,7315,3760,6,4,6,4,,,,,,,2,0,Completed,1.3,3.5,1.31,3.75,1.34,3.76,1.3,3.48
65,Turin,Masters Cup,12/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Medvedev D.,De Minaur A.,4,9,4830,3745,6,2,6,4,,,,,,,2,0,Completed,1.91,1.91,2.03,1.86,2.03,1.94,1.9,1.88
65,Turin,Masters Cup,12/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Sinner J.,Fritz T.,1,5,10330,4300,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.18,5.43,1.2,5.8,1.16,5.04
65,Turin,Masters Cup,13/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Alcaraz C.,Rublev A.,3,8,6810,3760,6,3,7,6,,,,,,,2,0,Completed,1.53,2.5,1.58,2.52,1.6,2.6,1.54,2.46
65,Turin,Masters Cup,13/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A.,Ruud C.,2,7,7315,3855,7,6,6,3,,,,,,,2,0,Completed,1.13,6,1.18,5.56,1.18,6,1.15,5.46
65,Turin,Masters Cup,14/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,De Minaur A.,Fritz T.,9,5,3745,4300,5,7,6,4,6,3,,,,,2,1,Completed,3.2,1.36,3.09,1.42,3.2,1.42,3,1.38
65,Turin,Masters Cup,14/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Sinner J.,Medvedev D.,1,4,10330,4830,6,3,6,4,,,,,,,2,0,Completed,1.17,5,1.19,5.29,1.22,5.6,1.17,4.85
65,Turin,Masters Cup,15/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A.,Alcaraz C.,2,3,7315,6810,7,6,6,4,,,,,,,2,0,Completed,1.91,1.91,2.02,1.87,2.02,1.92,1.91,1.87
65,Turin,Masters Cup,15/11/2024,Masters Cup,Indoor,Hard,Round Robin,3,Ruud C.,Rublev A.,7,8,3855,3760,6,4,5,7,6,2,,,,,2,1,Completed,2.5,1.53,2.59,1.56,2.63,1.64,2.43,1.55
65,Turin,Masters Cup,16/11/2024,Masters Cup,Indoor,Hard,Semifinals,3,Fritz T.,Zverev A.,5,2,4300,7315,6,3,3,6,7,6,,,,,2,1,Completed,3,1.4,2.85,1.48,3.11,1.49,2.94,1.4
65,Turin,Masters Cup,16/11/2024,Masters Cup,Indoor,Hard,Semifinals,3,Sinner J.,Ruud C.,1,7,10330,3855,6,1,6,2,,,,,,,2,0,Completed,1.05,11,1.06,12.48,1.07,12.48,1.05,9.58
65,Turin,Masters Cup,17/11/2024,Masters Cup,Indoor,Hard,The Final,3,Sinner J.,Fritz T.,1,5,10330,4300,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.17,5.24,1.2,5.7,1.15,5.22
