ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
64,Metz,Open de Moselle,03/11/2024,ATP250,Indoor,Hard,1st Round,3,Moutet C.,Nagal S.,66,83,804,697,7,5,4,0,,,,,,,2,0,Completed,1.29,3.75,1.34,3.53,1.34,3.75,1.31,3.43
64,Metz,Open de Moselle,03/11/2024,ATP250,Indoor,Hard,1st Round,3,Michelsen A.,Mayot H.,44,107,1245,567,6,3,6,1,,,,,,,2,0,Completed,1.3,3.5,1.33,3.58,1.34,3.59,1.32,3.35
64,Metz,Open de Moselle,04/11/2024,ATP250,Indoor,Hard,1st Round,3,Sonego L.,Barrere G.,51,166,1046,362,6,4,7,5,,,,,,,2,0,Completed,3.5,1.3,,,1.42,2.8,1.42,2.8
64,Metz,Open de Moselle,04/11/2024,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Shevchenko A.,40,64,1290,840,3,6,6,4,6,4,,,,,2,1,Completed,1.44,2.75,1.44,2.97,1.5,2.97,1.45,2.7
64,Metz,Open de Moselle,04/11/2024,ATP250,Indoor,Hard,1st Round,3,Herbert P.H.,Martinez P.,127,42,471,1270,6,3,3,6,7,6,,,,,2,1,Completed,1.91,1.91,1.93,1.95,2.01,1.95,1.89,1.88
64,Metz,Open de Moselle,04/11/2024,ATP250,Indoor,Hard,1st Round,3,Halys Q.,Papamalamis T.,84,721,693,37,6,3,6,1,,,,,,,2,0,Completed,1.02,19,1.03,18.71,1.03,19,1.02,13.84
64,Metz,Open de Moselle,04/11/2024,ATP250,Indoor,Hard,1st Round,3,Gasquet R.,Monteiro T.,133,100,445,609,4,6,6,4,7,6,,,,,2,1,Completed,1.73,2.1,1.76,2.17,1.8,2.2,1.74,2.07
64,Metz,Open de Moselle,04/11/2024,ATP250,Indoor,Hard,1st Round,3,Norrie C.,Carballes Baena R.,57,56,962,981,3,6,6,4,6,3,,,,,2,1,Completed,1.62,2.3,1.68,2.31,1.69,2.38,1.64,2.23
64,Metz,Open de Moselle,05/11/2024,ATP250,Indoor,Hard,1st Round,3,Bergs Z.,Guinard M.,61,264,886,204,6,4,6,4,,,,,,,2,0,Completed,1.17,5,1.19,5.26,1.2,5.4,1.17,4.82
64,Metz,Open de Moselle,05/11/2024,ATP250,Indoor,Hard,1st Round,3,Gaston H.,Droguet T.,81,174,712,338,7,6,4,6,6,3,,,,,2,1,Completed,1.8,2,1.9,1.99,1.9,2.02,1.81,1.97
