ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
21,Monte Carlo,Monte Carlo Masters,05/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Norrie C.,Kecmanovic M.,24,59,1753,875,6,2,4,6,7,6,,,,,2,1,Completed,1.67,2.2,,,1.67,2.24,1.66,2.17,1.8,2.22
21,Monte Carlo,Monte Carlo Masters,05/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Monfils G.,Griekspoor T.,199,32,290,1430,6,7,6,1,6,4,,,,,2,1,Completed,2.38,1.57,,,2.63,1.57,2.52,1.51,2.92,1.51
21,Monte Carlo,Monte Carlo Masters,05/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Tabilo A.,Fucsovics M.,39,58,1118,877,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,,,1.53,2.54,1.51,2.49,1.57,2.72
21,Monte Carlo,Monte Carlo Masters,05/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Humbert U.,Kouame M.,34,334,1320,151,6,3,7,5,,,,,,,2,0,Completed,1.25,4,,,1.25,4.5,1.23,4.04,1.29,4.3
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Rublev A.,Borges N.,15,50,2400,970,6,4,1,6,6,1,,,,,2,1,Completed,1.22,4.33,,,1.24,4.5,1.22,4.15,1.26,4.7
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Rinderknech A.,Khachanov K.,27,14,1651,2410,7,5,6,2,,,,,,,2,0,Completed,3,1.4,,,3.1,1.43,2.88,1.4,3.15,1.45
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Bergs Z.,Mannarino A.,47,46,1010,1050,6,4,6,3,,,,,,,2,0,Completed,1.22,4.33,,,1.27,4.33,1.23,4.01,1.28,4.4
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Baez S.,Wawrinka S.,65,104,840,608,7,5,7,5,,,,,,,2,0,Completed,1.4,3,,,1.45,3.1,1.4,2.88,1.44,3.25
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Lehecka J.,Nava E.,13,103,2490,615,7,6,6,7,6,2,,,,,2,1,Completed,1.29,3.75,,,1.29,3.75,1.26,3.68,1.29,4.3
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Garin C.,Arnaldi M.,109,107,599,605,6,2,6,4,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.33,1.62,2.25,1.67,2.44
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Cerundolo F.,Tsitsipas S.,19,48,2020,995,7,5,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.75,2.12,1.73,2.07,1.82,2.2
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Machac T.,Altmaier D.,53,49,930,994,6,4,1,6,6,3,,,,,2,1,Completed,1.5,2.63,,,1.57,2.63,1.53,2.46,1.56,2.74
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Blockx A.,Shapovalov D.,91,38,649,1120,6,4,4,6,6,3,,,,,2,1,Completed,1.8,2,,,1.9,2,1.81,1.96,1.9,2.08
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Fonseca J.,Diallo G.,40,36,1115,1175,6,2,6,3,,,,,,,2,0,Completed,1.22,4.33,,,1.25,4.33,1.23,4.01,1.26,4.7
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Vacherot V.,Cerundolo J.M.,23,71,1818,773,5,7,6,2,6,1,,,,,2,1,Completed,1.33,3.4,,,1.41,3.4,1.37,2.98,1.46,3.1
21,Monte Carlo,Monte Carlo Masters,06/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Cobolli F.,Comesana F.,16,99,2320,634,7,5,2,6,6,3,,,,,2,1,Completed,1.57,2.38,,,1.58,2.4,1.56,2.38,1.62,2.56
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Berrettini M.,Bautista Agut R.,90,85,650,673,4,0,,,,,,,,,0,0,Retired,1.3,3.5,,,1.3,3.6,1.3,3.46,1.32,4
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Etcheverry T.,Dimitrov G.,30,93,1540,645,6,4,2,6,6,3,,,,,2,1,Completed,1.57,2.38,,,1.58,2.5,1.55,2.4,1.62,2.58
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Hurkacz H.,Darderi L.,74,21,745,1920,7,6,5,7,6,1,,,,,2,1,Completed,3.2,1.36,,,3.25,1.42,2.99,1.38,3.3,1.42
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Shevchenko A.,51,77,950,727,6,1,6,3,,,,,,,2,0,Completed,1.8,2,,,1.8,2.08,1.79,1.99,1.97,2
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Marozsan F.,Dzumhur D.,43,81,1095,681,6,2,6,1,,,,,,,2,0,Completed,1.36,3.2,,,1.44,3.25,1.37,3.01,1.38,3.3
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Atmane T.,Quinn E.,45,54,1058,911,6,1,6,4,,,,,,,2,0,Completed,2.1,1.73,,,2.18,1.73,2.11,1.7,2.24,1.8
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Ruud C.,Popyrin A.,12,44,2625,1060,6,3,6,4,,,,,,,2,0,Completed,1.3,3.5,,,1.3,3.75,1.29,3.51,1.34,3.8
21,Monte Carlo,Monte Carlo Masters,07/04/2026,Masters 1000,Outdoor,Clay,1st Round,3,Moutet C.,Muller A.,31,88,1433,651,6,4,6,1,,,,,,,2,0,Completed,1.5,2.63,,,1.54,2.63,1.51,2.53,1.63,2.56
