ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Montpellier,Open Sud de France,29/01/2024,ATP250,Indoor,Hard,1st Round,3,Mmoh M.,Bonzi B.,133,126,497,508,6,3,7,5,,,,,,,2,0,Completed,2.3,1.62,2.2,1.74,2.32,1.74,2.19,1.66
6,Montpellier,Open Sud de France,29/01/2024,ATP250,Indoor,Hard,1st Round,3,Paire B.,Murray A.,112,49,551,970,2,6,7,6,6,3,,,,,2,1,Completed,3.75,1.29,3.05,1.43,3.8,1.43,3.46,1.3
6,Montpellier,Open Sud de France,29/01/2024,ATP250,Indoor,Hard,1st Round,3,Martinez P.,Munar J.,99,75,616,746,6,4,7,6,,,,,,,2,0,Completed,1.91,1.91,1.94,1.94,1.95,2,1.88,1.9
6,Montpellier,Open Sud de France,30/01/2024,ATP250,Indoor,Hard,1st Round,3,Muller A.,Escoffier A.,71,172,768,354,7,6,6,3,,,,,,,2,0,Completed,1.44,2.75,1.49,2.79,1.49,2.8,1.45,2.71
6,Montpellier,Open Sud de France,30/01/2024,ATP250,Indoor,Hard,1st Round,3,Barrere G.,Blanchet U.,104,214,591,287,6,7,6,4,6,2,,,,,2,1,Completed,1.53,2.5,1.63,2.41,1.63,2.88,1.55,2.42
6,Montpellier,Open Sud de France,30/01/2024,ATP250,Indoor,Hard,1st Round,3,Mayot H.,Pouille L.,144,315,449,172,6,4,7,5,,,,,,,2,0,Completed,1.91,1.91,1.99,1.89,1.99,2.1,1.89,1.9
6,Montpellier,Open Sud de France,30/01/2024,ATP250,Indoor,Hard,1st Round,3,Shapovalov D.,Gaston H.,137,88,480,684,6,1,6,3,,,,,,,2,0,Completed,1.8,2,1.92,1.97,1.92,2.12,1.78,2.01
6,Montpellier,Open Sud de France,30/01/2024,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,,,,,,,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99
6,Montpellier,Open Sud de France,30/01/2024,ATP250,Indoor,Hard,1st Round,3,Llamas Ruiz P.,Gasquet R.,156,130,404,500,7,6,7,5,,,,,,,2,0,Completed,2.63,1.5,2.44,1.61,2.95,1.61,2.51,1.52
6,Montpellier,Open Sud de France,31/01/2024,ATP250,Indoor,Hard,1st Round,3,Shevchenko A.,Svrcina D.,59,194,885,315,6,4,4,6,6,4,,,,,2,1,Completed,1.36,3.2,1.43,3.02,1.43,3.25,1.36,3.08
6,Montpellier,Open Sud de France,31/01/2024,ATP250,Indoor,Hard,1st Round,3,Lestienne C.,Zapata Miralles B.,106,80,584,715,4,6,6,4,6,2,,,,,2,1,Completed,1.25,4,1.33,3.6,1.33,4.05,1.25,3.81
6,Montpellier,Open Sud de France,31/01/2024,ATP250,Indoor,Hard,1st Round,3,Cobolli F.,Monfils G.,76,70,738,787,6,7,6,3,6,0,,,,,2,1,Completed,3.4,1.33,3.6,1.33,3.6,1.35,3.29,1.32
6,Montpellier,Open Sud de France,31/01/2024,ATP250,Indoor,Hard,2nd Round,3,Mmoh M.,Muller A.,133,71,497,768,6,4,6,4,,,,,,,2,0,Completed,2.1,1.73,2.19,1.76,2.19,1.8,2.04,1.76
6,Montpellier,Open Sud de France,31/01/2024,ATP250,Indoor,Hard,2nd Round,3,Mayot H.,Paire B.,144,112,449,551,6,1,6,4,,,,,,,2,0,Completed,1.53,2.5,1.5,2.78,1.58,2.78,1.52,2.49
6,Montpellier,Open Sud de France,31/01/2024,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Shapovalov D.,27,137,1459,480,1,6,7,6,6,3,,,,,2,1,Completed,1.73,2.1,1.8,2.13,1.8,2.13,1.76,2.04
6,Montpellier,Open Sud de France,01/02/2024,ATP250,Indoor,Hard,2nd Round,3,Shevchenko A.,Barrere G.,59,104,885,591,7,6,2,6,6,3,,,,,2,1,Completed,1.8,2,1.93,1.98,1.93,2.14,1.83,1.95
6,Montpellier,Open Sud de France,01/02/2024,ATP250,Indoor,Hard,2nd Round,3,Coric B.,Martinez P.,37,99,1154,616,6,4,6,0,,,,,,,2,0,Completed,1.36,3.2,1.43,3.07,1.43,3.2,1.37,3.02
