ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
6,Montpellier,Open Sud de France,02/02/2026,ATP250,Indoor,Hard,1st Round,3,Mannarino A.,Martinez P.,70,77,810,728,7,6,6,1,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.32,1.61,2.25,1.67,2.46
6,Montpellier,Open Sud de France,02/02/2026,ATP250,Indoor,Hard,1st Round,3,Gea A.,Mpetshi G.,168,57,353,905,6,3,0,0,,,,,,,1,0,Retired,2.2,1.67,,,2.25,1.75,2.16,1.67,2.26,1.78
6,Montpellier,Open Sud de France,02/02/2026,ATP250,Indoor,Hard,1st Round,3,Bautista Agut R.,O Connell C.,89,119,670,511,5,7,6,3,7,5,,,,,2,1,Completed,1.67,2.2,,,1.68,2.4,1.62,2.24,1.68,2.42
6,Montpellier,Open Sud de France,03/02/2026,ATP250,Indoor,Hard,1st Round,3,Carreno Busta P.,Kecmanovic M.,100,69,616,820,4,6,6,3,7,6,,,,,2,1,Completed,2.1,1.73,,,2.18,1.8,2.1,1.7,2.26,1.77
6,Montpellier,Open Sud de France,03/02/2026,ATP250,Indoor,Hard,1st Round,3,Damm M.,Hurkacz H.,160,52,373,965,7,6,6,4,,,,,,,2,0,Completed,4,1.25,,,4.33,1.26,3.95,1.24,4.6,1.27
6,Montpellier,Open Sud de France,03/02/2026,ATP250,Indoor,Hard,1st Round,3,Droguet T.,Choinski J.,150,125,403,498,6,2,7,6,,,,,,,2,0,Completed,1.3,3.5,,,1.32,3.75,1.3,3.43,1.34,3.75
6,Montpellier,Open Sud de France,03/02/2026,ATP250,Indoor,Hard,1st Round,3,Humbert U.,Van De Zandschulp B.,38,67,1320,849,6,3,6,4,,,,,,,2,0,Completed,1.29,3.75,,,1.3,4.25,1.29,3.53,1.34,3.85
6,Montpellier,Open Sud de France,03/02/2026,ATP250,Indoor,Hard,1st Round,3,Fils A.,Royer V.,42,56,1110,920,7,6,6,7,6,2,,,,,2,1,Completed,1.67,2.2,,,1.73,2.25,1.66,2.17,1.8,2.24
6,Montpellier,Open Sud de France,03/02/2026,ATP250,Indoor,Hard,1st Round,3,Blanchet U.,Vavassori A.,174,282,343,185,6,4,6,3,,,,,,,2,0,Completed,2.3,1.62,,,2.38,1.62,2.29,1.59,2.44,1.68
6,Montpellier,Open Sud de France,04/02/2026,ATP250,Indoor,Hard,1st Round,3,Nardi L.,Basilashvili N.,106,137,571,464,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,,,1.65,2.3,1.62,2.23,1.72,2.36
6,Montpellier,Open Sud de France,04/02/2026,ATP250,Indoor,Hard,1st Round,3,Kovacevic A.,Kouame M.,83,551,709,70,6,7,6,2,6,2,,,,,2,1,Completed,1.4,3,,,1.43,3,1.41,2.82,1.44,3.2
6,Montpellier,Open Sud de France,04/02/2026,ATP250,Indoor,Hard,1st Round,3,Wawrinka S.,Medjedovic H.,113,80,537,717,7,6,6,4,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.56,2.54,1.5,2.88,1.52
6,Montpellier,Open Sud de France,04/02/2026,ATP250,Indoor,Hard,2nd Round,3,Damm M.,Bautista Agut R.,160,89,373,670,6,1,6,3,,,,,,,2,0,Completed,1.67,2.2,,,1.7,2.25,1.65,2.17,1.71,2.38
6,Montpellier,Open Sud de France,04/02/2026,ATP250,Indoor,Hard,2nd Round,3,Mannarino A.,Humbert U.,70,38,810,1320,6,7,6,3,7,6,,,,,2,1,Completed,5,1.17,,,5.5,1.19,4.78,1.17,5.3,1.22
6,Montpellier,Open Sud de France,04/02/2026,ATP250,Indoor,Hard,2nd Round,3,Gea A.,Machac T.,168,28,353,1610,6,3,4,5,,,,,,,1,0,Retired,2.75,1.44,,,2.9,1.44,2.78,1.42,3,1.49
6,Montpellier,Open Sud de France,05/02/2026,ATP250,Indoor,Hard,2nd Round,3,Droguet T.,Kovacevic A.,150,83,403,709,4,6,7,6,6,4,,,,,2,1,Completed,1.8,2,,,1.86,2.05,1.8,1.98,1.93,2.04
6,Montpellier,Open Sud de France,05/02/2026,ATP250,Indoor,Hard,2nd Round,3,Griekspoor T.,Carreno Busta P.,29,100,1565,616,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.3,1.63,2.23,1.71,2.38
6,Montpellier,Open Sud de France,05/02/2026,ATP250,Indoor,Hard,2nd Round,3,Nardi L.,Cobolli F.,106,20,571,1955,6,2,6,3,,,,,,,2,0,Completed,2.1,1.73,,,2.15,1.73,2.11,1.7,2.22,1.81
6,Montpellier,Open Sud de France,05/02/2026,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Wawrinka S.,8,113,3725,537,6,4,7,6,,,,,,,2,0,Completed,1.3,3.5,,,1.33,3.5,1.3,3.41,1.35,3.75
6,Montpellier,Open Sud de France,05/02/2026,ATP250,Indoor,Hard,2nd Round,3,Fils A.,Blanchet U.,42,174,1110,343,7,6,7,5,,,,,,,2,0,Completed,1.25,4,,,1.27,4.25,1.24,3.86,1.24,5
6,Montpellier,Open Sud de France,06/02/2026,ATP250,Indoor,Hard,Quarterfinals,3,Mannarino A.,Gea A.,70,168,810,353,5,7,6,4,6,4,,,,,2,1,Completed,2.1,1.73,,,2.15,1.75,2.1,1.71,2.2,1.8
6,Montpellier,Open Sud de France,06/02/2026,ATP250,Indoor,Hard,Quarterfinals,3,Damm M.,Nardi L.,160,106,373,571,6,3,7,6,,,,,,,2,0,Completed,,,,,1.8,2.06,1.77,2,1.88,2.12
6,Montpellier,Open Sud de France,06/02/2026,ATP250,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Fils A.,8,42,3725,1110,6,4,6,2,,,,,,,2,0,Completed,1.5,2.63,,,1.52,2.65,1.49,2.57,1.57,2.7
6,Montpellier,Open Sud de France,06/02/2026,ATP250,Indoor,Hard,Quarterfinals,3,Droguet T.,Griekspoor T.,150,29,403,1565,7,6,7,6,,,,,,,2,0,Completed,2.5,1.53,,,2.55,1.55,2.38,1.53,2.72,1.57
6,Montpellier,Open Sud de France,07/02/2026,ATP250,Indoor,Hard,Semifinals,3,Mannarino A.,Damm M.,70,160,810,373,1,6,6,3,6,4,,,,,2,1,Completed,2.3,1.62,,,2.3,1.65,2.25,1.61,2.42,1.69
6,Montpellier,Open Sud de France,07/02/2026,ATP250,Indoor,Hard,Semifinals,3,Auger-Aliassime F.,Droguet T.,8,150,3725,403,6,4,6,7,6,1,,,,,2,1,Completed,1.22,4.33,,,1.25,4.75,1.21,4.26,1.24,5.1
6,Montpellier,Open Sud de France,08/02/2026,ATP250,Indoor,Hard,The Final,3,Auger-Aliassime F.,Mannarino A.,8,70,3725,810,6,3,7,6,,,,,,,2,0,Completed,1.17,5,,,1.19,5.25,1.17,4.85,1.19,6
