ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
24,Munich,BMW Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Griekspoor T.,Tien L.,37,69,1485,865,6,4,6,2,,,,,,,2,0,Completed,1.36,3.2,1.4,3.2,1.4,3.4,1.36,3.18
24,Munich,BMW Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Kecmanovic M.,Giron M.,48,45,1141,1240,6,2,6,7,7,6,,,,,2,1,Completed,1.4,3,1.45,2.93,1.49,3,1.42,2.89
24,Munich,BMW Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Goffin D.,Harris B.,52,106,1021,576,6,2,6,7,6,4,,,,,2,1,Completed,1.3,3.5,1.34,3.5,1.37,3.65,1.32,3.38
24,Munich,BMW Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Shelton B.,Gojo B.,15,410,2700,116,4,6,7,6,7,6,,,,,2,1,Completed,1.44,2.75,1.48,2.83,1.52,2.88,1.47,2.69
24,Munich,BMW Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Zverev A.,Muller A.,3,40,7595,1378,6,4,6,1,,,,,,,2,0,Completed,1.17,5,1.18,5.46,1.19,6,1.17,5.07
24,Munich,BMW Open,14/04/2025,ATP500,Outdoor,Clay,1st Round,3,Altmaier D.,Tseng C.H.,68,103,867,587,7,6,7,6,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.53,2.92,1.47,2.68
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Darderi L.,O Connell C.,47,87,1154,745,7,6,7,6,,,,,,,2,0,Completed,,,,,1.35,3.2,1.35,3.2
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Bautista Agut R.,89,53,705,1019,6,4,3,6,6,4,,,,,2,1,Completed,1.73,2.1,1.66,2.34,1.75,2.34,1.7,2.16
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Hanfmann Y.,Mensik J.,131,23,453,2032,7,6,4,6,6,3,,,,,2,1,Completed,3.2,1.36,3.41,1.36,3.55,1.38,3.32,1.33
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Marozsan F.,Engel J.,77,347,805,146,6,4,6,1,,,,,,,2,0,Completed,1.13,6,1.16,5.8,1.18,6.4,1.14,5.8
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Shevchenko A.,Cobolli F.,104,36,585,1520,6,7,6,3,6,4,,,,,2,1,Completed,3.5,1.3,3.94,1.29,4.2,1.31,3.67,1.28
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Cerundolo F.,Struff J.L.,22,51,2075,1030,6,0,6,2,,,,,,,2,0,Completed,1.25,4,1.32,3.69,1.34,4.05,1.28,3.75
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Humbert U.,Jarry N.,21,58,2145,965,4,6,6,3,6,2,,,,,2,1,Completed,1.8,2,1.81,2.1,1.88,2.12,1.79,2.03
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Dedura-Palomero D.,Shapovalov D.,549,29,67,1726,7,6,3,0,,,,,,,1,0,Retired,8,1.08,8.11,1.11,8.11,1.13,7.31,1.09
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Navone M.,Auger-Aliassime F.,70,19,865,2415,2,6,6,4,7,6,,,,,2,1,Completed,2.1,1.73,2.18,1.75,2.24,1.78,2.16,1.7
24,Munich,BMW Open,15/04/2025,ATP500,Outdoor,Clay,1st Round,3,Bergs Z.,Bublik A.,50,78,1071,805,6,7,6,4,7,5,,,,,2,1,Completed,1.62,2.3,1.52,2.7,1.62,2.7,1.57,2.44
24,Munich,BMW Open,16/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Darderi L.,Kecmanovic M.,47,48,1154,1141,2,6,7,6,6,4,,,,,2,1,Completed,1.73,2.1,1.81,2.12,1.86,2.16,1.76,2.07
24,Munich,BMW Open,16/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Shelton B.,Van De Zandschulp B.,15,89,2700,705,7,6,6,3,,,,,,,2,0,Completed,1.8,2,1.83,2.1,1.9,2.16,1.8,2.02
24,Munich,BMW Open,16/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Zverev A.,Altmaier D.,3,68,7595,867,6,3,6,2,,,,,,,2,0,Completed,1.13,6,1.16,6.17,1.16,7,1.14,5.87
24,Munich,BMW Open,16/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Griekspoor T.,Hanfmann Y.,37,131,1485,453,7,6,6,3,,,,,,,2,0,Completed,1.36,3.2,1.38,3.33,1.4,3.5,1.36,3.16
24,Munich,BMW Open,17/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Goffin D.,Navone M.,52,70,1021,865,0,6,7,5,6,1,,,,,2,1,Completed,3.2,1.36,2.99,1.45,3.4,1.48,3.04,1.39
24,Munich,BMW Open,17/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Cerundolo F.,Shevchenko A.,22,104,2075,585,6,3,6,2,,,,,,,2,0,Completed,1.08,8,1.11,7.77,1.12,9.2,1.09,7.3
24,Munich,BMW Open,17/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Bergs Z.,Dedura-Palomero D.,50,549,1071,67,6,1,6,1,,,,,,,2,0,Completed,1.13,6,1.15,6.29,1.17,6.6,1.13,5.94
24,Munich,BMW Open,17/04/2025,ATP500,Outdoor,Clay,2nd Round,3,Marozsan F.,Humbert U.,77,21,805,2145,6,4,6,4,,,,,,,2,0,Completed,1.91,1.91,1.88,2.04,2.01,2.1,1.87,1.93
24,Munich,BMW Open,18/04/2025,ATP500,Outdoor,Clay,Quarterfinals,3,Cerundolo F.,Goffin D.,22,52,2075,1021,6,2,6,4,,,,,,,2,0,Completed,1.17,5,1.18,5.71,1.2,6,1.16,5.19
24,Munich,BMW Open,18/04/2025,ATP500,Outdoor,Clay,Quarterfinals,3,Shelton B.,Darderi L.,15,47,2700,1154,6,4,6,3,,,,,,,2,0,Completed,2.2,1.67,2.31,1.69,2.46,1.73,2.21,1.67
