ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
23,Munich,BMW Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Rinderknech A.,Michelsen A.,26,36,1676,1200,6,3,6,3,,,,,,,2,0,Completed,1.67,2.2,,,1.67,2.3,1.62,2.24,1.74,2.32
23,Munich,BMW Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Huesler M.,49,340,931,148,7,6,6,3,,,,,,,2,0,Completed,1.25,4,,,1.32,4,1.28,3.53,1.28,4.5
23,Munich,BMW Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Cerundolo F.,Nagal S.,19,292,2020,179,6,2,6,2,,,,,,,2,0,Completed,1.05,11,,,1.06,11,1.05,9.73,1.05,15
23,Munich,BMW Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Diallo G.,Sachko V.,37,208,1175,282,6,1,6,2,,,,,,,2,0,Completed,1.62,2.3,,,1.62,2.38,1.59,2.29,1.67,2.46
23,Munich,BMW Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Shelton B.,Nava E.,6,112,3900,580,7,6,3,6,6,3,,,,,2,1,Completed,1.33,3.4,,,1.36,4,1.3,3.46,1.32,4
23,Munich,BMW Open,13/04/2026,ATP500,Outdoor,Clay,1st Round,3,Blockx A.,Hanfmann Y.,71,51,772,899,7,6,6,2,,,,,,,2,0,Completed,1.91,1.91,,,1.91,2.2,1.86,1.91,2,1.98
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Shapovalov D.,Griekspoor T.,39,32,1120,1430,6,4,3,6,6,2,,,,,2,1,Completed,1.8,2,,,2,2,1.86,1.9,2.08,1.9
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Fonseca J.,Tabilo A.,35,45,1315,1068,7,6,6,3,,,,,,,2,0,Completed,1.4,3,,,1.42,3,1.4,2.85,1.44,3.2
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Darderi L.,Zhang Zh.,21,242,1920,230,7,6,3,6,6,1,,,,,2,1,Completed,1.33,3.4,,,1.33,3.7,1.32,3.3,1.36,3.7
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Zverev A.,Kecmanovic M.,3,58,5555,875,6,3,3,6,7,6,,,,,2,1,Completed,1.14,5.5,,,1.17,5.5,1.15,5.13,1.18,6.4
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Cobolli F.,Dedura D.,16,258,2320,210,6,4,7,5,,,,,,,2,0,Completed,1.22,4.33,,,1.25,4.33,1.22,4.01,1.27,4.4
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Kopriva V.,Engel J.,77,184,738,323,6,3,5,7,6,2,,,,,2,1,Completed,1.33,3.4,,,1.37,3.5,1.33,3.26,1.34,3.9
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Altmaier D.,Cilic M.,56,48,880,950,6,2,6,3,,,,,,,2,0,Completed,2.2,1.67,,,2.3,1.68,2.18,1.66,2.3,1.74
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Molcan A.,Bublik A.,166,11,376,3445,6,4,6,2,,,,,,,2,0,Completed,3.4,1.33,,,3.5,1.33,3.36,1.31,3.9,1.33
23,Munich,BMW Open,14/04/2026,ATP500,Outdoor,Clay,1st Round,3,Bergs Z.,Topo M.,40,260,1110,208,6,1,6,4,,,,,,,2,0,Completed,1.22,4.33,,,1.22,4.35,1.22,4.17,1.26,4.7
