ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,Newport,Hall of Fame Championships,15/07/2024,ATP250,Outdoor,Grass,1st Round,3,Kovacevic A.,Mayot H.,91,124,668,499,7,6,6,4,,,,,,,2,0,Completed,2.38,1.57,2.51,1.58,2.51,1.62,2.39,1.56
43,Newport,Hall of Fame Championships,15/07/2024,ATP250,Outdoor,Grass,1st Round,3,Cressy M.,Albot R.,180,149,333,411,6,4,4,6,7,6,,,,,2,1,Completed,1.53,2.5,1.59,2.49,1.59,2.57,1.54,2.42
43,Newport,Hall of Fame Championships,15/07/2024,ATP250,Outdoor,Grass,1st Round,3,Vukic A.,Wong C.,65,179,794,333,6,1,6,2,,,,,,,2,0,Completed,1.14,5.5,1.19,5.3,1.19,5.7,1.15,5.24
43,Newport,Hall of Fame Championships,15/07/2024,ATP250,Outdoor,Grass,1st Round,3,Opelka R.,Lestienne C.,1187,94,7,650,6,1,2,6,7,6,,,,,2,1,Completed,2.1,1.73,2.01,1.88,2.2,1.88,2.11,1.71
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Rinderknech A.,Mochizuki S.,66,156,794,385,6,3,7,6,,,,,,,2,0,Completed,1.4,3,1.46,2.91,1.53,3,1.43,2.78
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Mcdonald M.,Hijikata R.,99,74,626,751,4,6,7,6,6,2,,,,,2,1,Completed,1.67,2.2,1.73,2.22,1.79,2.22,1.7,2.12
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Harris B.,Diallo G.,116,165,529,355,7,6,7,5,,,,,,,2,0,Completed,1.57,2.38,1.68,2.29,1.68,2.38,1.64,2.22
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Paire B.,Svajda Z.,227,113,261,541,6,3,3,6,7,6,,,,,2,1,Completed,5.5,1.14,5.51,1.18,5.51,1.18,5.12,1.16
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Quinn E.,Polmans M.,254,217,225,278,6,3,6,7,6,1,,,,,2,1,Completed,2.1,1.73,2.18,1.75,2.18,1.83,2.05,1.74
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Bolt A.,Mensik J.,210,79,292,728,6,2,6,4,,,,,,,2,0,Completed,2.3,1.62,2.25,1.71,2.4,1.71,2.25,1.63
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Spizzirri E.,Tu L.,393,208,123,294,6,1,7,6,,,,,,,2,0,Completed,2.5,1.53,2.73,1.51,2.73,1.62,2.47,1.52
43,Newport,Hall of Fame Championships,16/07/2024,ATP250,Outdoor,Grass,1st Round,3,Nakashima B.,Nava E.,53,148,915,415,7,5,6,2,,,,,,,2,0,Completed,1.14,5.5,1.18,5.49,1.2,5.5,1.17,4.93
43,Newport,Hall of Fame Championships,17/07/2024,ATP250,Outdoor,Grass,2nd Round,3,Kovacevic A.,Rinderknech A.,91,66,668,794,6,3,3,6,7,5,,,,,2,1,Completed,2.38,1.57,2.35,1.67,2.4,1.69,2.26,1.62
43,Newport,Hall of Fame Championships,17/07/2024,ATP250,Outdoor,Grass,2nd Round,3,Michelsen A.,Cressy M.,61,180,816,333,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.61,2.47,1.63,2.47,1.59,2.33
43,Newport,Hall of Fame Championships,17/07/2024,ATP250,Outdoor,Grass,2nd Round,3,Opelka R.,Mannarino A.,1187,25,7,1590,6,4,3,6,6,4,,,,,2,1,Completed,2.2,1.67,2.33,1.68,2.33,1.75,2.18,1.67
43,Newport,Hall of Fame Championships,17/07/2024,ATP250,Outdoor,Grass,2nd Round,3,Mcdonald M.,Harris B.,99,116,626,529,6,3,6,4,,,,,,,2,0,Completed,1.57,2.38,1.64,2.42,1.64,2.42,1.58,2.33
43,Newport,Hall of Fame Championships,17/07/2024,ATP250,Outdoor,Grass,2nd Round,3,Eubanks C.,Quinn E.,128,254,485,225,7,6,3,6,6,3,,,,,2,1,Completed,1.44,2.75,1.5,2.8,1.5,2.9,1.45,2.7
43,Newport,Hall of Fame Championships,17/07/2024,ATP250,Outdoor,Grass,2nd Round,3,Vukic A.,Spizzirri E.,65,393,794,123,6,2,7,6,,,,,,,2,0,Completed,1.33,3.4,1.38,3.36,1.38,3.4,1.35,3.15
