ATP	Location	Tournament	Date	Series	Court	Surface	Round	Best of	Winner	Loser	WRank	LRank	WPts	LPts	W1	L1	W2	L2	W3	L3	W4	L4	W5	L5	Wsets	Lsets	Comment	B365W	B365L	PSW	PSL	MaxW	MaxL	AvgW	AvgL
33	Queens Club	Queen's Club Championships	16/06/2025	ATP500	Outdoor	Grass	1st Round	3	Bautista Agut R.	Borges N.	51	38	1049	1400	6	7	7	5	6	4					2	1	Completed	1.67	2.2	1.74	2.2	1.74	2.3	1.67	2.18
33	Queens Club	Queen's Club Championships	16/06/2025	ATP500	Outdoor	Grass	1st Round	3	Evans D.	Tiafoe F.	199	13	275	2990	7	5	6	2							2	0	Completed	4	1.25	4.15	1.27	4.5	1.3	3.82	1.27
33	Queens Club	Queen's Club Championships	16/06/2025	ATP500	Outdoor	Grass	1st Round	3	Rune H.	O Connell C.	9	79	3440	772	6	3	6	4							2	0	Completed	1.2	4.5	1.24	4.43	1.24	4.6	1.2	4.44
33	Queens Club	Queen's Club Championships	16/06/2025	ATP500	Outdoor	Grass	1st Round	3	Mensik J.	Norrie C.	17	61	2322	952	7	6	1	6	6	1					2	1	Completed	1.67	2.2	1.68	2.3	1.74	2.32	1.66	2.22
33	Queens Club	Queen's Club Championships	16/06/2025	ATP500	Outdoor	Grass	1st Round	3	Fearnley J.	Bolt A.	60	194	961	284	6	2	6	4							2	0	Completed	1.36	3	1.41	3.13	1.45	3.35	1.39	2.95
33	Queens Club	Queen's Club Championships	16/06/2025	ATP500	Outdoor	Grass	1st Round	3	McDonald M.	Monfils G.	98	42	630	1265	6	4	6	4							2	0	Completed	1.95	1.8	2.08	1.83	2.12	1.86	2	1.8
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Lehecka J.	De Minaur A.	30	12	1645	3085	6	4	6	2							2	0	Completed	3.1	1.36	3.15	1.41	3.25	1.45	2.95	1.4
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Popyrin A.	Vukic A.	21	83	2115	733	6	2	6	7	7	6					2	1	Completed	1.6	2.38	1.65	2.37	1.65	2.5	1.57	2.38
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Nakashima B.	Mpetshi G.	32	36	1600	1476	6	7	7	6	6	4					2	1	Completed	1.57	2.3	1.57	2.56	1.61	2.63	1.55	2.43
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Draper J.	Brooksby J.	6	149	4550	405	6	3	6	1							2	0	Completed	1.06	8	1.07	10.67	1.1	10.67	1.07	8.59
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Rinderknech A.	Shelton B.	80	10	764	3170	7	6	7	6							2	0	Completed	4.33	1.22	4.67	1.23	5.3	1.25	4.39	1.21
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Opelka R.	Ugo Carabelli C.	75	53	808	1036	7	6	6	4							2	0	Completed	1.18	5	1.2	5.2	1.22	5.5	1.17	5.04
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Alcaraz C.	Walton A.	2	86	8850	703	6	4	7	6							2	0	Completed	1.02	15	1.02	28.15	1.03	29	1.02	17.3
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Munar J.	Thompson J.	59	37	962	1400	7	5									1	0	Retired	3.4	1.33	3.41	1.36	3.6	1.37	3.4	1.32
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Moutet C.	Fritz T.	89	4	677	4735	6	7	7	6	7	5					2	1	Completed	5	1.14	6.13	1.16	6.4	1.17	5.77	1.14
33	Queens Club	Queen's Club Championships	17/06/2025	ATP500	Outdoor	Grass	1st Round	3	Diallo G.	Harris B.	44	113	1247	519	6	1	3	6	6	4					2	1	Completed	1.44	2.8	1.45	2.96	1.5	3.15	1.42	2.87
33	Queens Club	Queen's Club Championships	18/06/2025	ATP500	Outdoor	Grass	2nd Round	3	Bautista Agut R.	Mensik J.	51	17	1049	2322	3	6	6	3	7	5					2	1	Completed	2.6	1.5	2.71	1.53	2.8	1.58	2.64	1.48
33	Queens Club	Queen's Club Championships	18/06/2025	ATP500	Outdoor	Grass	2nd Round	3	Draper J.	Popyrin A.	6	21	4550	2115	3	6	6	2	7	6					2	1	Completed	1.13	5.5	1.15	6.41	1.16	6.8	1.14	5.55
33	Queens Club	Queen's Club Championships	18/06/2025	ATP500	Outdoor	Grass	2nd Round	3	Nakashima B.	Evans D.	32	199	1600	275	7	5	7	6							2	0	Completed	1.4	3	1.41	3.17	1.45	3.25	1.4	2.96
33	Queens Club	Queen's Club Championships	18/06/2025	ATP500	Outdoor	Grass	2nd Round	3	Rune H.	McDonald M.	9	98	3440	630	2	6	6	1	6	1					2	1	Completed	1.36	3	1.39	3.3	1.43	3.3	1.37	3.08
