ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
13,Rio de Janeiro,Rio Open,17/02/2025,ATP500,Outdoor,Clay,1st Round,3,Shevchenko A.,Meligeni Alves F.,103,149,568,382,6,4,6,2,,,,,,,2,0,Completed,2.2,1.67,2.12,1.79,2.22,1.79,2.09,1.72
13,Rio de Janeiro,Rio Open,17/02/2025,ATP500,Outdoor,Clay,1st Round,3,Jarry N.,Cerundolo J.M.,47,127,1175,464,4,6,6,3,6,4,,,,,2,1,Completed,1.4,3,1.51,2.72,1.51,3,1.42,2.8
13,Rio de Janeiro,Rio Open,17/02/2025,ATP500,Outdoor,Clay,1st Round,3,Comesana F.,Heide G.,86,162,673,359,7,6,6,7,6,3,,,,,2,1,Completed,1.62,2.3,1.75,2.19,1.75,2.3,1.67,2.17
13,Rio de Janeiro,Rio Open,17/02/2025,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,Diaz Acosta F.,99,119,590,498,3,6,6,3,7,6,,,,,2,1,Completed,1.8,2,2.06,1.84,2.06,2.12,1.88,1.91
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Seyboth Wild T.,55,75,1032,757,6,4,3,6,6,0,,,,,2,1,Completed,1.73,2.1,1.74,2.21,1.74,2.21,1.7,2.13
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Tseng C.H.,Tabilo A.,125,28,480,1690,6,2,7,5,,,,,,,2,0,Completed,4,1.25,3.7,1.32,4.01,1.33,3.57,1.29
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Baez S.,Burruchaga R.,31,137,1510,435,6,3,7,5,,,,,,,2,0,Completed,,,,,1.37,3.55,1.34,3.39
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Darderi L.,Dellien H.,61,108,945,553,7,6,2,2,,,,,,,1,0,Retired,1.91,1.91,1.98,1.91,2.04,1.95,1.9,1.88
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Dzumhur D.,Lajovic D.,97,83,619,692,6,3,6,4,,,,,,,2,0,Completed,2.75,1.44,2.91,1.46,2.95,1.5,2.77,1.44
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Etcheverry T.,Moutet C.,43,66,1215,897,6,3,7,6,,,,,,,2,0,Completed,1.36,3.2,1.42,3.09,1.42,3.3,1.37,3.03
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Navone M.,Carballes Baena R.,46,53,1195,1071,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.61,2.44,1.63,2.5,1.55,2.41
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Faria J.,Barrios M.,107,139,561,432,6,2,7,5,,,,,,,2,0,Completed,2.3,1.62,2.38,1.63,2.41,1.64,2.3,1.59
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Cerundolo F.,Gaston H.,26,93,1825,636,7,6,6,0,,,,,,,2,0,Completed,1.14,5.5,1.17,5.79,1.18,5.9,1.15,5.24
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Zverev A.,Bu Y.,2,69,8135,847,7,6,6,4,,,,,,,2,0,Completed,1.04,13,1.04,16.21,1.05,16.31,1.03,11.64
13,Rio de Janeiro,Rio Open,18/02/2025,ATP500,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Martinez P.,91,37,644,1385,4,6,6,3,6,3,,,,,2,1,Completed,2.75,1.44,2.45,1.61,2.75,1.65,2.35,1.58
13,Rio de Janeiro,Rio Open,19/02/2025,ATP500,Outdoor,Clay,1st Round,3,Muller A.,Fonseca J.,60,68,953,850,6,1,7,6,,,,,,,2,0,Completed,5,1.17,5.05,1.2,5.05,1.23,4.61,1.19
13,Rio de Janeiro,Rio Open,19/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Comesana F.,Jarry N.,86,47,673,1175,7,6,6,7,7,6,,,,,2,1,Completed,2.5,1.53,2.49,1.61,2.61,1.61,2.43,1.54
13,Rio de Janeiro,Rio Open,19/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Baez S.,Navone M.,31,46,1510,1195,6,4,1,6,6,3,,,,,2,1,Completed,2.1,1.73,2.16,1.79,2.16,1.8,2.07,1.74
13,Rio de Janeiro,Rio Open,19/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Zverev A.,Shevchenko A.,2,103,8135,568,7,6,7,6,,,,,,,2,0,Completed,1.08,8,1.08,10.98,1.09,10.98,1.07,8.15
13,Rio de Janeiro,Rio Open,20/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Tseng C.H.,Monteiro T.,125,99,480,590,6,7,6,3,7,6,,,,,2,1,Completed,2.75,1.44,2.79,1.5,2.95,1.5,2.71,1.45
13,Rio de Janeiro,Rio Open,20/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Faria J.,Munar J.,107,55,561,1032,6,4,2,6,6,3,,,,,2,1,Completed,3.4,1.33,3.32,1.34,3.4,1.38,3.08,1.35
13,Rio de Janeiro,Rio Open,20/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Ugo Carabelli C.,Dzumhur D.,91,97,644,619,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.64,2.41,1.64,2.45,1.61,2.31
13,Rio de Janeiro,Rio Open,20/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Cerundolo F.,Darderi L.,26,61,1825,945,6,7,6,3,6,2,,,,,2,1,Completed,1.29,3.75,1.29,3.8,1.32,3.8,1.29,3.5
13,Rio de Janeiro,Rio Open,21/02/2025,ATP500,Outdoor,Clay,2nd Round,3,Muller A.,Etcheverry T.,60,43,953,1215,7,5,7,6,,,,,,,2,0,Completed,2.75,1.44,2.62,1.56,2.78,1.56,2.62,1.48
13,Rio de Janeiro,Rio Open,21/02/2025,ATP500,Outdoor,Clay,Quarterfinals,3,Baez S.,Tseng C.H.,31,125,1510,480,6,4,6,1,,,,,,,2,0,Completed,1.36,3.2,1.41,2.78,1.41,3.65,1.33,3.25
13,Rio de Janeiro,Rio Open,21/02/2025,ATP500,Outdoor,Clay,Quarterfinals,3,Ugo Carabelli C.,Faria J.,91,107,644,561,7,6,6,4,,,,,,,2,0,Completed,1.67,2.2,1.64,2.42,1.68,2.42,1.61,2.29
13,Rio de Janeiro,Rio Open,21/02/2025,ATP500,Outdoor,Clay,Quarterfinals,3,Comesana F.,Zverev A.,86,2,673,8135,4,6,6,3,6,4,,,,,2,1,Completed,6,1.13,6.86,1.14,7.16,1.15,5.91,1.13
13,Rio de Janeiro,Rio Open,22/02/2025,ATP500,Outdoor,Clay,Quarterfinals,3,Muller A.,Cerundolo F.,60,26,953,1825,7,5,6,1,,,,,,,2,0,Completed,2.63,1.5,2.73,1.52,3.1,1.52,2.67,1.47
13,Rio de Janeiro,Rio Open,22/02/2025,ATP500,Outdoor,Clay,Semifinals,3,Baez S.,Ugo Carabelli C.,31,91,1510,644,3,6,6,1,6,1,,,,,2,1,Completed,1.36,3.2,1.41,3.18,1.42,3.22,1.37,3.08
13,Rio de Janeiro,Rio Open,22/02/2025,ATP500,Outdoor,Clay,Semifinals,3,Muller A.,Comesana F.,60,86,953,673,7,5,6,7,6,3,,,,,2,1,Completed,1.53,2.5,1.63,2.45,1.63,2.63,1.53,2.48
13,Rio de Janeiro,Rio Open,23/02/2025,ATP500,Outdoor,Clay,The Final,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
