ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
12,Rio de Janeiro,Rio Open,16/02/2026,ATP500,Outdoor,Clay,1st Round,3,Tirante T.A.,Garin C.,92,89,647,656,7,5,6,3,,,,,,,2,0,Completed,2,1.8,,,2,1.9,1.94,1.82,2.1,1.9
12,Rio de Janeiro,Rio Open,16/02/2026,ATP500,Outdoor,Clay,1st Round,3,Lajovic D.,Altmaier D.,129,54,485,961,6,4,7,6,,,,,,,2,0,Completed,2.1,1.73,,,2.11,1.77,2.08,1.71,2.26,1.79
12,Rio de Janeiro,Rio Open,16/02/2026,ATP500,Outdoor,Clay,1st Round,3,Tabilo A.,Nava E.,68,76,808,710,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,,,1.48,3.25,1.44,2.76,1.56,2.78
12,Rio de Janeiro,Rio Open,16/02/2026,ATP500,Outdoor,Clay,1st Round,3,Kopriva V.,Heide G.,87,258,660,207,6,2,7,6,,,,,,,2,0,Completed,1.67,2.2,,,1.72,2.2,1.67,2.15,1.71,2.36
12,Rio de Janeiro,Rio Open,16/02/2026,ATP500,Outdoor,Clay,1st Round,3,Buse I.,Marcondes I.,91,348,648,138,4,6,7,5,6,4,,,,,2,1,Completed,1.4,3,,,1.45,3,1.41,2.8,1.43,3.2
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Hanfmann Y.,Reis Da Silva J.,90,207,653,291,7,6,6,4,,,,,,,2,0,Completed,1.29,3.75,,,1.3,4,1.28,3.6,1.28,4.4
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Burruchaga R.,Ugo Carabelli C.,102,46,580,1068,6,3,6,4,,,,,,,2,0,Completed,2.2,1.67,,,2.4,1.8,2.13,1.69,2.2,1.81
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Passaro F.,Prizmic D.,163,122,376,507,6,3,6,4,,,,,,,2,0,Completed,2.75,1.44,,,2.9,1.5,2.75,1.43,2.92,1.52
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Etcheverry T.,Comesana F.,51,63,1020,869,3,6,6,3,6,4,,,,,2,1,Completed,1.53,2.5,,,1.57,2.55,1.53,2.44,1.61,2.6
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Berrettini M.,Barrios M.,57,107,910,563,7,6,7,5,,,,,,,2,0,Completed,1.3,3.5,,,1.3,3.7,1.29,3.49,1.34,3.85
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Darderi L.,78,21,706,1904,6,1,3,6,6,4,,,,,2,1,Completed,3.4,1.33,,,3.55,1.37,3.23,1.33,3.6,1.37
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Cerundolo F.,Navone M.,19,74,2220,750,6,3,6,4,,,,,,,2,0,Completed,1.4,3,,,1.44,3,1.4,2.87,1.44,3.2
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Fonseca J.,Monteiro T.,38,208,1190,290,7,6,6,1,,,,,,,2,0,Completed,1.29,3.75,,,1.33,3.75,1.3,3.44,1.32,4
12,Rio de Janeiro,Rio Open,17/02/2026,ATP500,Outdoor,Clay,1st Round,3,Dzumhur D.,Martinez P.,62,101,877,586,0,6,7,6,6,4,,,,,2,1,Completed,2.3,1.62,,,2.38,1.65,2.25,1.62,2.34,1.72
12,Rio de Janeiro,Rio Open,18/02/2026,ATP500,Outdoor,Clay,1st Round,3,Faria J.,Baez S.,147,32,425,1495,7,5,6,1,,,,,,,2,0,Completed,5,1.17,,,5,1.25,4.23,1.21,5.1,1.24
12,Rio de Janeiro,Rio Open,18/02/2026,ATP500,Outdoor,Clay,1st Round,3,Gaubas V.,Miguel L.,126,1593,490,3,6,3,2,6,6,2,,,,,2,1,Completed,1.1,7,,,1.11,8.5,1.09,7.13,1.09,10
12,Rio de Janeiro,Rio Open,18/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Kopriva V.,Burruchaga R.,87,102,660,580,6,3,6,1,,,,,,,2,0,Completed,2.2,1.67,,,2.25,1.68,2.18,1.65,2.34,1.74
12,Rio de Janeiro,Rio Open,18/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Cerundolo J.M.,Hanfmann Y.,78,90,706,653,6,4,6,7,6,4,,,,,2,1,Completed,1.8,2,,,1.91,2.01,1.81,1.95,1.97,2.02
12,Rio de Janeiro,Rio Open,18/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Tirante T.A.,Cerundolo F.,92,19,647,2220,6,2,3,1,,,,,,,1,0,Retired,5,1.17,,,5,1.22,4.49,1.19,5.6,1.21
12,Rio de Janeiro,Rio Open,19/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Tabilo A.,Passaro F.,68,163,808,376,4,6,7,6,6,2,,,,,2,1,Completed,1.4,3,,,1.55,3.2,1.45,2.7,1.47,3.1
12,Rio de Janeiro,Rio Open,19/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Faria J.,Dzumhur D.,147,62,425,877,7,6,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.6,2.45,1.57,2.34,1.65,2.5
12,Rio de Janeiro,Rio Open,19/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Etcheverry T.,Gaubas V.,51,126,1020,490,7,6,6,4,,,,,,,2,0,Completed,1.22,4.33,,,1.24,4.33,1.23,4.05,1.28,4.5
12,Rio de Janeiro,Rio Open,20/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Buse I.,Fonseca J.,91,38,648,1190,5,7,6,3,6,4,,,,,2,1,Completed,4.5,1.2,,,4.5,1.25,4.08,1.23,4.7,1.26
12,Rio de Janeiro,Rio Open,20/02/2026,ATP500,Outdoor,Clay,2nd Round,3,Berrettini M.,Lajovic D.,57,129,910,485,3,6,6,4,6,2,,,,,2,1,Completed,1.33,3.4,,,1.37,3.5,1.34,3.21,1.38,3.55
12,Rio de Janeiro,Rio Open,20/02/2026,ATP500,Outdoor,Clay,Quarterfinals,3,Kopriva V.,Cerundolo J.M.,87,78,660,706,6,4,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.9,2.1,1.74,2.07,1.78,2.26
12,Rio de Janeiro,Rio Open,20/02/2026,ATP500,Outdoor,Clay,Quarterfinals,3,Etcheverry T.,Faria J.,51,147,1020,425,7,6,6,4,,,,,,,2,0,Completed,1.3,3.5,,,1.33,3.5,1.31,3.38,1.35,3.75
12,Rio de Janeiro,Rio Open,20/02/2026,ATP500,Outdoor,Clay,Quarterfinals,3,Buse I.,Berrettini M.,91,57,648,910,6,3,2,6,6,3,,,,,2,1,Completed,2.75,1.44,,,2.75,1.52,2.66,1.46,2.94,1.5
12,Rio de Janeiro,Rio Open,21/02/2026,ATP500,Outdoor,Clay,Quarterfinals,3,Tabilo A.,Tirante T.A.,68,92,808,647,7,6,6,7,6,1,,,,,2,1,Completed,1.57,2.38,,,1.65,2.5,1.56,2.36,1.65,2.48
12,Rio de Janeiro,Rio Open,22/02/2026,ATP500,Outdoor,Clay,Semifinals,3,Etcheverry T.,Kopriva V.,51,87,1020,660,4,6,7,6,7,6,,,,,2,1,Completed,1.53,2.5,,,1.58,2.5,1.53,2.46,1.56,2.72
