ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
8,Rotterdam,ABN AMRO World Tennis Tournament,03/02/2025,ATP500,Indoor,Hard,1st Round,3,Hurkacz H.,Cobolli F.,21,35,2205,1372,6,3,6,2,,,,,,,2,0,Completed,1.29,3.75,1.32,3.66,1.33,3.75,1.3,3.49
8,Rotterdam,ABN AMRO World Tennis Tournament,03/02/2025,ATP500,Indoor,Hard,1st Round,3,Tsitsipas S.,Mayot H.,12,138,3005,428,6,1,7,5,,,,,,,2,0,Completed,1.3,3.5,1.32,3.67,1.36,3.67,1.3,3.48
8,Rotterdam,ABN AMRO World Tennis Tournament,03/02/2025,ATP500,Indoor,Hard,1st Round,3,Medvedev D.,Wawrinka S.,7,155,3780,361,6,7,6,4,6,1,,,,,2,1,Completed,1.14,5.5,1.17,5.94,1.18,5.94,1.16,5.26
8,Rotterdam,ABN AMRO World Tennis Tournament,03/02/2025,ATP500,Indoor,Hard,1st Round,3,Bellucci M.,Rottgering M.,92,839,624,24,6,3,6,2,,,,,,,2,0,Completed,1.05,11,1.07,11.24,1.08,11.24,1.06,9.27
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,Lehecka J.,Popyrin A.,24,26,1810,1800,7,5,6,2,,,,,,,2,0,Completed,1.4,3,1.41,3.11,1.45,3.15,1.4,2.95
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Goffin D.,8,56,3735,994,6,2,6,4,,,,,,,2,0,Completed,1.06,10,1.09,9.57,1.09,10.51,1.06,8.78
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,Mensik J.,Bublik A.,47,49,1182,1130,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.42,3.06,1.46,3.06,1.42,2.83
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,Rublev A.,Zhang Zh.,10,50,3220,1100,6,3,6,4,,,,,,,2,0,Completed,1.22,4.33,1.25,4.37,1.28,4.49,1.23,4.15
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,Martinez P.,Bautista Agut R.,44,52,1205,1067,6,3,6,2,,,,,,,2,0,Completed,2.2,1.67,2.39,1.64,2.39,1.69,2.25,1.64
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,Alcaraz C.,Van De Zandschulp B.,3,84,7010,672,7,6,3,6,6,1,,,,,2,1,Completed,1.07,9,1.07,10.79,1.09,10.79,1.06,8.77
8,Rotterdam,ABN AMRO World Tennis Tournament,04/02/2025,ATP500,Indoor,Hard,1st Round,3,Rune H.,Sonego L.,14,34,2970,1376,7,6,6,4,,,,,,,2,0,Completed,1.36,3.2,1.35,3.46,1.4,3.46,1.36,3.09
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,1st Round,3,Fils A.,Lestienne C.,19,169,2330,336,6,7,6,2,6,1,,,,,2,1,Completed,1.2,4.5,1.22,4.81,1.23,4.81,1.2,4.43
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,1st Round,3,Altmaier D.,Kovacevic A.,93,75,622,748,1,6,6,4,6,3,,,,,2,1,Completed,,,,,6.25,1.13,5.78,1.13
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,1st Round,3,Marozsan F.,Struff J.L.,57,45,960,1200,6,3,4,6,7,6,,,,,2,1,Completed,2.2,1.67,2.34,1.66,2.34,1.68,2.24,1.64
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,1st Round,3,Vavassori A.,Auger-Aliassime F.,317,23,163,2005,6,7,6,4,,,,,,,1,1,Retired,8,1.08,7.82,1.11,8.01,1.11,7.14,1.09
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,1st Round,3,Griekspoor T.,Berrettini M.,43,33,1230,1430,6,3,6,7,7,6,,,,,2,1,Completed,2.38,1.57,2.54,1.57,2.54,1.61,2.37,1.57
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,2nd Round,3,Bellucci M.,Medvedev D.,92,7,624,3780,6,3,6,7,6,3,,,,,2,1,Completed,3.5,1.3,3.66,1.31,4.66,1.36,3.47,1.3
8,Rotterdam,ABN AMRO World Tennis Tournament,05/02/2025,ATP500,Indoor,Hard,2nd Round,3,Hurkacz H.,Lehecka J.,21,24,2205,1810,7,5,2,0,,,,,,,1,0,Retired,2.1,1.73,2.16,1.78,2.16,1.8,2.07,1.73
8,Rotterdam,ABN AMRO World Tennis Tournament,06/02/2025,ATP500,Indoor,Hard,2nd Round,3,De Minaur A.,Mensik J.,8,47,3735,1182,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.4,3.3,1.41,3.3,1.38,2.99
8,Rotterdam,ABN AMRO World Tennis Tournament,06/02/2025,ATP500,Indoor,Hard,2nd Round,3,Altmaier D.,Fils A.,93,19,622,2330,6,4,3,6,7,5,,,,,2,1,Completed,4,1.25,4.46,1.25,4.46,1.27,3.98,1.24
8,Rotterdam,ABN AMRO World Tennis Tournament,06/02/2025,ATP500,Indoor,Hard,2nd Round,3,Rublev A.,Marozsan F.,10,57,3220,960,7,6,7,6,,,,,,,2,0,Completed,1.25,4,1.28,4.14,1.32,4.14,1.26,3.81
8,Rotterdam,ABN AMRO World Tennis Tournament,06/02/2025,ATP500,Indoor,Hard,2nd Round,3,Tsitsipas S.,Griekspoor T.,12,43,3005,1230,6,7,7,6,7,5,,,,,2,1,Completed,1.73,2.1,1.78,2.16,1.78,2.17,1.73,2.07
8,Rotterdam,ABN AMRO World Tennis Tournament,06/02/2025,ATP500,Indoor,Hard,2nd Round,3,Alcaraz C.,Vavassori A.,3,317,7010,163,6,2,6,1,,,,,,,2,0,Completed,1.07,9,1.08,7.11,1.09,15.2,1.07,8.13
8,Rotterdam,ABN AMRO World Tennis Tournament,06/02/2025,ATP500,Indoor,Hard,2nd Round,3,Martinez P.,Rune H.,44,14,1205,2970,6,4,6,1,,,,,,,2,0,Completed,4.5,1.2,3.85,1.23,6.43,1.25,4.56,1.19
8,Rotterdam,ABN AMRO World Tennis Tournament,07/02/2025,ATP500,Indoor,Hard,Quarterfinals,3,De Minaur A.,Altmaier D.,8,93,3735,622,6,1,6,4,,,,,,,2,0,Completed,1.06,10,1.08,10.47,1.09,10.82,1.06,9.05
8,Rotterdam,ABN AMRO World Tennis Tournament,07/02/2025,ATP500,Indoor,Hard,Quarterfinals,3,Bellucci M.,Tsitsipas S.,92,12,624,3005,6,4,6,2,,,,,,,2,0,Completed,2.75,1.44,2.62,1.45,3.01,1.5,2.72,1.44
8,Rotterdam,ABN AMRO World Tennis Tournament,07/02/2025,ATP500,Indoor,Hard,Quarterfinals,3,Alcaraz C.,Martinez P.,3,44,7010,1205,6,2,6,1,,,,,,,2,0,Completed,1.05,11,1.08,7.35,1.08,12.9,1.05,9.83
8,Rotterdam,ABN AMRO World Tennis Tournament,07/02/2025,ATP500,Indoor,Hard,Quarterfinals,3,Hurkacz H.,Rublev A.,21,10,2205,3220,6,7,6,3,6,4,,,,,2,1,Completed,2.1,1.73,2.1,1.83,2.13,1.83,2.07,1.74
8,Rotterdam,ABN AMRO World Tennis Tournament,08/02/2025,ATP500,Indoor,Hard,Semifinals,3,De Minaur A.,Bellucci M.,8,92,3735,624,6,1,6,2,,,,,,,2,0,Completed,1.17,4.5,1.2,5.25,1.21,5.25,1.18,4.7
8,Rotterdam,ABN AMRO World Tennis Tournament,08/02/2025,ATP500,Indoor,Hard,Semifinals,3,Alcaraz C.,Hurkacz H.,3,21,7010,2205,6,4,6,7,6,3,,,,,2,1,Completed,1.25,4,1.26,4.36,1.26,4.4,1.23,4.09
8,Rotterdam,ABN AMRO World Tennis Tournament,09/02/2025,ATP500,Indoor,Hard,The Final,3,Alcaraz C.,De Minaur A.,3,8,7010,3735,6,4,3,6,6,2,,,,,2,1,Completed,1.36,3.2,1.4,3.24,1.4,3.55,1.35,3.16
