ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
9,Rotterdam,ABN AMRO World Tennis Tournament,09/02/2026,ATP500,Indoor,Hard,1st Round,3,Norrie C.,Bautista Agut R.,26,85,1603,685,7,6,6,1,,,,,,,2,0,Completed,1.29,3.75,,,1.33,4,1.27,3.7,1.31,4
9,Rotterdam,ABN AMRO World Tennis Tournament,09/02/2026,ATP500,Indoor,Hard,1st Round,3,Humbert U.,Medvedev D.,36,11,1335,3060,7,6,3,6,6,3,,,,,2,1,Completed,2.75,1.44,,,2.88,1.45,2.76,1.43,3.05,1.47
9,Rotterdam,ABN AMRO World Tennis Tournament,09/02/2026,ATP500,Indoor,Hard,1st Round,3,O Connell C.,Royer V.,119,57,511,897,6,4,4,6,7,6,,,,,2,1,Completed,2,1.8,,,2.2,1.8,2.07,1.74,2.14,1.87
9,Rotterdam,ABN AMRO World Tennis Tournament,09/02/2026,ATP500,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Pavlovic L.,65,219,849,262,7,6,6,3,,,,,,,2,0,Completed,1.17,5,,,1.21,5.2,1.18,4.61,1.23,5.2
9,Rotterdam,ABN AMRO World Tennis Tournament,09/02/2026,ATP500,Indoor,Hard,1st Round,3,Munar J.,Budkov Kjaer N.,37,132,1185,476,6,1,6,3,,,,,,,2,0,Completed,1.44,2.75,,,1.5,2.88,1.44,2.75,1.53,2.86
9,Rotterdam,ABN AMRO World Tennis Tournament,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Halys Q.,Rottgering M.,77,614,725,59,3,6,6,1,6,1,,,,,2,1,Completed,1.22,4.33,,,1.25,4.4,1.24,3.98,1.28,4.4
9,Rotterdam,ABN AMRO World Tennis Tournament,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Griekspoor T.,Mpetshi G.,27,56,1585,905,6,4,6,4,,,,,,,2,0,Completed,1.5,2.63,,,1.55,2.63,1.53,2.48,1.57,2.68
9,Rotterdam,ABN AMRO World Tennis Tournament,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Struff J.L.,Grenier H.,82,188,706,323,6,0,6,4,,,,,,,2,0,Completed,1.36,3.2,,,1.38,3.3,1.35,3.17,1.4,3.45
9,Rotterdam,ABN AMRO World Tennis Tournament,10/02/2026,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Fils A.,8,42,3835,1110,7,6,6,2,,,,,,,2,0,Completed,1.22,4.33,,,1.25,4.33,1.22,4.09,1.26,4.7
9,Rotterdam,ABN AMRO World Tennis Tournament,10/02/2026,ATP500,Indoor,Hard,1st Round,3,Bergs Z.,Medjedovic H.,39,79,1170,717,6,7,6,7,,,,,,,2,0,Completed,1.8,2,,,1.85,2.01,1.81,1.98,1.94,2.04
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Wawrinka S.,Boogaard T.,106,1048,562,14,6,3,6,4,,,,,,,2,0,Completed,,,,,1.2,7.5,1.13,5.92,1.2,5.1
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Den Ouden G.,Fucsovics M.,169,49,355,1009,7,6,6,1,,,,,,,2,0,Completed,4,1.25,,,4.1,1.25,3.9,1.25,4.1,1.31
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Tsitsipas S.,Rinderknech A.,32,28,1445,1542,7,5,6,3,,,,,,,2,0,Completed,1.53,2.5,,,1.57,2.5,1.54,2.47,1.56,2.72
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Khachanov K.,De Jong J.,18,86,2320,673,3,6,6,4,7,5,,,,,2,1,Completed,1.14,5.5,,,1.17,5.7,1.14,5.32,1.19,6
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Bublik A.,Hurkacz H.,10,70,3235,775,6,7,7,6,7,5,,,,,2,1,Completed,1.67,2.2,,,1.76,2.2,1.71,2.11,1.83,2.2
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Popyrin A.,6,50,3950,1000,7,5,6,3,,,,,,,2,0,Completed,1.22,4.33,,,1.22,4.4,1.22,4.14,1.23,5
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,2nd Round,3,O Connell C.,Norrie C.,119,26,511,1603,7,6,6,4,,,,,,,2,0,Completed,4,1.25,,,4,1.3,3.6,1.28,4.1,1.31
9,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2026,ATP500,Indoor,Hard,2nd Round,3,Griekspoor T.,Halys Q.,27,77,1585,725,7,5,7,6,,,,,,,2,0,Completed,1.57,2.38,,,1.6,2.6,1.55,2.43,1.6,2.64
9,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Humbert U.,Den Ouden G.,36,169,1335,355,6,4,6,3,,,,,,,2,0,Completed,1.1,7,,,1.12,8,1.1,6.77,1.13,8.2
9,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Munar J.,Khachanov K.,37,18,1185,2320,7,6,3,6,6,3,,,,,2,1,Completed,2.3,1.62,,,2.3,1.7,2.23,1.64,2.42,1.69
9,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Van De Zandschulp B.,Tsitsipas S.,65,32,849,1445,6,4,7,6,,,,,,,2,0,Completed,3,1.4,,,3,1.5,2.79,1.43,3.15,1.44
9,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,De Minaur A.,Wawrinka S.,8,106,3835,562,6,4,6,2,,,,,,,2,0,Completed,1.1,7,,,1.12,7,1.11,6.58,1.12,8.8
9,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Medjedovic H.,6,79,3950,717,6,4,6,4,,,,,,,2,0,Completed,1.22,4.33,,,1.27,4.33,1.25,3.84,1.28,4.5
9,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2026,ATP500,Indoor,Hard,2nd Round,3,Bublik A.,Struff J.L.,10,82,3235,706,7,6,4,6,6,3,,,,,2,1,Completed,1.36,3.2,,,1.37,3.5,1.34,3.24,1.36,3.7
9,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2026,ATP500,Indoor,Hard,Quarterfinals,3,Humbert U.,O Connell C.,36,119,1335,511,6,4,6,1,,,,,,,2,0,Completed,1.2,4.5,,,1.22,4.8,1.21,4.36,1.24,4.9
9,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2026,ATP500,Indoor,Hard,Quarterfinals,3,De Minaur A.,Van De Zandschulp B.,8,65,3835,849,3,6,7,6,7,5,,,,,2,1,Completed,1.13,6,,,1.15,6,1.14,5.63,1.16,6.6
9,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2026,ATP500,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Griekspoor T.,6,27,3950,1585,7,6,6,2,,,,,,,2,0,Completed,1.3,3.5,,,1.36,3.6,1.32,3.38,1.39,3.5
9,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2026,ATP500,Indoor,Hard,Quarterfinals,3,Bublik A.,Munar J.,10,37,3235,1185,6,4,6,7,7,6,,,,,2,1,Completed,1.5,2.63,,,1.5,2.75,1.49,2.63,1.51,2.92
9,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2026,ATP500,Indoor,Hard,Semifinals,3,De Minaur A.,Humbert U.,8,36,3835,1335,6,4,6,3,,,,,,,2,0,Completed,1.4,3,,,1.45,3.1,1.41,2.85,1.44,3.2
9,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2026,ATP500,Indoor,Hard,Semifinals,3,Auger-Aliassime F.,Bublik A.,6,10,3950,3235,6,1,6,2,,,,,,,2,0,Completed,1.44,2.75,,,1.5,2.85,1.45,2.7,1.52,2.88
9,Rotterdam,ABN AMRO World Tennis Tournament,15/02/2026,ATP500,Indoor,Hard,The Final,3,De Minaur A.,Auger-Aliassime F.,8,6,3835,3950,6,3,6,2,,,,,,,2,0,Completed,2.5,1.53,,,2.5,1.6,2.43,1.56,2.56,1.64
